Datum (MESZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2023-07-24 00:00:00,10141.04,26543.11,77.14
2023-07-24 01:00:00,10180.03,26284.54,70.02
2023-07-24 02:00:00,10025.21,25155.46,68.99
2023-07-24 03:00:00,10131.54,23838.91,72.01
2023-07-24 04:00:00,10499.11,22903.6,72.09
2023-07-24 05:00:00,11533.35,21590.54,87.11
2023-07-24 06:00:00,12503.34,21712.62,102.59
2023-07-24 07:00:00,12979.35,23891,113.97
2023-07-24 08:00:00,13581.5,27892.17,115.08
2023-07-24 09:00:00,13257.49,31827.81,105
2023-07-24 10:00:00,12821.97,34924.64,99.94
2023-07-24 11:00:00,11632.72,39753.79,94.62
2023-07-24 12:00:00,10725.96,42114.58,87.45
2023-07-24 13:00:00,10792.14,42951.51,81.59
2023-07-24 14:00:00,10983.58,43254.84,74.97
2023-07-24 15:00:00,10956.7,43202.38,67.27
2023-07-24 16:00:00,10927.84,41092.17,63.73
2023-07-24 17:00:00,11210.22,35878.8,77.06
2023-07-24 18:00:00,12570.22,32031.8,97.68
2023-07-24 19:00:00,13155.84,28534.94,106.96
2023-07-24 20:00:00,13636.8,25533.23,118.46
2023-07-24 21:00:00,13764.16,23635.71,113.99
2023-07-24 22:00:00,13831.16,21552.81,102.97
2023-07-24 23:00:00,13243.65,21345.56,102.03
2023-07-25 00:00:00,11711.09,20484.13,96
2023-07-25 01:00:00,11272.34,19886.68,86.55
2023-07-25 02:00:00,11025.12,19452.66,84.95
2023-07-25 03:00:00,10545.83,18423.63,86.83
2023-07-25 04:00:00,10915.52,17415.86,88.07
2023-07-25 05:00:00,12320.13,17143.14,97.49
2023-07-25 06:00:00,14320.87,17466.57,114.05
2023-07-25 07:00:00,14493.88,19001.43,150.45
2023-07-25 08:00:00,14664.35,22757.14,151.9
2023-07-25 09:00:00,14613.57,27579.53,113.74
2023-07-25 10:00:00,13822.64,31578.86,102.65
2023-07-25 11:00:00,13393,34086.55,100.92
2023-07-25 12:00:00,13027.74,35801.93,98.27
2023-07-25 13:00:00,12242.18,37267.67,90.12
2023-07-25 14:00:00,12195.53,38425.26,87.58
2023-07-25 15:00:00,12186.27,37688.35,88.88
2023-07-25 16:00:00,11934.9,35892.43,90.12
2023-07-25 17:00:00,12664.57,31717.53,92.71
2023-07-25 18:00:00,13719.54,27821.12,112.01
2023-07-25 19:00:00,14431.74,24149.7,122.98
2023-07-25 20:00:00,14855.11,20342.81,119.04
2023-07-25 21:00:00,14348.49,19193.33,116.55
2023-07-25 22:00:00,13969.68,19544.31,109.35
2023-07-25 23:00:00,12938.58,20175.69,98.5
2023-07-26 00:00:00,11626.16,21105.46,97.96
2023-07-26 01:00:00,11115.75,21864.15,89.31
2023-07-26 02:00:00,10772.73,21826.75,86.26
