Datum (MESZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2020-05-04 00:00:00,14439.4,9353.44,22.2
2020-05-04 01:00:00,14183.48,9352.62,20.46
2020-05-04 02:00:00,14585.5,9329.47,21.86
2020-05-04 03:00:00,14634.14,9362.68,20.7
2020-05-04 04:00:00,15059.31,9533.1,20.14
2020-05-04 05:00:00,16968.35,9988.99,22.99
2020-05-04 06:00:00,18490.72,11250.99,34.05
2020-05-04 07:00:00,19683.44,13745.29,48.53
2020-05-04 08:00:00,20021.93,17065.21,55.13
2020-05-04 09:00:00,19736.64,21073.37,40.04
2020-05-04 10:00:00,19352.45,24517.16,27.86
2020-05-04 11:00:00,19141.73,27196.61,25.07
2020-05-04 12:00:00,18612.33,28777.94,22.96
2020-05-04 13:00:00,17680.44,30247.54,20.74
2020-05-04 14:00:00,15969.45,31505.53,19.02
2020-05-04 15:00:00,15320.27,31908.99,19.58
2020-05-04 16:00:00,14973.44,31167.35,19.81
2020-05-04 17:00:00,16922.64,29165.01,22.39
2020-05-04 18:00:00,18507.76,26192.59,24.24
2020-05-04 19:00:00,19231.71,22992.06,27.92
2020-05-04 20:00:00,19278.15,20799.34,28.97
2020-05-04 21:00:00,19099.8,20518.5,25.99
2020-05-04 22:00:00,17548.8,20329.67,22.51
2020-05-04 23:00:00,15140.13,20123.51,19.89
2020-05-05 00:00:00,13847.51,19981.9,18.14
2020-05-05 01:00:00,13122.24,19857.89,17.99
2020-05-05 02:00:00,12930.77,19800.09,17.2
2020-05-05 03:00:00,12910.79,19657.39,18.05
2020-05-05 04:00:00,13635.32,19191.77,18.07
2020-05-05 05:00:00,14793.83,18247.7,20.08
2020-05-05 06:00:00,17876.11,18158.94,23.2
2020-05-05 07:00:00,18912.16,20142.79,27.61
2020-05-05 08:00:00,19012.99,23676.89,26.06
2020-05-05 09:00:00,18475.98,29606.72,22.35
2020-05-05 10:00:00,16686.87,34172.6,19.92
2020-05-05 11:00:00,16413.08,36945.04,21.02
2020-05-05 12:00:00,16135.35,38069.5,20.27
2020-05-05 13:00:00,15498.86,37994.24,19.1
2020-05-05 14:00:00,14718.64,38684.06,17.16
2020-05-05 15:00:00,14813.59,37846.67,16.12
2020-05-05 16:00:00,14861.82,35371.25,17.31
2020-05-05 17:00:00,16313.81,31855.52,20.42
2020-05-05 18:00:00,18507.42,25804.53,24.1
2020-05-05 19:00:00,19615.57,19800.44,28.75
2020-05-05 20:00:00,19672.37,16476.35,32.41
2020-05-05 21:00:00,19514.17,16756.63,27.34
2020-05-05 22:00:00,18679.33,17184.56,25.34
2020-05-05 23:00:00,17872.62,17352.26,23.24
2020-05-06 00:00:00,16209.26,16883.4,20.99
2020-05-06 01:00:00,14928.9,16129.4,20.06
