Datum (MEZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2020-12-14 00:00:00,22925.2,25064.32,34.01
2020-12-14 01:00:00,20757.47,26809.08,32.23
2020-12-14 02:00:00,19394.3,28410.13,30.43
2020-12-14 03:00:00,18639.18,29423.78,25.18
2020-12-14 04:00:00,19615.41,30135.94,25.92
2020-12-14 05:00:00,22190.12,30952.86,31.36
2020-12-14 06:00:00,27985.72,32369.63,36.27
2020-12-14 07:00:00,31764.63,32911.22,43.97
2020-12-14 08:00:00,33097.93,33479.61,44.14
2020-12-14 09:00:00,33826.34,34983.26,45.59
2020-12-14 10:00:00,33853.51,37147.15,43.44
2020-12-14 11:00:00,33382.99,38535.69,44.49
2020-12-14 12:00:00,32832.17,37948.58,42.16
2020-12-14 13:00:00,33291.25,35541.28,45.55
2020-12-14 14:00:00,34239.6,31482.85,49.05
2020-12-14 15:00:00,35174.39,28281.64,54.13
2020-12-14 16:00:00,35352.66,27926.04,54
2020-12-14 17:00:00,35372.64,28662.48,60
2020-12-14 18:00:00,35047.57,28450.91,59.03
2020-12-14 19:00:00,34855.71,27625.82,54.78
2020-12-14 20:00:00,33605.98,26769.2,49.32
2020-12-14 21:00:00,32287.08,26092.7,44.55
2020-12-14 22:00:00,30581.6,25436.11,42.22
2020-12-14 23:00:00,28653.89,24083.65,40.05
2020-12-15 00:00:00,27023.68,24164.53,37.03
2020-12-15 01:00:00,25959.93,25151.57,36.54
2020-12-15 02:00:00,25700.71,24927.35,35.4
2020-12-15 03:00:00,26232.78,24702.82,34
2020-12-15 04:00:00,26841.28,24296.64,35.28
2020-12-15 05:00:00,29286.92,24824.89,39.04
2020-12-15 06:00:00,34046.01,25169.03,42.1
2020-12-15 07:00:00,37863.65,24760.74,51.54
2020-12-15 08:00:00,39820.25,23669.14,57.62
2020-12-15 09:00:00,40262.98,23346.39,57.88
2020-12-15 10:00:00,40695.92,22784.36,58.1
2020-12-15 11:00:00,40989.25,21846.88,59.97
2020-12-15 12:00:00,40774.43,20490.06,59.8
2020-12-15 13:00:00,40895.3,18522.08,57.66
2020-12-15 14:00:00,41151.77,16991.96,57.8
2020-12-15 15:00:00,41509.11,16588.14,57.48
2020-12-15 16:00:00,41706.55,17173.41,58.94
2020-12-15 17:00:00,41992.32,18370.38,68.8
2020-12-15 18:00:00,41968.26,19020.16,58.14
2020-12-15 19:00:00,41562.7,18857.8,56.2
2020-12-15 20:00:00,39803.42,18499.95,50.2
2020-12-15 21:00:00,37354.53,18375.61,49.24
2020-12-15 22:00:00,35678.7,18124.9,47.35
2020-12-15 23:00:00,33047.23,16699.22,43.57
2020-12-16 00:00:00,31864.34,15392.89,43.52
2020-12-16 01:00:00,31421.21,13866.24,41.92
2020-12-16 02:00:00,30749.42,12843.07,40.12
2020-12-16 03:00:00,30322.87,11863.88,39.98
2020-12-16 04:00:00,31040.31,11131,39.47
2020-12-16 05:00:00,33870.89,10994.79,40.97
2020-12-16 06:00:00,37722.41,12135.72,46.47
2020-12-16 07:00:00,39820.12,13762.47,62.88
2020-12-16 08:00:00,40652.11,15458.74,66.66
2020-12-16 09:00:00,40315.73,18162.73,59.71
2020-12-16 10:00:00,39949.77,20462.47,59.07
2020-12-16 11:00:00,39627.79,22251.84,55.48
2020-12-16 12:00:00,39536.08,22263.29,56.85
2020-12-16 13:00:00,39996.66,21367.03,55.8
2020-12-16 14:00:00,39977.54,18723.83,57.04
2020-12-16 15:00:00,39885.29,17659.29,57.7
2020-12-16 16:00:00,39803.82,19641.06,57.36
2020-12-16 17:00:00,40035.3,22427.37,58.38
2020-12-16 18:00:00,39564.85,25540.27,53.55
2020-12-16 19:00:00,36986.83,27527.06,49.54
2020-12-16 20:00:00,33722.99,28808.19,42.36
2020-12-16 21:00:00,30156.76,29720.17,41.29
2020-12-16 22:00:00,27869.38,29722.91,41.94
2020-12-16 23:00:00,24845.54,29698.72,33.28
2020-12-17 00:00:00,22887.51,29659.05,35.47
2020-12-17 01:00:00,21971.51,29866.67,34.04
2020-12-17 02:00:00,21618.32,30007.74,33.56
2020-12-17 03:00:00,21179.78,30251.97,33.51
2020-12-17 04:00:00,21803.03,30758.23,33.6
2020-12-17 05:00:00,24030.93,30399.96,35.95
2020-12-17 06:00:00,28401.88,29647.94,38.74
2020-12-17 07:00:00,31890.94,29991.8,50.83
2020-12-17 08:00:00,33396.86,30788.03,52.87
2020-12-17 09:00:00,32736.29,32258.94,48.04
