Datum (MEZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2023-11-06 00:00:00,9578.26,48693.87,2.76
2023-11-06 01:00:00,9964.92,47869.72,0.11
2023-11-06 02:00:00,9926.79,46981.3,0.03
2023-11-06 03:00:00,9853.2,47615.61,0.14
2023-11-06 04:00:00,10295.14,46994.51,4.3
2023-11-06 05:00:00,11128.14,46369.72,16.93
2023-11-06 06:00:00,13169.41,46370.68,72.57
2023-11-06 07:00:00,15092.81,46361.12,95.56
2023-11-06 08:00:00,15834.69,48860.73,95.93
2023-11-06 09:00:00,14386.39,54263.65,74.93
2023-11-06 10:00:00,12944.49,58634.37,60.14
2023-11-06 11:00:00,12485.63,59579.12,56.29
2023-11-06 12:00:00,13230.74,58125.09,58.05
2023-11-06 13:00:00,13576.11,54024.45,66.98
2023-11-06 14:00:00,14479.35,47998.83,80.29
2023-11-06 15:00:00,15801.24,41934.6,100.08
2023-11-06 16:00:00,17816.79,38378.67,112.17
2023-11-06 17:00:00,18820.84,38893.26,137.67
2023-11-06 18:00:00,19103.19,40899.14,150.94
2023-11-06 19:00:00,19323,42121.88,139.52
2023-11-06 20:00:00,17764.17,42765.45,111.12
2023-11-06 21:00:00,15567.36,43479.28,105.67
2023-11-06 22:00:00,14013.66,42935.46,99.08
2023-11-06 23:00:00,12931.7,41425.76,87.74
2023-11-07 00:00:00,13487.06,40286,78.9
2023-11-07 01:00:00,13188.25,39066.11,76.3
2023-11-07 02:00:00,12887.01,38663.88,70.8
2023-11-07 03:00:00,13388.16,37840.48,68.01
2023-11-07 04:00:00,13858.69,37175.52,70.25
2023-11-07 05:00:00,15523.52,36993.29,83.35
2023-11-07 06:00:00,19048.12,36754.76,101.28
2023-11-07 07:00:00,20480.26,36809.72,132.89
2023-11-07 08:00:00,19925.24,39652.45,136.05
2023-11-07 09:00:00,19508.23,43506.19,114.93
2023-11-07 10:00:00,18448.2,45848.42,99.45
2023-11-07 11:00:00,17268.46,46828.8,89.03
2023-11-07 12:00:00,17253.41,45854.14,86.21
2023-11-07 13:00:00,17846.42,42931.58,88.79
2023-11-07 14:00:00,18600.62,39101.97,97.49
2023-11-07 15:00:00,19737.8,34589.87,108.07
2023-11-07 16:00:00,20598.09,32422.91,112.9
