Datum (MEZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2020-12-07 00:00:00,30216.29,17785.93,36.17
2020-12-07 01:00:00,29155.19,18129.76,32.3
2020-12-07 02:00:00,28552.22,19104.92,30.3
2020-12-07 03:00:00,27734.67,19863.31,29.45
2020-12-07 04:00:00,29476.74,20683.74,29.44
2020-12-07 05:00:00,33836.3,21991.05,35.64
2020-12-07 06:00:00,37682.66,23537.26,46.49
2020-12-07 07:00:00,40715.88,24547.97,58
2020-12-07 08:00:00,41483.08,25982.98,58.23
2020-12-07 09:00:00,41940.9,27149.11,40.69
2020-12-07 10:00:00,42234.79,28505.49,38.74
2020-12-07 11:00:00,41983.47,29980.81,36.76
2020-12-07 12:00:00,41300.57,30613.72,35.94
2020-12-07 13:00:00,41530,29495.68,39.56
2020-12-07 14:00:00,42228.92,27121.09,41.69
2020-12-07 15:00:00,42941.23,25151.32,55.68
2020-12-07 16:00:00,43424.79,24041.61,59.96
2020-12-07 17:00:00,43821.27,23018.22,62.17
2020-12-07 18:00:00,43732.95,22240.45,61.92
2020-12-07 19:00:00,42960.16,21019.98,59.38
2020-12-07 20:00:00,41687.1,19746.27,52.8
2020-12-07 21:00:00,40040.99,18759.36,46.41
2020-12-07 22:00:00,38426.5,17347.3,44.34
2020-12-07 23:00:00,36475.82,15970.24,41.5
2020-12-08 00:00:00,35314.07,14974.9,41.12
2020-12-08 01:00:00,35198.1,14032.14,39.44
2020-12-08 02:00:00,34315.27,13390.22,39.84
2020-12-08 03:00:00,33403.92,13280.68,37.15
2020-12-08 04:00:00,33984.29,13141.83,37.95
2020-12-08 05:00:00,37111,13323.82,41.11
2020-12-08 06:00:00,42799.75,13445.01,51.58
2020-12-08 07:00:00,46141.06,13866.15,68.08
2020-12-08 08:00:00,47044.94,14167.94,74.11
2020-12-08 09:00:00,46916.02,15714.19,71.86
2020-12-08 10:00:00,46332.5,17574.57,72.44
2020-12-08 11:00:00,46034.14,18914.81,76.74
2020-12-08 12:00:00,46336.66,18896.36,77.43
2020-12-08 13:00:00,46726.87,17401.17,76.96
2020-12-08 14:00:00,47083.55,14784.69,76.48
2020-12-08 15:00:00,46970.06,12924.41,77.48
