Datum (MESZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2021-05-31 00:00:00,14557.96,14635.77,59.6
2021-05-31 01:00:00,14565.44,14007.8,57.3
2021-05-31 02:00:00,15047.93,13208.85,56.22
2021-05-31 03:00:00,15357.24,12313.88,55.02
2021-05-31 04:00:00,16274.46,11660.07,58.49
2021-05-31 05:00:00,17876.87,11273.72,59.89
2021-05-31 06:00:00,19789.11,13128.46,76.72
2021-05-31 07:00:00,20157.92,18119.84,85.98
2021-05-31 08:00:00,20035.67,25000.49,86.73
2021-05-31 09:00:00,19498.64,32749.71,77.9
2021-05-31 10:00:00,17944.64,39048.3,63.38
2021-05-31 11:00:00,17531.11,42888.51,60.69
2021-05-31 12:00:00,16628.07,44195.1,59.1
2021-05-31 13:00:00,15898.94,44421.96,55.26
2021-05-31 14:00:00,15247.35,43443.46,54.05
2021-05-31 15:00:00,15285.28,40853.84,54.69
2021-05-31 16:00:00,16110.73,36564.75,53.94
2021-05-31 17:00:00,18331.56,30470.03,62.3
2021-05-31 18:00:00,19590.44,23517.3,76
2021-05-31 19:00:00,20192.63,17124.61,85.14
2021-05-31 20:00:00,20220.59,13722.3,86
2021-05-31 21:00:00,20152.22,13518.44,82
2021-05-31 22:00:00,20043.19,14451.82,79.9
2021-05-31 23:00:00,19459.26,14813.81,72.67
2021-06-01 00:00:00,18107.71,14805.29,61.98
2021-06-01 01:00:00,17301.32,14469.88,58.94
2021-06-01 02:00:00,16926.58,14174.68,56.5
2021-06-01 03:00:00,16998.96,13525.19,56.23
2021-06-01 04:00:00,17238.77,13018.52,56.95
2021-06-01 05:00:00,18203.42,12855.66,62
2021-06-01 06:00:00,19022.01,14654.07,78.99
2021-06-01 07:00:00,19344.11,19091.73,85.79
2021-06-01 08:00:00,19234.85,25136.26,87.1
2021-06-01 09:00:00,18896.04,32160.79,78.2
2021-06-01 10:00:00,18061.67,38415.17,64.95
2021-06-01 11:00:00,16763.01,42581.21,61.1
2021-06-01 12:00:00,15334.56,44385.14,58.13
2021-06-01 13:00:00,14347.3,44554.73,56.12
2021-06-01 14:00:00,13861.87,43152.98,55.4
2021-06-01 15:00:00,14203.48,40678.33,56.91
2021-06-01 16:00:00,15328.38,36725.64,58.13
2021-06-01 17:00:00,17479.67,30701.75,70.58
2021-06-01 18:00:00,19129.32,24460.74,79.36
2021-06-01 19:00:00,19464.38,19012.18,86.7
2021-06-01 20:00:00,19499.82,15770.07,85.14
2021-06-01 21:00:00,19496.14,15491.98,80.5
2021-06-01 22:00:00,19253.1,16520.61,75.31
2021-06-01 23:00:00,18569.65,17263.44,67.08
2021-06-02 00:00:00,16825.56,17258.05,65
2021-06-02 01:00:00,15595.53,16999.74,61.37
2021-06-02 02:00:00,14937.73,16651.05,59.18
2021-06-02 03:00:00,15012.78,16179.15,60
2021-06-02 04:00:00,15746.42,15834.76,59.89
2021-06-02 05:00:00,15671.05,16545.14,63.71
2021-06-02 06:00:00,17436.71,19212.77,78.49
2021-06-02 07:00:00,18090.92,23774.16,81.6
2021-06-02 08:00:00,17912.31,30809.84,81.12
2021-06-02 09:00:00,16506.62,38028.48,72.34
2021-06-02 10:00:00,15760.38,44185.36,62.44
2021-06-02 11:00:00,14601.08,48403.09,57.3
2021-06-02 12:00:00,13682.1,50521.92,55.72
2021-06-02 13:00:00,12985.91,50905.69,54.02
2021-06-02 14:00:00,13094.16,49255.96,53.83
2021-06-02 15:00:00,13338.69,45931.07,53.9
2021-06-02 16:00:00,13717.63,41544.78,56.87
2021-06-02 17:00:00,15892.88,35716.69,67.45
2021-06-02 18:00:00,18060.08,29636.34,78.48
2021-06-02 19:00:00,18465.21,24588.33,83.34
2021-06-02 20:00:00,18496.02,22402.53,82.91
2021-06-02 21:00:00,18342.81,24156.02,78.17
2021-06-02 22:00:00,17718.91,26279.82,73.93
2021-06-02 23:00:00,16313.17,26925.78,59.39
2021-06-03 00:00:00,14235.27,26924.37,57.88
2021-06-03 01:00:00,13835.59,25995.87,54.08
2021-06-03 02:00:00,13860.87,25254.17,54
2021-06-03 03:00:00,13799.92,23886.77,50.5
2021-06-03 04:00:00,13861.56,22892.71,52.57
2021-06-03 05:00:00,14172.71,22300.59,54.08
2021-06-03 06:00:00,15084.1,23194.02,54.1
2021-06-03 07:00:00,16568.79,25323.52,62.44
2021-06-03 08:00:00,16573.12,29262.84,59.98
2021-06-03 09:00:00,16197.03,34645.47,58.66
2021-06-03 10:00:00,14579.85,40288.77,53.94
2021-06-03 11:00:00,14039.96,44037.17,51.96
2021-06-03 12:00:00,14289.28,44147.25,50.44
2021-06-03 13:00:00,15035.74,42853.86,51.63
2021-06-03 14:00:00,15582.91,40171.97,54.84
2021-06-03 15:00:00,16139.35,35746.46,59.11
2021-06-03 16:00:00,16848.23,32679.12,65.74
2021-06-03 17:00:00,17323.26,29226.88,69.3
2021-06-03 18:00:00,17833.69,25574.79,75
2021-06-03 19:00:00,18265.57,22666.57,81.99
2021-06-03 20:00:00,18498,19696.54,82.03
2021-06-03 21:00:00,18232.29,18258.62,80.14
2021-06-03 22:00:00,18241.39,18533.8,79.32
2021-06-03 23:00:00,17661.78,17850,73.4
2021-06-04 00:00:00,17205.04,17002.21,66.41
2021-06-04 01:00:00,16557.61,16083.87,62.92
2021-06-04 02:00:00,15876.74,15126.5,60.04
2021-06-04 03:00:00,16198.77,13818.21,60.1
2021-06-04 04:00:00,16557.93,12750.07,59
2021-06-04 05:00:00,17044.49,12347.46,61.32
2021-06-04 06:00:00,18889.93,13364.02,75.98
2021-06-04 07:00:00,19787.83,15807.63,82.99
2021-06-04 08:00:00,20085.89,19116.48,85.9
2021-06-04 09:00:00,19794.19,23822.63,81.45
2021-06-04 10:00:00,19354.23,28477.75,75.58
2021-06-04 11:00:00,19376.71,32584.9,74.88
2021-06-04 12:00:00,18814.16,34637.76,69.95
2021-06-04 13:00:00,18976.24,34228.52,63.01
2021-06-04 14:00:00,18746.79,31771.88,62.91
2021-06-04 15:00:00,18932.04,29007.58,63.93
2021-06-04 16:00:00,19318.98,26243.93,67
2021-06-04 17:00:00,19420.38,22773.61,75.9
2021-06-04 18:00:00,19614.36,19025.62,79.91
2021-06-04 19:00:00,19670.14,15489.79,81.95
2021-06-04 20:00:00,19820.58,13138.95,81.69
2021-06-04 21:00:00,19462.34,12842.8,80
2021-06-04 22:00:00,19093.36,13145.84,78.21
2021-06-04 23:00:00,17937.04,13023.52,72.09
2021-06-05 00:00:00,16572.97,12879.54,74.87
2021-06-05 01:00:00,16216.77,12495.16,65.25
2021-06-05 02:00:00,16023.33,12456.8,59.01
2021-06-05 03:00:00,15753.22,12507.26,56.96
2021-06-05 04:00:00,15719.76,12367.23,56.03
2021-06-05 05:00:00,15597.74,12736.99,56.04
2021-06-05 06:00:00,16033.38,14279.89,56.07
2021-06-05 07:00:00,16360.08,16790.26,59.07
2021-06-05 08:00:00,16731.02,20762.14,66.02
2021-06-05 09:00:00,16918.41,25001.18,67.99
2021-06-05 10:00:00,16788.56,28297.46,57.73
2021-06-05 11:00:00,16763.58,30549.51,58.03
2021-06-05 12:00:00,16411.21,32247.3,58.83
2021-06-05 13:00:00,16070.56,32904.55,55.49
2021-06-05 14:00:00,15260.83,31784.24,52.4
2021-06-05 15:00:00,15651.84,29878.99,53.8
2021-06-05 16:00:00,15805,27687.64,55.25
2021-06-05 17:00:00,16362.24,23821.77,60.48
2021-06-05 18:00:00,16749.38,20345.4,70.6
2021-06-05 19:00:00,16949.03,17338.92,75.62
2021-06-05 20:00:00,16949.97,15617.12,76.01
2021-06-05 21:00:00,16867.53,14660.57,75.6
2021-06-05 22:00:00,16794.49,14318.4,72.37
2021-06-05 23:00:00,16519.62,14083.06,61.86
