Datum (MEZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2024-03-04 00:00:00,20271.32,17163.66,69.13
2024-03-04 01:00:00,20414.54,15633.53,67.9
2024-03-04 02:00:00,20671.33,14882.02,67.41
2024-03-04 03:00:00,21021.7,14472.28,66.22
2024-03-04 04:00:00,22815.36,14537.07,65.59
2024-03-04 05:00:00,25973.63,14675.93,70.83
2024-03-04 06:00:00,29096.97,14766.28,81.18
2024-03-04 07:00:00,30636.07,15351.9,96.67
2024-03-04 08:00:00,31258.88,17944.99,102.97
2024-03-04 09:00:00,30797.66,20496.33,85.02
2024-03-04 10:00:00,30020.08,22678.74,71.93
2024-03-04 11:00:00,28567.02,24433.04,64.89
2024-03-04 12:00:00,28071.23,25536.44,63.93
2024-03-04 13:00:00,28163.33,25066.89,61.1
2024-03-04 14:00:00,28701.1,23066.96,62.5
2024-03-04 15:00:00,29794.25,20868.43,69.86
2024-03-04 16:00:00,31235.71,18499.24,75.95
2024-03-04 17:00:00,32425.2,16683.83,90.59
2024-03-04 18:00:00,32856.94,16925.62,105.18
2024-03-04 19:00:00,33123.29,17460.09,99.13
2024-03-04 20:00:00,32298.32,18032.19,80.52
2024-03-04 21:00:00,30917.49,18861.1,71.39
2024-03-04 22:00:00,29334.34,19238.77,67.49
2024-03-04 23:00:00,26961.89,19055.12,63.93
2024-03-05 00:00:00,24741.59,18596.12,61.96
2024-03-05 01:00:00,24050.75,18460.29,61.67
2024-03-05 02:00:00,23626.12,18510.73,61.33
2024-03-05 03:00:00,24074.96,18750.35,59.86
2024-03-05 04:00:00,24807.79,18788.82,60.56
2024-03-05 05:00:00,27324.64,19116.73,61.67
2024-03-05 06:00:00,31021.89,20159.19,71.53
2024-03-05 07:00:00,32918.04,21422.99,79.28
2024-03-05 08:00:00,33620.3,24338.72,83.02
2024-03-05 09:00:00,33264.96,27671.95,77
2024-03-05 10:00:00,32411.5,30122.66,71.15
2024-03-05 11:00:00,31640.09,31251.66,69.72
2024-03-05 12:00:00,32322.97,30237.17,66.01
2024-03-05 13:00:00,32821.96,28892.57,65.83
2024-03-05 14:00:00,32840.27,27429.71,69.61
2024-03-05 15:00:00,33222.88,25780.87,70.67
2024-03-05 16:00:00,34259.7,24070.3,76.28
2024-03-05 17:00:00,35088.11,22207.58,82.07
2024-03-05 18:00:00,36069.62,22374.84,104.38
2024-03-05 19:00:00,36332.81,21648.64,112.99
2024-03-05 20:00:00,35151.49,20716.92,93.12
2024-03-05 21:00:00,33903.19,19766.73,82.81
2024-03-05 22:00:00,32774.53,18921.89,76.08
2024-03-05 23:00:00,30923.18,18372.97,71.83
2024-03-06 00:00:00,29482.07,16852.1,71
2024-03-06 01:00:00,28838.51,15171.98,70.7
2024-03-06 02:00:00,28989.89,14213.32,70.46
2024-03-06 03:00:00,28706.52,13581.64,69.74
2024-03-06 04:00:00,29295.36,13293.94,70.46
2024-03-06 05:00:00,31133.34,13469.19,73.91
2024-03-06 06:00:00,33449.32,13459.72,83.98
2024-03-06 07:00:00,34368.24,14551.75,106.64
2024-03-06 08:00:00,34410.02,17262.2,108.7
2024-03-06 09:00:00,34229.85,21183.47,87.21
2024-03-06 10:00:00,32263.03,24922.84,75.92
2024-03-06 11:00:00,29927.32,26767.87,72.02
2024-03-06 12:00:00,28760.9,26931.16,69.35
2024-03-06 13:00:00,29236.14,26018.02,69.29
2024-03-06 14:00:00,29768.21,23466.08,70.64
2024-03-06 15:00:00,31410.44,19914.38,72.26
2024-03-06 16:00:00,33796.44,16248.95,81.06
2024-03-06 17:00:00,34648.95,13886,100
2024-03-06 18:00:00,35202.62,14398.21,119.58
2024-03-06 19:00:00,35424.2,15707.93,119.25
2024-03-06 20:00:00,34723.83,16321.64,93.4
2024-03-06 21:00:00,33168.06,16836.45,80.15
2024-03-06 22:00:00,30871.03,17108.08,77.98
2024-03-06 23:00:00,28690.32,16993.31,74.34
2024-03-07 00:00:00,27159.5,16805.68,73.33
2024-03-07 01:00:00,26139.59,15708.8,72.32
2024-03-07 02:00:00,26116.92,15159.09,70.34
2024-03-07 03:00:00,26489.35,14908.14,68.71
2024-03-07 04:00:00,26977.83,15333.88,69.89
2024-03-07 05:00:00,27975.09,16256.94,73.13
2024-03-07 06:00:00,30120.28,17164.62,84.27
2024-03-07 07:00:00,30629.58,19364.3,103.2
2024-03-07 08:00:00,30892.8,23586.8,96.7
2024-03-07 09:00:00,29906.42,28652.01,79.09
2024-03-07 10:00:00,26394.54,33816.15,71.31
2024-03-07 11:00:00,23614.1,36915.33,66.16
2024-03-07 12:00:00,21377.26,37381.55,61.69
2024-03-07 13:00:00,21582.63,35669.07,60.26
2024-03-07 14:00:00,23355.26,33235.28,63.33
2024-03-07 15:00:00,25480.99,30010.38,66.04
2024-03-07 16:00:00,27478.88,25633.89,69.92
2024-03-07 17:00:00,28570.65,22156.35,89.2
2024-03-07 18:00:00,28291.18,23499.92,105.71
2024-03-07 19:00:00,27653.53,26753.89,90.3
2024-03-07 20:00:00,25575.29,28997.18,82.49
2024-03-07 21:00:00,23572.21,29270.9,73.35
2024-03-07 22:00:00,22250.76,28715.72,73.32
2024-03-07 23:00:00,20244.58,27749.97,67.72
2024-03-08 00:00:00,18736.87,27131.33,68.45
2024-03-08 01:00:00,18112.22,27113.92,66.96
2024-03-08 02:00:00,17656.07,26945.47,67.01
2024-03-08 03:00:00,17241.93,26527.34,65.99
2024-03-08 04:00:00,18042.34,26536.32,66.3
2024-03-08 05:00:00,19426.63,27392.74,67.11
2024-03-08 06:00:00,21004.6,28723.37,82.91
2024-03-08 07:00:00,21149.34,31345.73,95.06
2024-03-08 08:00:00,20068.38,36452.29,88.89
2024-03-08 09:00:00,18149.09,43586.12,74.36
2024-03-08 10:00:00,15022.14,52352.58,57.59
2024-03-08 11:00:00,12441.76,59438.34,52.05
2024-03-08 12:00:00,11279.87,63046.72,21.77
2024-03-08 13:00:00,10876.48,62872.87,4.26
2024-03-08 14:00:00,10702.28,60016.16,24.2
2024-03-08 15:00:00,11018.39,56319.51,40.25
2024-03-08 16:00:00,13016.25,48134.4,55.74
2024-03-08 17:00:00,15799.99,40342.69,71.98
2024-03-08 18:00:00,16467.34,40567.75,83.76
2024-03-08 19:00:00,15724.66,42981.7,79.98
2024-03-08 20:00:00,15119.95,43896.76,71.46
2024-03-08 21:00:00,14015.1,43213.36,64.9
2024-03-08 22:00:00,13797.29,41185.25,65.03
2024-03-08 23:00:00,13052.62,39529.21,59.89
2024-03-09 00:00:00,11616.87,38127.44,56.56
2024-03-09 01:00:00,11112.84,36123.69,54.91
2024-03-09 02:00:00,10789.04,34711.35,53.72
2024-03-09 03:00:00,10730.78,33953.66,52.56
2024-03-09 04:00:00,10677.82,34235.23,48.6
2024-03-09 05:00:00,10720.76,34491.27,47.79
2024-03-09 06:00:00,11137.49,34840.05,50.47
2024-03-09 07:00:00,11315.42,37414.89,53.06
2024-03-09 08:00:00,11242.69,43433.67,53.06
2024-03-09 09:00:00,10593.94,49932.5,48.12
2024-03-09 10:00:00,9956.44,56158.23,32.94
2024-03-09 11:00:00,9802.83,60071.25,0.2
2024-03-09 12:00:00,9753.81,59971.2,-1.15
2024-03-09 13:00:00,9704.07,58172.78,-5.02
2024-03-09 14:00:00,9795.52,55682.71,-0.04
2024-03-09 15:00:00,10094.37,50699.12,28.19
2024-03-09 16:00:00,11895.17,40915.31,52.64
2024-03-09 17:00:00,15054.4,33337.4,69.49
2024-03-09 18:00:00,16061.15,33131.63,78.02
2024-03-09 19:00:00,15274.91,36012.39,74.99
2024-03-09 20:00:00,13294.71,37340.04,67.26
2024-03-09 21:00:00,12680.79,37776.76,60.47
2024-03-09 22:00:00,12627.43,37198.92,60.53
2024-03-09 23:00:00,12511.09,36947.57,57.29
2024-03-10 00:00:00,11548.21,36419.28,48.65
2024-03-10 01:00:00,10866.48,36717.08,46.06
2024-03-10 02:00:00,10598.86,36735.68,40.98
2024-03-10 03:00:00,10535.78,36573.99,35.55
2024-03-10 04:00:00,10260.4,37202.11,32.39
2024-03-10 05:00:00,10283.69,38425.81,32.28
2024-03-10 06:00:00,10337.65,39701.16,33.91
2024-03-10 07:00:00,10386.1,42173.45,39.49
2024-03-10 08:00:00,9755.12,45584.23,34.82
2024-03-10 09:00:00,9696.48,47963.28,25.25
2024-03-10 10:00:00,9497.02,50831.55,2.35
2024-03-10 11:00:00,9508.62,52316.9,-0.1
2024-03-10 12:00:00,9717.24,53180.32,-8.24
2024-03-10 13:00:00,9715.06,52216.43,-9.98
2024-03-10 14:00:00,10552.6,49393.88,-0.51
2024-03-10 15:00:00,11571.86,45185.42,14.41
2024-03-10 16:00:00,12896.35,40118.88,47.96
2024-03-10 17:00:00,14494.64,37716.28,55.97
2024-03-10 18:00:00,15491.09,37660.66,66.35
2024-03-10 19:00:00,16138.44,36816.87,62.32
2024-03-10 20:00:00,15894.46,36151.9,57.14
2024-03-10 21:00:00,14944.03,35745.68,53.74
2024-03-10 22:00:00,14947.94,34469.15,53.08
2024-03-10 23:00:00,14246.21,33250.84,52.05
