Datum (MESZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2024-06-03 00:00:00,12311.53,20116.16,98.26
2024-06-03 01:00:00,12537.04,19377.48,84.58
2024-06-03 02:00:00,12362.68,18371.25,83.67
2024-06-03 03:00:00,12437.9,17706.89,83.81
2024-06-03 04:00:00,13649.1,17935.77,82.17
2024-06-03 05:00:00,15202.71,17923.69,96.17
2024-06-03 06:00:00,17083.78,18233.92,133.28
2024-06-03 07:00:00,18094.76,19423.76,193.06
2024-06-03 08:00:00,18606.39,21389.51,164.48
2024-06-03 09:00:00,18794.25,24242.69,128.08
2024-06-03 10:00:00,18713.19,27073.86,99.05
2024-06-03 11:00:00,18432.36,30321.38,95.9
2024-06-03 12:00:00,17566.85,33399.53,81.09
2024-06-03 13:00:00,16572.11,35793.82,74.9
2024-06-03 14:00:00,15914.75,36265.58,67.3
2024-06-03 15:00:00,16804.49,34946.7,72.02
2024-06-03 16:00:00,17905.31,31873.53,78
2024-06-03 17:00:00,18786.92,27374.55,105.95
2024-06-03 18:00:00,19763.03,22588.77,127.32
2024-06-03 19:00:00,20417.2,17809.35,182.91
2024-06-03 20:00:00,20584.51,13926.06,215.28
2024-06-03 21:00:00,20495.46,11881.22,198.79
2024-06-03 22:00:00,20295.08,11476.24,149.29
2024-06-03 23:00:00,18996.83,11012.08,116.04
2024-06-04 00:00:00,18609.84,10365.87,106.87
2024-06-04 01:00:00,18630.07,9744.17,99.98
2024-06-04 02:00:00,18519.72,9096.77,95.42
2024-06-04 03:00:00,18750.82,8516.74,92.94
2024-06-04 04:00:00,19097.48,8273.99,92.25
2024-06-04 05:00:00,19187.91,8735.14,104.69
2024-06-04 06:00:00,19952.06,10870,162
2024-06-04 07:00:00,19817.56,15195.99,177.66
2024-06-04 08:00:00,19399.53,21635.03,141.68
2024-06-04 09:00:00,17512.27,28724.85,112.37
2024-06-04 10:00:00,14095.89,33440.22,91.6
2024-06-04 11:00:00,11897.81,36938.84,81.31
2024-06-04 12:00:00,10110.22,40878.89,67.34
2024-06-04 13:00:00,9735.43,43037.55,55.27
2024-06-04 14:00:00,9592.79,44003.48,43.86
2024-06-04 15:00:00,9589.17,43147.69,47.06
2024-06-04 16:00:00,9983.63,39240.87,64.03
2024-06-04 17:00:00,13427.01,34537.7,84.88
2024-06-04 18:00:00,17817.06,27962.65,116.22
2024-06-04 19:00:00,19622.98,21408.9,176.78
2024-06-04 20:00:00,20073.23,18456.84,235.52
2024-06-04 21:00:00,20125.88,18309.2,140.68
2024-06-04 22:00:00,19497.72,19453.12,107.34
2024-06-04 23:00:00,16691.77,22010.74,75.81
2024-06-05 00:00:00,12586.97,24636.13,56.85
2024-06-05 01:00:00,10913.97,28951.39,43.93
2024-06-05 02:00:00,10062.54,29518.05,44.55
2024-06-05 03:00:00,10068.29,30493.95,50.05
2024-06-05 04:00:00,10268.71,31424.18,48.09
2024-06-05 05:00:00,10702.92,30387.26,71.19
2024-06-05 06:00:00,12678.46,32360.36,103.55
2024-06-05 07:00:00,12708.64,33776.81,142.76
2024-06-05 08:00:00,12239.32,38373.42,112.92
2024-06-05 09:00:00,10733.38,41996,84.16
2024-06-05 10:00:00,10121.37,44606.55,69.93
2024-06-05 11:00:00,10191.13,45212.04,62.03
2024-06-05 12:00:00,10587.19,44695.49,48.4
2024-06-05 13:00:00,11139.98,45201.57,30.17
2024-06-05 14:00:00,10410.23,44644.12,26.3
