Datum (MESZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2021-10-18 00:00:00,24780.37,16388.54,114.35
2021-10-18 01:00:00,24908.04,16796.6,118.04
2021-10-18 02:00:00,24469.27,16485.46,108.79
2021-10-18 03:00:00,24547.49,16265.15,109.84
2021-10-18 04:00:00,25502.69,16252.59,118
2021-10-18 05:00:00,26987.48,16036.4,156.82
2021-10-18 06:00:00,29023.22,16037.74,216.6
2021-10-18 07:00:00,30361.02,16394.08,258.13
2021-10-18 08:00:00,31079.29,17869.81,268.32
2021-10-18 09:00:00,31807.81,21024.54,250.5
2021-10-18 10:00:00,31606.1,23543.57,216
2021-10-18 11:00:00,31480.9,25740.6,199.27
2021-10-18 12:00:00,31123.5,28880.72,180
2021-10-18 13:00:00,30902.51,29776.97,166.79
2021-10-18 14:00:00,30293.87,29481.07,173.74
2021-10-18 15:00:00,30346.27,25469.18,190.98
2021-10-18 16:00:00,30770.28,20219.08,208.7
2021-10-18 17:00:00,31322.9,16102.78,229.97
2021-10-18 18:00:00,31512.99,16040.64,252.97
2021-10-18 19:00:00,31355.34,18423,262.12
2021-10-18 20:00:00,30402.44,21093.49,214
2021-10-18 21:00:00,27672.41,22541.23,206
2021-10-18 22:00:00,26152.85,22844.32,181.42
2021-10-18 23:00:00,25364.75,22165.75,151.97
2021-10-19 00:00:00,24095.02,22218.25,113.47
2021-10-19 01:00:00,23214.13,21777.09,106.28
2021-10-19 02:00:00,23125.75,21286.43,102.05
2021-10-19 03:00:00,23153.49,21337.52,92.12
2021-10-19 04:00:00,23652.22,22012.86,97.17
2021-10-19 05:00:00,25251.08,22377.96,114.97
2021-10-19 06:00:00,27559.64,23515.8,165.1
2021-10-19 07:00:00,29097.22,24673.84,215.9
2021-10-19 08:00:00,29597.71,26222.31,235.68
2021-10-19 09:00:00,29730.9,28291.26,224.7
2021-10-19 10:00:00,29971.93,29510.25,214.55
2021-10-19 11:00:00,30089.81,31415.77,199.42
2021-10-19 12:00:00,29452.27,33036.63,199.64
2021-10-19 13:00:00,28982.82,33625.48,188.69
2021-10-19 14:00:00,28215.17,33627.97,182
2021-10-19 15:00:00,28127.67,33183.14,171.6
2021-10-19 16:00:00,28394.15,32686.33,172.09
2021-10-19 17:00:00,28513.95,32546.35,183.27
2021-10-19 18:00:00,28271.08,33970.78,184.8
2021-10-19 19:00:00,26651.31,35982.05,166.13
2021-10-19 20:00:00,23688.34,37536.6,137.92
2021-10-19 21:00:00,21047.28,39394.57,94.98
2021-10-19 22:00:00,18769.98,39299.68,69.37
2021-10-19 23:00:00,16064.65,39294.77,51.02
2021-10-20 00:00:00,12644.7,39441.6,14.39
2021-10-20 01:00:00,11898.36,38592.85,5.65
2021-10-20 02:00:00,11849.33,38812.43,4.12
2021-10-20 03:00:00,11114.88,38518.39,0.09
2021-10-20 04:00:00,11132.32,38558.09,0.15
2021-10-20 05:00:00,12068.98,40409,14.07
2021-10-20 06:00:00,15031.71,43538.49,62.95
2021-10-20 07:00:00,16145.47,43868.2,132.17
2021-10-20 08:00:00,16698.98,45381.71,130.53
2021-10-20 09:00:00,16528.12,50057.58,98.43
2021-10-20 10:00:00,16107.91,54972.78,61.32
2021-10-20 11:00:00,15254.73,58795.54,56.08
2021-10-20 12:00:00,13479.76,60449.63,48.09
