Datum (MESZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2020-07-06 00:00:00,9432.13,30863.77,19.9
2020-07-06 01:00:00,9085.05,32257.13,7.71
2020-07-06 02:00:00,8200.84,33736.97,6.45
2020-07-06 03:00:00,8198.33,34245.89,3.37
2020-07-06 04:00:00,8279.11,34659.18,3.23
2020-07-06 05:00:00,8531.38,35360.04,5.61
2020-07-06 06:00:00,9829.7,37967.23,20.42
2020-07-06 07:00:00,10918.96,42707.87,28.27
2020-07-06 08:00:00,10533.11,49644.53,27.97
2020-07-06 09:00:00,10195.8,54478.38,21.89
2020-07-06 10:00:00,10786.26,56776.01,1.49
2020-07-06 11:00:00,11224.31,58707.08,1.1
2020-07-06 12:00:00,9956.38,60237.65,1.25
2020-07-06 13:00:00,9457.26,60563.75,0.05
2020-07-06 14:00:00,9572.21,60546.67,-3.05
2020-07-06 15:00:00,9545.66,58808.02,-2.97
2020-07-06 16:00:00,10055.22,56296.37,-0.02
2020-07-06 17:00:00,11797.11,51253.4,1.23
2020-07-06 18:00:00,14172.16,45569.99,27.96
2020-07-06 19:00:00,15727.54,39224.24,34.22
2020-07-06 20:00:00,16452.13,33994.9,34.51
2020-07-06 21:00:00,16850.46,30307.31,35.31
2020-07-06 22:00:00,16916.07,28696.18,35.94
2020-07-06 23:00:00,16612.68,28971.63,30.94
2020-07-07 00:00:00,15539.06,27961.86,29.56
2020-07-07 01:00:00,14911.81,26864.82,28.54
2020-07-07 02:00:00,14394.67,24296.55,27.96
2020-07-07 03:00:00,14865.75,21721.64,27.3
2020-07-07 04:00:00,15367.63,19912.43,27.15
2020-07-07 05:00:00,16192.77,18814.03,27.9
2020-07-07 06:00:00,17518.41,19847.45,33.83
2020-07-07 07:00:00,18402.42,23281.83,37.65
2020-07-07 08:00:00,18188.08,30397.15,37.2
2020-07-07 09:00:00,18261.45,36239.56,34.87
2020-07-07 10:00:00,18550.18,39707.97,30.82
2020-07-07 11:00:00,18202.61,42380.94,27.99
2020-07-07 12:00:00,17525.98,45148.9,27.73
2020-07-07 13:00:00,17235.63,45560.37,24.98
2020-07-07 14:00:00,17225.22,45321.87,24.36
2020-07-07 15:00:00,17269.93,44539.6,24.8
2020-07-07 16:00:00,18296.2,41327.79,25.18
2020-07-07 17:00:00,19314.12,35801.28,30.48
2020-07-07 18:00:00,19800.36,29831.58,38.48
2020-07-07 19:00:00,19608.91,23443.43,40.78
2020-07-07 20:00:00,19868.99,19384.89,40.84
2020-07-07 21:00:00,19828.64,16772.46,40.1
2020-07-07 22:00:00,19793.91,16402.47,40.15
2020-07-07 23:00:00,19610.2,16110.51,37
2020-07-08 00:00:00,19852.48,15798.62,35.93
2020-07-08 01:00:00,19417.27,15249.52,31.05
2020-07-08 02:00:00,19416.67,15047.84,30.41
2020-07-08 03:00:00,19138.84,15048.9,29.92
2020-07-08 04:00:00,18874.15,14943.32,29.55
2020-07-08 05:00:00,20062.86,14907.29,30.3
2020-07-08 06:00:00,22112.23,15829.25,36.98
2020-07-08 07:00:00,23134.98,17849.68,43
2020-07-08 08:00:00,23447.71,20940,47
2020-07-08 09:00:00,23803.99,24457.72,46.2
2020-07-08 10:00:00,23751.87,27929.71,44.44
2020-07-08 11:00:00,23834.34,30229.47,44.71
2020-07-08 12:00:00,24006.72,31067.07,42.02
2020-07-08 13:00:00,24013.9,30511.58,41.09
2020-07-08 14:00:00,23983.56,28625.05,40.2
2020-07-08 15:00:00,23647.44,26321.67,39.99
2020-07-08 16:00:00,23865.89,23794.97,40.02
2020-07-08 17:00:00,24021.54,20499.42,45.05
2020-07-08 18:00:00,24293.28,17001.05,52.13
2020-07-08 19:00:00,24331.37,13904.13,55
2020-07-08 20:00:00,24603.76,11278.74,52.92
2020-07-08 21:00:00,24592.49,10305.55,45.93
2020-07-08 22:00:00,24505.02,10038.58,45.49
2020-07-08 23:00:00,24150.21,9733.34,39.8
2020-07-09 00:00:00,23752.39,9574.65,39.94
2020-07-09 01:00:00,23066.02,9574.86,35.41
2020-07-09 02:00:00,21899.38,9435.3,32.66
2020-07-09 03:00:00,21503.47,9598.5,30.21
2020-07-09 04:00:00,21956.93,10015.79,30.99
2020-07-09 05:00:00,22856.13,11067.56,34.37
2020-07-09 06:00:00,23815.82,13258.3,42.9
2020-07-09 07:00:00,24394.17,16449.53,51.96
2020-07-09 08:00:00,24383.74,20441.4,51.18
2020-07-09 09:00:00,24454.65,24570.39,47.94
2020-07-09 10:00:00,24329.78,28724.7,47.08
2020-07-09 11:00:00,24015.34,32637.06,47.56
2020-07-09 12:00:00,23692.16,34925.1,43.23
2020-07-09 13:00:00,22974.53,36515.47,42.53
2020-07-09 14:00:00,22063.67,37606.36,40.11
2020-07-09 15:00:00,21124.77,37388.35,39.84
2020-07-09 16:00:00,21343.41,35103.44,39.9
2020-07-09 17:00:00,23158.35,31187.71,41.78
2020-07-09 18:00:00,23086.05,25690.62,46.35
2020-07-09 19:00:00,23518.21,19780.38,51.7
2020-07-09 20:00:00,23701.17,16128.29,47.39
2020-07-09 21:00:00,23717.29,14581.25,46.22
2020-07-09 22:00:00,23575.23,12917.94,45
2020-07-09 23:00:00,23262.66,11515.83,41.91
2020-07-10 00:00:00,22782.15,10979.29,39
2020-07-10 01:00:00,21859.59,11475.29,34.62
2020-07-10 02:00:00,20849.76,12586.58,32.94
2020-07-10 03:00:00,20630.55,13933.81,31.1
2020-07-10 04:00:00,20455.56,15683.73,30.52
2020-07-10 05:00:00,20494.18,18028.39,32.05
2020-07-10 06:00:00,21727.2,21214.75,38.06
2020-07-10 07:00:00,22186.38,24262.47,41.01
2020-07-10 08:00:00,22435.2,27469.67,42.94
2020-07-10 09:00:00,22482.06,32940.33,42.54
2020-07-10 10:00:00,22378.66,38884.67,41.76
2020-07-10 11:00:00,21985.8,44180.25,39.95
2020-07-10 12:00:00,20161.2,47542.41,38.43
2020-07-10 13:00:00,18684.63,48517.86,35.41
2020-07-10 14:00:00,17730.72,47831.44,29.54
2020-07-10 15:00:00,17451.38,46792.43,29.17
2020-07-10 16:00:00,17190.34,45048.96,30.5
2020-07-10 17:00:00,17555.61,41004.67,35.34
2020-07-10 18:00:00,18863.24,36162.35,38.98
2020-07-10 19:00:00,20791.96,29912.36,40.79
2020-07-10 20:00:00,21160.91,23950.49,39
2020-07-10 21:00:00,21203.42,20465.44,39
2020-07-10 22:00:00,21464.88,19249.23,39.4
2020-07-10 23:00:00,20815.53,19198.24,36.8
2020-07-11 00:00:00,19902.55,19180.55,34.57
2020-07-11 01:00:00,19219.71,19093.5,29.9
2020-07-11 02:00:00,18020.91,18341.02,28.37
2020-07-11 03:00:00,17195.06,17745.4,27.13
2020-07-11 04:00:00,16742.46,17455.48,26.1
2020-07-11 05:00:00,16515.86,17422.93,26.1
2020-07-11 06:00:00,16523.83,17839.06,26.09
2020-07-11 07:00:00,16963.51,19084.8,27.58
2020-07-11 08:00:00,16984.8,24253.53,29.09
2020-07-11 09:00:00,16087.78,30101.35,28.34
2020-07-11 10:00:00,15736.56,33798.42,26.53
2020-07-11 11:00:00,15268.52,35654.31,25.62
2020-07-11 12:00:00,15197.49,36259.77,23.29
2020-07-11 13:00:00,14810.3,36521.8,22.86
2020-07-11 14:00:00,14709.79,36468.53,22.42
2020-07-11 15:00:00,14783.96,34857.96,22.45
2020-07-11 16:00:00,15016.99,31827.09,24.36
2020-07-11 17:00:00,15950.22,28240.08,26.5
2020-07-11 18:00:00,17584.9,23362.92,30.42
2020-07-11 19:00:00,18699.93,17914.74,34
