Datum (MESZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2021-06-28 00:00:00,19685.87,11792.92,81.2
2021-06-28 01:00:00,19404.89,11758.68,73.38
2021-06-28 02:00:00,19560.31,11916.19,70.2
2021-06-28 03:00:00,19644.78,12272.53,68.92
2021-06-28 04:00:00,20076.82,12137.4,69.15
2021-06-28 05:00:00,21192.38,12072.83,74
2021-06-28 06:00:00,23211.84,13569.79,94.29
2021-06-28 07:00:00,25090.32,17145.31,103.18
2021-06-28 08:00:00,25735.7,22535.9,98.49
2021-06-28 09:00:00,25798.4,29065.21,94.24
2021-06-28 10:00:00,25491.56,34255.15,89.7
2021-06-28 11:00:00,25135.84,37733.48,86.95
2021-06-28 12:00:00,24613.46,39195.88,86.74
2021-06-28 13:00:00,24529.96,38658.9,78.47
2021-06-28 14:00:00,24571.84,36888.53,76.4
2021-06-28 15:00:00,24328.69,34504.74,81.2
2021-06-28 16:00:00,24768.2,31370.62,84.96
2021-06-28 17:00:00,26099.24,26905,90.45
2021-06-28 18:00:00,26542.76,21539.32,99.62
2021-06-28 19:00:00,26621.28,17523.54,123.96
2021-06-28 20:00:00,26689.44,15818.7,117.96
2021-06-28 21:00:00,26472.39,16516.99,98.98
2021-06-28 22:00:00,25735.11,18012.75,97.49
2021-06-28 23:00:00,24589.72,18227.98,89.59
2021-06-29 00:00:00,23278.54,18439.79,81.03
2021-06-29 01:00:00,22764.87,17850.19,76.33
2021-06-29 02:00:00,22111.68,17635.81,74.98
2021-06-29 03:00:00,21566.72,17580.07,73.45
2021-06-29 04:00:00,21962.95,17040.68,74.52
2021-06-29 05:00:00,22510.47,17646.97,78.46
2021-06-29 06:00:00,24307.38,19061.09,93.79
2021-06-29 07:00:00,25806.05,20043.3,103.48
2021-06-29 08:00:00,26516.78,21378.71,111.03
2021-06-29 09:00:00,26886.72,25000.82,104.04
2021-06-29 10:00:00,26080.01,29759.12,99.14
2021-06-29 11:00:00,25555.31,33986.98,97.62
2021-06-29 12:00:00,25293.75,35304.06,95.25
2021-06-29 13:00:00,25067.15,36023.75,92.98
2021-06-29 14:00:00,24837.5,34599.86,90.02
2021-06-29 15:00:00,25058.54,30967.47,88.39
