Datum (MESZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2023-07-31 00:00:00,8316.85,28069.72,61.03
2023-07-31 01:00:00,7969.29,28817.52,50.51
2023-07-31 02:00:00,8108.96,28857.62,44.09
2023-07-31 03:00:00,7713.54,29252.17,30.3
2023-07-31 04:00:00,7413.65,29333.82,28.91
2023-07-31 05:00:00,7613.1,28996.34,50.31
2023-07-31 06:00:00,7679.12,30208.62,78.18
2023-07-31 07:00:00,8132.22,31935.35,86.58
2023-07-31 08:00:00,8358.29,34353.29,88.16
2023-07-31 09:00:00,8459.47,38215.42,86
2023-07-31 10:00:00,8081.4,42883.08,74.16
2023-07-31 11:00:00,8033.41,47482.41,67.49
2023-07-31 12:00:00,8023.07,49759,65.18
2023-07-31 13:00:00,8098.43,50510.23,59.65
2023-07-31 14:00:00,8401.47,49840.07,59.14
2023-07-31 15:00:00,8153.81,47899.86,59.94
2023-07-31 16:00:00,8011.37,44422.22,67.66
2023-07-31 17:00:00,7930.28,38548.06,75.97
2023-07-31 18:00:00,8536.65,33592.5,89.68
2023-07-31 19:00:00,9195.03,30337.67,98.21
2023-07-31 20:00:00,9216.96,28551.32,99.97
2023-07-31 21:00:00,8759.53,28327.39,99.25
2023-07-31 22:00:00,8635.01,28301.34,95.26
2023-07-31 23:00:00,8382.97,28884.74,87.63
2023-08-01 00:00:00,8023.48,27378.87,68.01
2023-08-01 01:00:00,7922.27,27008,58.86
2023-08-01 02:00:00,7876.92,25955.39,57.86
2023-08-01 03:00:00,7903.89,25781.44,56.94
2023-08-01 04:00:00,8021.18,25795.29,57.9
2023-08-01 05:00:00,8601.9,26551.46,63.4
2023-08-01 06:00:00,9142.06,28305.45,91.8
2023-08-01 07:00:00,9535.99,29852.13,94.44
2023-08-01 08:00:00,9861.6,30830.08,99
2023-08-01 09:00:00,10200.24,33357.29,92.19
2023-08-01 10:00:00,10295.76,37581.83,92.72
2023-08-01 11:00:00,10119.87,42689.14,87.27
2023-08-01 12:00:00,9861.51,46686.08,79.22
2023-08-01 13:00:00,9766.21,49768.47,69.92
2023-08-01 14:00:00,9931.17,52642.76,60.12
2023-08-01 15:00:00,9628.76,53430.95,57.27
2023-08-01 16:00:00,9271.8,51362.17,56.96
2023-08-01 17:00:00,9185.52,47967.12,68.5
2023-08-01 18:00:00,9073.32,42072.28,81.74
2023-08-01 19:00:00,9303.13,34063.12,96.05
2023-08-01 20:00:00,9586.94,28712.8,108.83
2023-08-01 21:00:00,9381.89,28199.97,111.94
2023-08-01 22:00:00,8863.58,27808.65,102.55
