Datum (MEZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2022-01-03 00:00:00,10255.41,41074.3,0.31
2022-01-03 01:00:00,10432.29,38822.02,-0.01
2022-01-03 02:00:00,10307.26,38101.39,-0.07
2022-01-03 03:00:00,10349.15,37219.45,-1.05
2022-01-03 04:00:00,10499.09,38912.32,-1
2022-01-03 05:00:00,11030.14,43036.72,0.32
2022-01-03 06:00:00,12471.69,48315.22,37.55
2022-01-03 07:00:00,14428.22,49648.69,88.76
2022-01-03 08:00:00,16874.2,48919.97,122.93
2022-01-03 09:00:00,18280.92,49806.94,110.17
2022-01-03 10:00:00,19015.63,51829.26,93.38
2022-01-03 11:00:00,18938.02,53955.79,90.73
2022-01-03 12:00:00,18824.82,54066.41,82.37
2022-01-03 13:00:00,19063.5,52120.18,80.9
2022-01-03 14:00:00,19574.3,49586.14,80.99
2022-01-03 15:00:00,20806.94,46111.36,98.05
2022-01-03 16:00:00,22030.53,44724.01,123.51
2022-01-03 17:00:00,22577.15,44192.05,148.49
2022-01-03 18:00:00,22789.77,44207.63,138
2022-01-03 19:00:00,22765.35,42791.63,117.64
2022-01-03 20:00:00,22895.39,40484.3,117.71
2022-01-03 21:00:00,22864.75,38796.94,95.95
2022-01-03 22:00:00,22730.73,36671.98,105.68
2022-01-03 23:00:00,22431.68,34640.76,95.26
2022-01-04 00:00:00,22778.26,33105.75,103.7
2022-01-04 01:00:00,22415.71,31608.51,108.27
2022-01-04 02:00:00,21444.83,29455.48,105.92
2022-01-04 03:00:00,21874.53,27703.01,103.41
2022-01-04 04:00:00,23393.96,25489.98,102.71
2022-01-04 05:00:00,25236.68,24266.71,114.23
2022-01-04 06:00:00,28860.33,23912.21,156.91
2022-01-04 07:00:00,31550.28,23609.67,182.64
2022-01-04 08:00:00,33139.46,22955.97,178.91
2022-01-04 09:00:00,34121.48,22368.88,190
2022-01-04 10:00:00,34433.65,23849.33,189.88
2022-01-04 11:00:00,34689.05,24867,182.42
2022-01-04 12:00:00,34835,26513.8,182.46
2022-01-04 13:00:00,34751.52,27558.59,179.59
2022-01-04 14:00:00,34290.55,27033.25,179
2022-01-04 15:00:00,34227.27,27281.52,180.93
2022-01-04 16:00:00,34326.73,27627.1,166.69
2022-01-04 17:00:00,34624.29,28455,189.88
2022-01-04 18:00:00,34460.3,28471.34,184.94
2022-01-04 19:00:00,33984.01,28970.42,178.99
2022-01-04 20:00:00,32672.6,29081.91,156.12
2022-01-04 21:00:00,31239.26,28772.3,140.92
2022-01-04 22:00:00,30763.45,28654.28,137.92
2022-01-04 23:00:00,29499.16,29157.24,97.56
2022-01-05 00:00:00,26282.67,29981.65,105.31
2022-01-05 01:00:00,24628.2,31492.73,97.29
2022-01-05 02:00:00,23012.36,33678.9,84.5
2022-01-05 03:00:00,21420.76,35832.85,75.38
2022-01-05 04:00:00,22120.45,37179.3,79.11
2022-01-05 05:00:00,24068.93,39008.4,94.79
2022-01-05 06:00:00,25674.12,41380.59,99.16
2022-01-05 07:00:00,27025.27,43190.49,101.15
2022-01-05 08:00:00,26664.86,44824.73,129.56
2022-01-05 09:00:00,25992.16,47256.98,113.37
2022-01-05 10:00:00,25489.3,51168.76,94.43
2022-01-05 11:00:00,25357.97,54363.65,98.1
2022-01-05 12:00:00,24320.47,56033.96,95.68
2022-01-05 13:00:00,23746.53,55545.37,96.8
2022-01-05 14:00:00,24574.27,52879.47,107.32
2022-01-05 15:00:00,25528.39,49485.7,119.48
2022-01-05 16:00:00,26538.04,46792.58,137.28
2022-01-05 17:00:00,27047.79,44963.74,148.09
2022-01-05 18:00:00,27065.7,44473.86,139.88
2022-01-05 19:00:00,26554.21,43679.93,135.75
2022-01-05 20:00:00,25019.5,42024.41,119.93
2022-01-05 21:00:00,24184.73,40049.54,98.09
2022-01-05 22:00:00,24394.7,38437.02,118.71
2022-01-05 23:00:00,23282.18,37236.19,99.68
2022-01-06 00:00:00,22052.28,35788.33,99.85
2022-01-06 01:00:00,22866.97,33836.64,101.32
2022-01-06 02:00:00,24773.21,32260.99,110.01
2022-01-06 03:00:00,25452.04,30054.27,111.55
2022-01-06 04:00:00,26948.37,28129.96,123.37
2022-01-06 05:00:00,28472.43,26148.25,149.94
2022-01-06 06:00:00,30862.56,23756.45,185.92
2022-01-06 07:00:00,33334.66,21151.47,228.25
2022-01-06 08:00:00,34285.63,19458.08,228.92
2022-01-06 09:00:00,34206.55,20524.91,212.9
2022-01-06 10:00:00,33864.18,23142.33,215.5
2022-01-06 11:00:00,33586.34,25624.9,231.9
2022-01-06 12:00:00,33550.3,26512.44,226
2022-01-06 13:00:00,33437.19,25313.89,209.2
2022-01-06 14:00:00,33762.07,21161.49,216.06
2022-01-06 15:00:00,34390.65,16296.91,230.77
2022-01-06 16:00:00,34663.73,15504.05,245.95
2022-01-06 17:00:00,34744.09,19236.78,274.11
2022-01-06 18:00:00,34399.86,22491.41,273.44
2022-01-06 19:00:00,33785.01,25752.77,245.48
2022-01-06 20:00:00,32090.68,28344.16,226.14
2022-01-06 21:00:00,29755.62,29676.27,208.31
2022-01-06 22:00:00,29087.38,29986.62,178.75
2022-01-06 23:00:00,28229.17,30851.33,124.7
2022-01-07 00:00:00,26546.53,31738.39,128.92
2022-01-07 01:00:00,25475.62,32633.35,118.4
2022-01-07 02:00:00,24929.22,33977.61,103.01
2022-01-07 03:00:00,24403.47,35122,101.91
2022-01-07 04:00:00,24806.57,35834,101.98
2022-01-07 05:00:00,26773.95,36584.26,114.99
2022-01-07 06:00:00,29438.88,38760.9,140.19
2022-01-07 07:00:00,30834.58,40073.14,152.64
2022-01-07 08:00:00,31591.52,40671.25,160.97
2022-01-07 09:00:00,32053.15,41262.83,161.85
2022-01-07 10:00:00,32123.53,42059.71,161.37
2022-01-07 11:00:00,32356.87,42663.79,166.06
2022-01-07 12:00:00,32676.62,41525.03,166.54
2022-01-07 13:00:00,32993.57,39452.27,166.04
2022-01-07 14:00:00,32878.23,36301.77,169.43
2022-01-07 15:00:00,33036.62,33477.52,189.7
2022-01-07 16:00:00,33056.94,32119.35,201.97
2022-01-07 17:00:00,32963.17,31933.56,243.11
2022-01-07 18:00:00,33063.51,30543.32,253.81
2022-01-07 19:00:00,32616.48,29822.27,237.05
2022-01-07 20:00:00,31718.3,29107.44,224.33
2022-01-07 21:00:00,31716.72,28271.2,213.81
2022-01-07 22:00:00,31133.58,26999.6,185.94
2022-01-07 23:00:00,29561.8,25612.42,148.32
2022-01-08 00:00:00,28936.12,25160.65,164.17
2022-01-08 01:00:00,28993.27,24480.05,152.83
2022-01-08 02:00:00,28957.83,24043.38,166
2022-01-08 03:00:00,28754.74,23822.35,160.86
2022-01-08 04:00:00,29068.51,22767.76,160
2022-01-08 05:00:00,29314.87,23249.02,154.3
2022-01-08 06:00:00,29674.47,23627.41,166
2022-01-08 07:00:00,29893.04,23816.14,182.91
2022-01-08 08:00:00,30195.83,25338.07,215.89
2022-01-08 09:00:00,30342.25,26904.02,231
2022-01-08 10:00:00,29808.27,28816.28,228.95
2022-01-08 11:00:00,29904.5,31539.23,215.39
2022-01-08 12:00:00,29779.9,33907.59,206.68
2022-01-08 13:00:00,29506.37,35550.11,185
2022-01-08 14:00:00,29269.66,35453.79,169.52
2022-01-08 15:00:00,29210.8,34294.35,162.8
2022-01-08 16:00:00,28917.44,35501.88,161.34
2022-01-08 17:00:00,28619.49,38158.26,189.9
2022-01-08 18:00:00,28089,40461.75,170.71
2022-01-08 19:00:00,26030.85,42102.23,140.23
2022-01-08 20:00:00,23280.85,43231.99,102.54
2022-01-08 21:00:00,21538.12,43909.93,102.18
2022-01-08 22:00:00,21037.11,43292.18,102.29
2022-01-08 23:00:00,18938.16,42913.49,90.05
2022-01-09 00:00:00,17458.68,42107.68,85.03
2022-01-09 01:00:00,16908.1,40668.1,84.4
2022-01-09 02:00:00,15831.75,38526.44,80.24
2022-01-09 03:00:00,15106.07,37413.22,55.46
2022-01-09 04:00:00,15601.05,36301.16,49.29
2022-01-09 05:00:00,15977.97,35296.5,50.64
2022-01-09 06:00:00,17428.71,36474.63,74.29
2022-01-09 07:00:00,19460.36,36608.75,84.44
2022-01-09 08:00:00,22400.24,36312.17,97.26
2022-01-09 09:00:00,25642.98,36295.99,119.97
2022-01-09 10:00:00,26824.11,36617.75,134.96
2022-01-09 11:00:00,27408.37,37161.79,149.4
2022-01-09 12:00:00,27414.66,35889.88,165.13
2022-01-09 13:00:00,27660.19,33885.89,165.06
2022-01-09 14:00:00,28136.57,30584.57,170.09
2022-01-09 15:00:00,29640.21,27251.36,189.04
2022-01-09 16:00:00,31117.73,25095.61,190.96
2022-01-09 17:00:00,32264,23734.46,223.3
2022-01-09 18:00:00,33149.82,22518.2,243.94
2022-01-09 19:00:00,33840.74,21449.87,240
2022-01-09 20:00:00,34065.38,20516.72,230.82
2022-01-09 21:00:00,34188.35,19318.94,214.02
2022-01-09 22:00:00,34052.35,17913.44,215.88
2022-01-09 23:00:00,33840.02,16733.27,203.8
