Datum (MESZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2022-07-04 00:00:00,21799.05,16213.01,319.65
2022-07-04 01:00:00,21245.61,15402.2,277.83
2022-07-04 02:00:00,20762.76,14714.39,265.16
2022-07-04 03:00:00,21046.88,13730.03,254.35
2022-07-04 04:00:00,21631.08,13670.77,258.03
2022-07-04 05:00:00,21977.81,13744.8,302.44
2022-07-04 06:00:00,22232.48,15010.23,361.88
2022-07-04 07:00:00,22307.18,18712.52,376
2022-07-04 08:00:00,22243.21,25257.96,385.17
2022-07-04 09:00:00,22011.53,32380.71,366
2022-07-04 10:00:00,21531.35,38597.26,291.7
2022-07-04 11:00:00,21164.97,43535.16,221.3
2022-07-04 12:00:00,20273.16,46809.82,181.8
2022-07-04 13:00:00,17932.73,48562,184.36
2022-07-04 14:00:00,18070.86,48414,172.35
2022-07-04 15:00:00,17967.84,46603.96,171.19
2022-07-04 16:00:00,20190.89,42610.12,182.64
2022-07-04 17:00:00,22708.79,36674.18,211.1
2022-07-04 18:00:00,23638.66,29424.62,329.99
2022-07-04 19:00:00,24248.5,23276.95,379.62
2022-07-04 20:00:00,24724.95,18438.27,398.72
2022-07-04 21:00:00,25351.83,16313.66,385.52
2022-07-04 22:00:00,25344.37,15302.99,396.92
2022-07-04 23:00:00,25339.98,14989.74,379.64
2022-07-05 00:00:00,25153.49,14924.71,359.96
2022-07-05 01:00:00,24941.54,14629.65,319.24
2022-07-05 02:00:00,24760.19,14490.38,309.33
2022-07-05 03:00:00,24625.54,14390.38,301.08
2022-07-05 04:00:00,24530.92,14169.78,299.91
2022-07-05 05:00:00,24948.84,14650.21,324.82
2022-07-05 06:00:00,25582.47,16224.27,380.47
2022-07-05 07:00:00,25836.55,20996.85,412.59
2022-07-05 08:00:00,25381.68,28230.85,409.61
2022-07-05 09:00:00,24034.58,36430.86,338.68
2022-07-05 10:00:00,22650.27,42126.99,283.72
2022-07-05 11:00:00,21370.58,44916.33,286.6
2022-07-05 12:00:00,22032.68,46116.42,243.95
2022-07-05 13:00:00,21526.25,47025.69,227.94
2022-07-05 14:00:00,20045,46896.21,210.95
2022-07-05 15:00:00,20633.65,45487.87,213.06
2022-07-05 16:00:00,22059.41,41955.51,237.8
2022-07-05 17:00:00,23215.8,36741.86,301.14
2022-07-05 18:00:00,24013.36,30315.21,336.25
2022-07-05 19:00:00,24387.26,23577.93,363.98
2022-07-05 20:00:00,24393.72,18920.01,370
2022-07-05 21:00:00,24324.42,17028.09,370.4
2022-07-05 22:00:00,24266.17,16375.79,378.29
2022-07-05 23:00:00,24181.08,16308.48,361.16
2022-07-06 00:00:00,23838.66,16120.85,351.39
2022-07-06 01:00:00,23403.12,16574.58,309.3
2022-07-06 02:00:00,23224.7,16424.29,293.84
2022-07-06 03:00:00,23223.83,16312.06,280.18
2022-07-06 04:00:00,23267.38,16356.52,299.44
2022-07-06 05:00:00,23444.3,16493.8,322.79
2022-07-06 06:00:00,23735.16,17554.23,389.83
2022-07-06 07:00:00,23879.79,21241.95,413.89
2022-07-06 08:00:00,23484.44,27337.5,406.93
2022-07-06 09:00:00,22603.08,33739.26,355.89
2022-07-06 10:00:00,22733.37,38113.99,287.9
2022-07-06 11:00:00,22700.12,40292.25,265.29
2022-07-06 12:00:00,22545.87,43498.49,230.68
2022-07-06 13:00:00,21340.25,46301.9,204.77
2022-07-06 14:00:00,19431.12,47973.98,172.44
2022-07-06 15:00:00,18897.37,46787.67,163.21
2022-07-06 16:00:00,20591.88,42671.21,180.04
2022-07-06 17:00:00,22143.89,37603.22,239.08
2022-07-06 18:00:00,22664.19,31846.12,313.06
2022-07-06 19:00:00,22759.88,26508.33,376.09
2022-07-06 20:00:00,22797.73,22529.43,387.46
2022-07-06 21:00:00,22732.52,20846.62,381.59
2022-07-06 22:00:00,22555.85,20544.32,379.91
2022-07-06 23:00:00,22129.44,21420.55,279.85
2022-07-07 00:00:00,21183.19,22158.34,267.5
2022-07-07 01:00:00,19964.5,23127.89,209
2022-07-07 02:00:00,19118.66,23248.87,195.77
2022-07-07 03:00:00,19222.75,23251.5,189.58
2022-07-07 04:00:00,19865.27,23433.98,186.88
2022-07-07 05:00:00,20229.71,24315.48,190.77
2022-07-07 06:00:00,20953.58,26337.54,223.6
2022-07-07 07:00:00,21241.44,29196.43,282.38
2022-07-07 08:00:00,21335.54,31946.05,296.72
2022-07-07 09:00:00,21350.78,34970.19,256
2022-07-07 10:00:00,21099.32,37318.06,235.48
2022-07-07 11:00:00,20628.64,39330.78,220
2022-07-07 12:00:00,20001.45,40726.29,201.99
2022-07-07 13:00:00,19660.05,41583.63,190.48
2022-07-07 14:00:00,19616.53,42662.12,165.62
2022-07-07 15:00:00,19863.05,43329.92,159.07
2022-07-07 16:00:00,20234.18,43280.14,155.02
2022-07-07 17:00:00,20395.91,41570.43,169.68
2022-07-07 18:00:00,20616.64,38936.72,179.01
2022-07-07 19:00:00,20712.75,36388.81,197.23
2022-07-07 20:00:00,20685.1,33180.33,242.42
2022-07-07 21:00:00,20554.58,31249.72,258.96
2022-07-07 22:00:00,20098.96,29880.07,246.15
2022-07-07 23:00:00,19555.3,28837.49,197.94
2022-07-08 00:00:00,19946.93,27715.49,200.08
2022-07-08 01:00:00,19830.65,25795.09,224.05
2022-07-08 02:00:00,19818.17,23819.75,228.55
2022-07-08 03:00:00,19818.26,22779.81,227.26
2022-07-08 04:00:00,19943.87,22184.41,210.33
2022-07-08 05:00:00,20257.18,21941.81,248.33
2022-07-08 06:00:00,20574.09,22992.45,371.95
2022-07-08 07:00:00,20890.92,25771.7,418.92
2022-07-08 08:00:00,20998.79,30231.7,420.67
2022-07-08 09:00:00,20634.47,33674.71,351.7
