Datum (MESZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2020-08-31 00:00:00,16085.87,19271.73,29.76
2020-08-31 01:00:00,15670.45,17896.46,27.92
2020-08-31 02:00:00,15869.33,16530.38,28.89
2020-08-31 03:00:00,15558.62,15483.72,28.43
2020-08-31 04:00:00,16520.7,14912.07,29.41
2020-08-31 05:00:00,20563.88,14760.7,34.39
2020-08-31 06:00:00,25160.15,14695.4,45.24
2020-08-31 07:00:00,27343.3,15156.5,59.94
2020-08-31 08:00:00,28441.59,16762.13,67.25
2020-08-31 09:00:00,28788.57,19281.06,68.84
2020-08-31 10:00:00,28640.4,22017.05,66.53
2020-08-31 11:00:00,28146.66,24896.7,65.41
2020-08-31 12:00:00,28013.65,27171.23,62.76
2020-08-31 13:00:00,28152.26,27903.34,60
2020-08-31 14:00:00,28368.46,26526.19,57.48
2020-08-31 15:00:00,28740.9,24251.79,54.99
2020-08-31 16:00:00,28704.82,21222.99,58.95
2020-08-31 17:00:00,29193.39,17245.93,65.49
2020-08-31 18:00:00,29499.43,13471.65,71.6
2020-08-31 19:00:00,29619.07,10950.37,79.06
2020-08-31 20:00:00,29439.69,10257.12,72.66
2020-08-31 21:00:00,29369.59,10318.53,64.86
2020-08-31 22:00:00,28602.02,10503.73,52.02
2020-08-31 23:00:00,27742.79,10519.52,45
2020-09-01 00:00:00,27267.9,10669.94,39.2
2020-09-01 01:00:00,26635.07,10577.58,37.91
2020-09-01 02:00:00,26262.29,10570.4,35.93
2020-09-01 03:00:00,25691.09,10532.27,34.91
2020-09-01 04:00:00,26062.18,10363.42,35.89
2020-09-01 05:00:00,27154.81,10366.63,38.33
2020-09-01 06:00:00,29238.37,11090.1,48.08
2020-09-01 07:00:00,29837.75,13097.22,59
2020-09-01 08:00:00,30057.34,16079.49,65.26
2020-09-01 09:00:00,29873.89,18939.16,59.96
2020-09-01 10:00:00,29439.75,23016.8,55.36
2020-09-01 11:00:00,29339.42,25930.52,53.92
2020-09-01 12:00:00,29035.57,27588.78,50.86
2020-09-01 13:00:00,28831.45,28352.83,49.77
2020-09-01 14:00:00,28698.42,28042.69,47.12
2020-09-01 15:00:00,28669.01,26228.83,47
2020-09-01 16:00:00,28780.99,23301.37,48.58
2020-09-01 17:00:00,29031,19648.43,51.84
2020-09-01 18:00:00,29815.98,15503.31,60
2020-09-01 19:00:00,30575.6,12474.69,67.02
2020-09-01 20:00:00,30546.29,12282.72,65.93
2020-09-01 21:00:00,30257.78,12371.86,55.32
2020-09-01 22:00:00,29217.47,12254.55,46.95
2020-09-01 23:00:00,27766.83,11451.2,41.28
2020-09-02 00:00:00,26396.7,10629.87,41.67
2020-09-02 01:00:00,26330.08,10283.74,38.02
2020-09-02 02:00:00,25605.16,9797.26,36.35
2020-09-02 03:00:00,25179.31,9599.6,34.72
2020-09-02 04:00:00,25338.46,9471.9,35.7
2020-09-02 05:00:00,26449.39,9490.95,38.35
2020-09-02 06:00:00,28861.19,10156.08,50.13
2020-09-02 07:00:00,30166.19,11974.85,62.23
2020-09-02 08:00:00,30458.61,15637.76,71.11
2020-09-02 09:00:00,30573.43,20195.03,63.51
2020-09-02 10:00:00,30031.83,25768.04,54.51
2020-09-02 11:00:00,29092.87,30110.5,49.5
2020-09-02 12:00:00,28166.97,32508.4,44.93
2020-09-02 13:00:00,27187.75,32875.42,44.11
2020-09-02 14:00:00,27446.08,31687.37,43.96
2020-09-02 15:00:00,28482.38,29085.59,44.02
2020-09-02 16:00:00,28897.19,25287.3,46.46
2020-09-02 17:00:00,29797.93,20302.57,52.35
2020-09-02 18:00:00,30612.17,15145.48,60.4
2020-09-02 19:00:00,31019.02,11612.81,68.89
2020-09-02 20:00:00,31118.38,10687.14,66.05
2020-09-02 21:00:00,30891.27,10384.55,55.46
2020-09-02 22:00:00,29831.69,10348.75,49.34
2020-09-02 23:00:00,27671.46,10468.31,43.94
2020-09-03 00:00:00,26755.41,10333.57,44.55
2020-09-03 01:00:00,26442.05,10581.58,39.04
2020-09-03 02:00:00,25845.1,11225.61,36.22
2020-09-03 03:00:00,24455.92,12400.47,34.84
2020-09-03 04:00:00,24128.84,13690.64,35.43
2020-09-03 05:00:00,24836.82,14761.55,37.69
2020-09-03 06:00:00,26243.15,16141.38,49.5
2020-09-03 07:00:00,26976.36,19489.67,55.98
2020-09-03 08:00:00,27125.56,25682.66,58.52
