Datum (MESZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2022-07-11 00:00:00,21120.99,14143.71,320.08
2022-07-11 01:00:00,21127.8,13579.22,278
2022-07-11 02:00:00,21024.96,13176.05,275.96
2022-07-11 03:00:00,21210.37,12992.06,269.27
2022-07-11 04:00:00,21967.39,12770.01,272.15
2022-07-11 05:00:00,22738.2,12546.23,298
2022-07-11 06:00:00,23234.37,13368.95,395.95
2022-07-11 07:00:00,24634.2,15858.19,415.08
2022-07-11 08:00:00,25005.03,20791.5,433.97
2022-07-11 09:00:00,24851.57,25548.89,416.32
2022-07-11 10:00:00,24762.74,28887.61,404.98
2022-07-11 11:00:00,24759.51,30960.54,396.9
2022-07-11 12:00:00,23945.16,32161.85,380.42
2022-07-11 13:00:00,23699.81,32981.22,369.28
2022-07-11 14:00:00,23597.9,33203.28,333.76
2022-07-11 15:00:00,23690.01,32162.52,332.61
2022-07-11 16:00:00,24099.08,29385.93,319.82
2022-07-11 17:00:00,25329.94,25746.56,375.48
2022-07-11 18:00:00,25448.43,21245.24,405
2022-07-11 19:00:00,25362.99,16297.68,458.03
2022-07-11 20:00:00,25702.48,12409.45,469.9
2022-07-11 21:00:00,25799.48,10757.91,452.12
2022-07-11 22:00:00,25784.02,10449.29,450.05
2022-07-11 23:00:00,25357.42,10111.1,419.15
2022-07-12 00:00:00,23696.2,9961.13,395.49
2022-07-12 01:00:00,23137.32,10056.43,349.57
2022-07-12 02:00:00,23138.08,10046.24,330.04
2022-07-12 03:00:00,23137.47,9769.81,331.5
2022-07-12 04:00:00,23230.05,9667.16,334.34
2022-07-12 05:00:00,23515.11,10048.1,362.1
2022-07-12 06:00:00,24150.53,11850.97,419.64
2022-07-12 07:00:00,24139.53,15993,453.66
2022-07-12 08:00:00,24096.75,23018.25,448.9
2022-07-12 09:00:00,23838.88,30983.2,382.42
2022-07-12 10:00:00,22798.94,36425.95,328.74
2022-07-12 11:00:00,22339.22,40863.15,338.32
2022-07-12 12:00:00,22056.01,44234.8,297.47
2022-07-12 13:00:00,21274.71,45250.96,260.07
2022-07-12 14:00:00,20927.8,44620.03,262.23
2022-07-12 15:00:00,21635.5,42536.92,287.22
2022-07-12 16:00:00,22962.2,38553.99,314.81
2022-07-12 17:00:00,23940.21,32287.99,395.9
2022-07-12 18:00:00,25010.59,24774.62,429.08
2022-07-12 19:00:00,25290.79,17820.75,481.59
2022-07-12 20:00:00,25409.61,13724.77,506.69
2022-07-12 21:00:00,25703.99,12373.51,480
2022-07-12 22:00:00,25733.89,12510.99,470
2022-07-12 23:00:00,25415.12,12529.97,404.09
2022-07-13 00:00:00,24692.21,11656.54,416.05
2022-07-13 01:00:00,23750.51,11217.97,365.61
2022-07-13 02:00:00,23592.36,11314.56,325.34
2022-07-13 03:00:00,24131.04,12523.76,339.99
2022-07-13 04:00:00,24557.22,13628.21,325.04
2022-07-13 05:00:00,24887.08,14672.7,332.22
2022-07-13 06:00:00,26261.16,16901.21,411.97
2022-07-13 07:00:00,26795.92,20286.19,435
2022-07-13 08:00:00,26846.54,23960.45,456.57
2022-07-13 09:00:00,26917.79,28357.24,423.14
2022-07-13 10:00:00,25741.43,34476.94,365.76
2022-07-13 11:00:00,22638.6,40573.37,350.25
2022-07-13 12:00:00,22049.75,45021.3,273.05
