Datum (MEZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2020-11-30 00:00:00,34424.98,8951.24,46.6
2020-11-30 01:00:00,34123.22,9039.18,43.04
2020-11-30 02:00:00,33434.95,9334.97,42.07
2020-11-30 03:00:00,33716.51,9805.78,38.82
2020-11-30 04:00:00,34877.67,10376.56,39.09
2020-11-30 05:00:00,38012.35,11138.85,43.21
2020-11-30 06:00:00,41389.95,11861.11,57.25
2020-11-30 07:00:00,44106.74,13028.14,70.42
2020-11-30 08:00:00,44821.75,15183.92,77.18
2020-11-30 09:00:00,44652.03,19459.17,67.07
2020-11-30 10:00:00,43980.35,23737.21,62
2020-11-30 11:00:00,43490.26,27036.02,58.66
2020-11-30 12:00:00,42984.85,28536.51,56.01
2020-11-30 13:00:00,42917.52,27874.93,55.06
2020-11-30 14:00:00,42944.2,25435.55,55.06
2020-11-30 15:00:00,43165.45,23471.98,55.14
2020-11-30 16:00:00,43252.02,23828.83,55.61
2020-11-30 17:00:00,43118.53,26390.34,62.62
2020-11-30 18:00:00,42823.38,27712.25,61.17
2020-11-30 19:00:00,40796.78,28694.33,52.72
2020-11-30 20:00:00,37769.03,28864.51,42.85
2020-11-30 21:00:00,36292,28708.66,40.1
2020-11-30 22:00:00,34920.32,27474.58,38.61
2020-11-30 23:00:00,32979.01,26813.83,32.92
2020-12-01 00:00:00,30836.86,24877.29,32.04
2020-12-01 01:00:00,30571.05,22146.85,33.95
2020-12-01 02:00:00,30611.34,21106.12,33.16
2020-12-01 03:00:00,30650.25,19982.14,34.08
2020-12-01 04:00:00,31527.18,19103.74,35.34
2020-12-01 05:00:00,34341.9,18525.35,38.43
2020-12-01 06:00:00,39530.39,17946,43.97
2020-12-01 07:00:00,44084.65,16837.65,54.91
2020-12-01 08:00:00,45294.72,16470.43,57.64
2020-12-01 09:00:00,45415.07,16139.63,61.28
2020-12-01 10:00:00,45618.01,15416.01,64.21
2020-12-01 11:00:00,45318.32,14781.88,63.75
2020-12-01 12:00:00,45641.57,14367.27,60.96
2020-12-01 13:00:00,45718.87,13793.35,63.07
2020-12-01 14:00:00,45634.15,12404.93,61.47
2020-12-01 15:00:00,45845.01,11739.35,60.88
2020-12-01 16:00:00,46498.28,12041.49,62.06
2020-12-01 17:00:00,46854.18,11872.04,77.98
2020-12-01 18:00:00,46976.96,11563.65,75.25
2020-12-01 19:00:00,46592.4,11324.51,66.32
2020-12-01 20:00:00,45805.03,10957.05,57.66
2020-12-01 21:00:00,44734.22,10500.95,53.34
2020-12-01 22:00:00,43097.43,10174.24,50.16
2020-12-01 23:00:00,41981.77,10090.05,47.13
2020-12-02 00:00:00,41478.08,9807.66,47.8
2020-12-02 01:00:00,40782.81,9497.41,46.27
2020-12-02 02:00:00,39577.26,9628.56,44.71
2020-12-02 03:00:00,39065.07,9453.07,43.42
2020-12-02 04:00:00,39860.47,9317.99,44.56
2020-12-02 05:00:00,42204.77,9366.11,47.49
2020-12-02 06:00:00,44211.08,9420.61,58.58
2020-12-02 07:00:00,45346.83,9531.43,83.67
2020-12-02 08:00:00,45955.7,10225.91,105.46
2020-12-02 09:00:00,46272.24,11459.12,105.42
2020-12-02 10:00:00,46173.7,13000.44,100.06
2020-12-02 11:00:00,46359.78,13636.85,95.19
2020-12-02 12:00:00,46565.45,13375.09,84.95
2020-12-02 13:00:00,46561.79,12606.46,82.9
2020-12-02 14:00:00,46019.47,11247.52,90
2020-12-02 15:00:00,46038.45,10504.23,88.09
2020-12-02 16:00:00,46084.94,11202.48,105.4
2020-12-02 17:00:00,47051.23,12389.36,110.56
2020-12-02 18:00:00,47187.09,13279.4,99.03
2020-12-02 19:00:00,46562.56,14024.68,77.79
2020-12-02 20:00:00,45211.5,14832.7,64
