Datum (MESZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2024-10-21 00:00:00,11562.04,37188.5,-0.1
2024-10-21 01:00:00,11208.23,36343.82,-0.1
2024-10-21 02:00:00,11156.45,35610.89,-0.14
2024-10-21 03:00:00,11182.8,34645.97,-0.08
2024-10-21 04:00:00,12384.44,32681.04,-0.04
2024-10-21 05:00:00,13666.74,33521.83,3.45
2024-10-21 06:00:00,17227.76,33397.94,66.6
2024-10-21 07:00:00,20689.91,31922.73,104.98
2024-10-21 08:00:00,21711.02,31997.15,120.39
2024-10-21 09:00:00,21216.7,35035.66,103.9
2024-10-21 10:00:00,20502.62,37775.18,89.04
2024-10-21 11:00:00,19881.16,40230.46,81.03
2024-10-21 12:00:00,19015.27,41561.07,73.19
2024-10-21 13:00:00,18730.1,39825.81,81.36
2024-10-21 14:00:00,20520.29,36238.04,81.65
2024-10-21 15:00:00,22344.72,31555.07,98.59
2024-10-21 16:00:00,24612.1,25397.98,123.5
2024-10-21 17:00:00,26651.72,19416.34,131.54
2024-10-21 18:00:00,27231.98,16465.68,222.11
2024-10-21 19:00:00,27477.19,15993.93,190.87
2024-10-21 20:00:00,27354.33,15713.75,128.44
2024-10-21 21:00:00,25348.94,15982.65,102
2024-10-21 22:00:00,23122.35,15884.41,97.8
2024-10-21 23:00:00,21935.09,16174.64,92.97
2024-10-22 00:00:00,21318.67,16359.58,91.67
2024-10-22 01:00:00,20502.36,17716.19,89.43
2024-10-22 02:00:00,19619.42,19268.23,85.69
2024-10-22 03:00:00,18952.57,20916.93,83.6
2024-10-22 04:00:00,18970.88,22166.66,83.19
2024-10-22 05:00:00,20153.48,23189.13,89.95
2024-10-22 06:00:00,23534.76,24031.86,100.58
2024-10-22 07:00:00,25486.63,24084.21,156.09
2024-10-22 08:00:00,26077.5,26110.95,170.12
2024-10-22 09:00:00,25125.2,30725.98,113.44
2024-10-22 10:00:00,22605.57,34911.95,99.22
2024-10-22 11:00:00,20251.31,39719.22,87.75
2024-10-22 12:00:00,17580.99,41879.98,77.11
2024-10-22 13:00:00,16831.25,42440.37,70.88
2024-10-22 14:00:00,17086.95,41665.06,73.53
2024-10-22 15:00:00,19378.3,37912.48,87.08
2024-10-22 16:00:00,23410.52,29552.78,107.45
2024-10-22 17:00:00,25957.13,21983.04,109.97
2024-10-22 18:00:00,27786.25,20558.51,140.36
2024-10-22 19:00:00,27935.62,22959.86,157.75
2024-10-22 20:00:00,25896.98,24167.09,114.02
2024-10-22 21:00:00,24114.37,23643.56,99.4
2024-10-22 22:00:00,23552.27,23394.72,95.72
2024-10-22 23:00:00,22132.56,22172.78,88.35
2024-10-23 00:00:00,21229.72,21133.13,80.83
2024-10-23 01:00:00,20657.09,19690.94,83.23
2024-10-23 02:00:00,20459.15,18381.81,82.02
2024-10-23 03:00:00,20561.46,16821.02,83.21
2024-10-23 04:00:00,21210.72,15783.82,85.8
2024-10-23 05:00:00,23801.3,14526.71,93.6
2024-10-23 06:00:00,27686.33,13846.37,108.19
2024-10-23 07:00:00,29548,13539.66,172.79
2024-10-23 08:00:00,29788.89,14208.23,183.13
2024-10-23 09:00:00,28605.97,18325.34,128.42
2024-10-23 10:00:00,26022.91,23858.64,104.1
2024-10-23 11:00:00,24754.63,29147.78,93.86
2024-10-23 12:00:00,23514.83,32591.78,85.62
2024-10-23 13:00:00,23083.54,32611.03,80.99
2024-10-23 14:00:00,23779.22,30674.11,78.97
2024-10-23 15:00:00,25559.05,26394.13,88.62
2024-10-23 16:00:00,28028.31,20138.59,101.9
2024-10-23 17:00:00,31342.34,14145.01,147.15
2024-10-23 18:00:00,31565,13016.23,218.18
2024-10-23 19:00:00,31235.83,14256.82,177.6
2024-10-23 20:00:00,29946.49,15283.67,111.71
2024-10-23 21:00:00,28338.08,15753.18,101.51
2024-10-23 22:00:00,24889.69,15760.5,103.33
2024-10-23 23:00:00,23134.53,15419.21,93.16
2024-10-24 00:00:00,22395.06,15058.78,91.75
2024-10-24 01:00:00,21357.1,15033.17,82.42
2024-10-24 02:00:00,21078.28,15224.4,80.67
2024-10-24 03:00:00,20957.74,15762.92,80.29
2024-10-24 04:00:00,21404.73,16201.42,80.45
2024-10-24 05:00:00,22834.49,16517.69,83.82
2024-10-24 06:00:00,25896.47,17089.85,103.21
2024-10-24 07:00:00,27308.42,18249.36,148.29
2024-10-24 08:00:00,27258.8,20479.64,171.27
2024-10-24 09:00:00,26397.41,24853.48,117.3
2024-10-24 10:00:00,24809.98,28603.96,101.91
2024-10-24 11:00:00,23718.6,32047.91,93.05
2024-10-24 12:00:00,23218.11,34414.81,83.96
2024-10-24 13:00:00,22971.54,33910.46,79.15
2024-10-24 14:00:00,23519.53,31951.89,81.51
2024-10-24 15:00:00,24098.27,29010.06,95.7
2024-10-24 16:00:00,25487.69,24314.72,116.17
2024-10-24 17:00:00,26353.14,20156.88,129.9
2024-10-24 18:00:00,26749.75,22865.99,141.53
2024-10-24 19:00:00,26402.72,25542.96,114.19
2024-10-24 20:00:00,25636.8,27560.33,96.61
2024-10-24 21:00:00,24234.29,27059.32,93.64
2024-10-24 22:00:00,23296.78,25239.08,89.9
2024-10-24 23:00:00,21816.31,23717.6,83.61
2024-10-25 00:00:00,21596.91,21787.66,82.5
2024-10-25 01:00:00,21231.07,20307.75,82.07
2024-10-25 02:00:00,20972.67,19348.9,79.69
2024-10-25 03:00:00,21276.29,19037.11,82.6
2024-10-25 04:00:00,21935.91,18595.99,84.47
2024-10-25 05:00:00,24192.68,18585.08,94.59
2024-10-25 06:00:00,26005.57,19216.19,108.94
2024-10-25 07:00:00,27124.34,19540.2,123.75
2024-10-25 08:00:00,27343.78,20434.63,150.59
2024-10-25 09:00:00,26541.95,23839.26,122.43
2024-10-25 10:00:00,25474.12,27860.33,108.15
2024-10-25 11:00:00,24089.85,31354.82,93.9
2024-10-25 12:00:00,22623.27,34255.26,81.08
2024-10-25 13:00:00,21671.39,34918.22,78.18
2024-10-25 14:00:00,22153.57,32772.63,82.47
2024-10-25 15:00:00,23943.3,27522.75,99.33
2024-10-25 16:00:00,27228.59,19867.67,118.03
2024-10-25 17:00:00,29788.09,13165.5,158.73
2024-10-25 18:00:00,30706.01,12175.91,227.32
2024-10-25 19:00:00,30663.5,12809.11,184.85
2024-10-25 20:00:00,29401.46,12975.79,123.86
2024-10-25 21:00:00,28408.26,12871.52,116.29
2024-10-25 22:00:00,27033.74,12529.56,113.96
2024-10-25 23:00:00,24350.71,11936.32,107.4
2024-10-26 00:00:00,23306.75,11224.72,115.29
2024-10-26 01:00:00,22588.28,10551.14,109.64
2024-10-26 02:00:00,22429.99,9974.44,106.95
2024-10-26 03:00:00,22410.11,9571.54,107.79
2024-10-26 04:00:00,22506.61,9561.79,105.7
2024-10-26 05:00:00,22542.87,9875.01,106.82
2024-10-26 06:00:00,22698.44,10796.61,113.93
2024-10-26 07:00:00,23157.88,11508.02,125.71
2024-10-26 08:00:00,23440.44,13566.56,126
2024-10-26 09:00:00,23222.9,18581.23,117.57
2024-10-26 10:00:00,21553.36,23710.58,101.39
2024-10-26 11:00:00,19998.5,27963.53,81.48
2024-10-26 12:00:00,17994.14,31459.58,68.35
2024-10-26 13:00:00,17089.63,33129.82,63.3
2024-10-26 14:00:00,16972.87,31928.46,64.55
2024-10-26 15:00:00,18967.9,27272.91,81.44
2024-10-26 16:00:00,21928,20621.49,100.6
2024-10-26 17:00:00,23842.55,15360.54,125.73
2024-10-26 18:00:00,24214.73,16274.82,150.9
2024-10-26 19:00:00,24207.7,19529.64,118.74
2024-10-26 20:00:00,22910.58,22055.9,96.48
2024-10-26 21:00:00,21171.62,23713.58,88.76
2024-10-26 22:00:00,19862.95,24397.91,87.5
2024-10-26 23:00:00,17566.42,24679.04,76.63
2024-10-27 00:00:00,15271.34,24362.55,92.22
2024-10-27 01:00:00,14342.69,23570.38,84
2024-10-27 02:00:00,12918.56,21672.71,82.23
2024-10-27 02:00:00,12652.16,20611.32,80.43
2024-10-27 03:00:00,12781.51,19706.65,79.41
2024-10-27 04:00:00,12825.72,19100.21,78.79
2024-10-27 05:00:00,14019.24,19011.3,85.14
2024-10-27 06:00:00,14629.94,19974.91,89.21
2024-10-27 07:00:00,14623.81,21183.36,88.05
2024-10-27 08:00:00,14427.44,24408.64,84.34
2024-10-27 09:00:00,13632.35,26521.13,66.48
2024-10-27 10:00:00,12330.89,28977.97,54.72
2024-10-27 11:00:00,11743.42,32061.93,42.5
2024-10-27 12:00:00,11101.11,34059.66,39.99
2024-10-27 13:00:00,11947.38,32689.81,40
2024-10-27 14:00:00,13215.75,28642.24,64.33
2024-10-27 15:00:00,17044.14,22183.09,111.53
2024-10-27 16:00:00,20679.41,15756.5,123.67
2024-10-27 17:00:00,22249.73,13926.36,148.3
2024-10-27 18:00:00,22543.05,13678.42,145.71
2024-10-27 19:00:00,22570.54,12741.48,130.47
2024-10-27 20:00:00,22145.93,12042.71,118.15
2024-10-27 21:00:00,21220.92,12192.34,112.01
2024-10-27 22:00:00,20058.73,12999.06,113.68
2024-10-27 23:00:00,18873.71,13646.62,102.99
