Datum (MESZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2020-09-14 00:00:00,20262.23,14127.85,35.22
2020-09-14 01:00:00,19707.27,13652.04,34.28
2020-09-14 02:00:00,19542.29,13084.74,32.9
2020-09-14 03:00:00,19881.03,12330.97,32.35
2020-09-14 04:00:00,20622.92,11613.77,32.32
2020-09-14 05:00:00,23547.74,11163.17,36.07
2020-09-14 06:00:00,26665.54,11060.05,50
2020-09-14 07:00:00,28410.08,12816.83,58.34
2020-09-14 08:00:00,28805.01,18356.63,62.05
2020-09-14 09:00:00,28742.73,25085.45,55.93
2020-09-14 10:00:00,28783.38,30373.98,50.49
2020-09-14 11:00:00,28190.16,34256.31,46.04
2020-09-14 12:00:00,27660.98,36439.69,40.46
2020-09-14 13:00:00,27425.48,36403.37,42.28
2020-09-14 14:00:00,27606.07,34400.68,40.15
2020-09-14 15:00:00,28238.24,30326.79,45.23
2020-09-14 16:00:00,29338.09,24919.36,51.69
2020-09-14 17:00:00,30160.97,18411.01,66.4
2020-09-14 18:00:00,30202.98,12537.01,80.98
2020-09-14 19:00:00,30249.85,10795.05,120.62
2020-09-14 20:00:00,30225.24,11544.42,96.43
2020-09-14 21:00:00,30108.36,12675.66,66.32
2020-09-14 22:00:00,29412.66,13439.64,54.01
2020-09-14 23:00:00,28139.55,13647.76,44.15
2020-09-15 00:00:00,27225.31,13310.19,41.23
2020-09-15 01:00:00,25918.98,12905.74,40.81
2020-09-15 02:00:00,25337.47,12486.32,39.2
2020-09-15 03:00:00,25129.35,12231.08,37.77
2020-09-15 04:00:00,25452.94,11867.21,38.6
2020-09-15 05:00:00,26865.76,11773.84,41.81
2020-09-15 06:00:00,28647.97,11715.29,53.9
2020-09-15 07:00:00,29309.65,13416.35,74.84
2020-09-15 08:00:00,29418.75,17659.64,84.35
2020-09-15 09:00:00,29164.41,23202.05,77.64
2020-09-15 10:00:00,29009.8,28189.64,67.29
2020-09-15 11:00:00,28545.31,32441.4,61.37
2020-09-15 12:00:00,28232.39,34715.6,49.95
2020-09-15 13:00:00,28070.23,35105.5,50.01
2020-09-15 14:00:00,28001.24,33809.87,52.71
2020-09-15 15:00:00,28455.74,30448.44,59.9
2020-09-15 16:00:00,28914.41,24863.2,70.01
2020-09-15 17:00:00,29326.41,18084.36,82.71
2020-09-15 18:00:00,29409.69,11831.72,130.59
2020-09-15 19:00:00,29726.04,9296.48,189.25
2020-09-15 20:00:00,29960.63,9625,148.18
2020-09-15 21:00:00,29786.33,9975.26,77.68
2020-09-15 22:00:00,29223.11,9950.39,63.44
2020-09-15 23:00:00,28705.36,9644.88,51.51
2020-09-16 00:00:00,27439.63,9293.11,50.12
2020-09-16 01:00:00,27084.71,9322.19,46.3
2020-09-16 02:00:00,26509.48,9441.48,45.1
2020-09-16 03:00:00,25779.82,9723.65,43.12
2020-09-16 04:00:00,26062.25,9816.96,44
2020-09-16 05:00:00,27576.44,10132.19,46.35
2020-09-16 06:00:00,29515.77,10943.48,59.98
2020-09-16 07:00:00,30166.53,13033.49,76.39
2020-09-16 08:00:00,30422.87,17624.07,86.53
2020-09-16 09:00:00,29944.7,22717.94,75
2020-09-16 10:00:00,28958.68,27606.28,63.32
2020-09-16 11:00:00,27649.52,32173.97,56.96
2020-09-16 12:00:00,26538.12,35625.51,48.35
2020-09-16 13:00:00,25107.34,37807.78,43.29
2020-09-16 14:00:00,24634.98,37743,39.98
2020-09-16 15:00:00,24895.79,36032.09,43.16
2020-09-16 16:00:00,26004.74,32776.07,45.07
2020-09-16 17:00:00,27182.24,29471.98,54.8
2020-09-16 18:00:00,26967.27,26697.85,61.48
2020-09-16 19:00:00,27356.44,25639.31,66.45
