Datum (MESZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2021-08-23 00:00:00,16168.81,15978.81,76.15
2021-08-23 01:00:00,16402.18,15750.88,75.93
2021-08-23 02:00:00,16481.99,15569.37,75.7
2021-08-23 03:00:00,16496.78,15969.34,73.52
2021-08-23 04:00:00,16978.02,16577.31,75.85
2021-08-23 05:00:00,18141.8,17422.72,78.44
2021-08-23 06:00:00,19446.31,18632.24,94.39
2021-08-23 07:00:00,20855.38,20394.32,111.29
2021-08-23 08:00:00,21876.19,23528.86,115.94
2021-08-23 09:00:00,22502.58,26971.23,114.18
2021-08-23 10:00:00,22622.08,30688.55,106.98
2021-08-23 11:00:00,22723.27,33770.92,103.47
2021-08-23 12:00:00,22522.82,35939.3,99.44
2021-08-23 13:00:00,22263.78,37534.06,94
2021-08-23 14:00:00,21537.8,36947.73,85.69
2021-08-23 15:00:00,21610.52,35332.72,83.95
2021-08-23 16:00:00,22024.27,32863.99,83.95
2021-08-23 17:00:00,22335.54,29595.23,94.96
2021-08-23 18:00:00,22591.31,25551.36,105
2021-08-23 19:00:00,22606.38,21819.17,114.18
2021-08-23 20:00:00,22572.67,20655.47,110.99
2021-08-23 21:00:00,22437.06,21290.58,102.08
2021-08-23 22:00:00,21641.81,21058.22,93.92
2021-08-23 23:00:00,20337.76,20815.64,83.1
2021-08-24 00:00:00,19051.88,20310.95,80.75
2021-08-24 01:00:00,18258.84,19725.16,78.71
2021-08-24 02:00:00,18234.64,18739.07,78.4
2021-08-24 03:00:00,18393.54,18040.55,79.21
2021-08-24 04:00:00,18799.77,17777.33,80.77
2021-08-24 05:00:00,19948.66,17711.49,85.01
2021-08-24 06:00:00,21824.85,17757.13,100.2
2021-08-24 07:00:00,23226.79,18741.66,110.45
2021-08-24 08:00:00,23214.87,21227.97,122
2021-08-24 09:00:00,23029.26,25445.2,106.97
2021-08-24 10:00:00,22874.09,30725.22,101
2021-08-24 11:00:00,22319.01,34679.31,96
2021-08-24 12:00:00,21685.18,36329.41,88
2021-08-24 13:00:00,21133.77,36335.9,81.72
2021-08-24 14:00:00,20912.65,35357.63,80.43
2021-08-24 15:00:00,21147.22,33273.47,81.68
2021-08-24 16:00:00,21757.02,30298.88,88.09
2021-08-24 17:00:00,22909.81,25588.26,102.85
2021-08-24 18:00:00,23272.31,19665.45,109.52
2021-08-24 19:00:00,23748.53,15059.52,122.5
2021-08-24 20:00:00,23807.28,13917.27,119.44
2021-08-24 21:00:00,23306.85,14688.49,106.3
2021-08-24 22:00:00,22504.59,15326.21,100
2021-08-24 23:00:00,20849.02,15153.31,89.59
2021-08-25 00:00:00,19293.01,13981.35,82.89
2021-08-25 01:00:00,18716.57,13034.84,81.7
2021-08-25 02:00:00,18687.21,12567.21,81.36
2021-08-25 03:00:00,18832.07,12482.43,81.26
2021-08-25 04:00:00,19283.95,12706.42,80.45
2021-08-25 05:00:00,20104.05,13857.71,86.17
2021-08-25 06:00:00,21103.37,15735.39,101.31
2021-08-25 07:00:00,21398.33,19711.52,107.28
2021-08-25 08:00:00,21472.87,25825.26,106.94
2021-08-25 09:00:00,21285.27,33442.77,95.12
2021-08-25 10:00:00,20258.93,40270.99,84.46
2021-08-25 11:00:00,18580.42,45958.36,81.73
2021-08-25 12:00:00,16953.29,49799.86,74.03
2021-08-25 13:00:00,16218.41,52058.65,69.4
2021-08-25 14:00:00,15634.47,53448.98,63.34
2021-08-25 15:00:00,15512.27,52374.92,64.64
2021-08-25 16:00:00,15799.41,48094.79,71.84
2021-08-25 17:00:00,16873.18,43138.69,80.95
2021-08-25 18:00:00,18352.16,36642.32,90.79
2021-08-25 19:00:00,18198.87,31633.85,94.24
2021-08-25 20:00:00,18328.72,30316.43,96
2021-08-25 21:00:00,17969.79,29611.97,91.91
2021-08-25 22:00:00,17339.61,29067.11,81.73
2021-08-25 23:00:00,16462.23,28965.59,73.89
2021-08-26 00:00:00,15974.1,28286.11,74.1
2021-08-26 01:00:00,15888.78,28050.39,71.05
2021-08-26 02:00:00,16065.42,26721.86,70.98
2021-08-26 03:00:00,16303.22,25011.47,69.95
2021-08-26 04:00:00,16867.15,23289.98,71.95
2021-08-26 05:00:00,17602.45,21815.87,78.1
