Datum (MEZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2024-02-12 00:00:00,18611.56,19177.45,64.35
2024-02-12 01:00:00,18523.58,19212.71,61.59
2024-02-12 02:00:00,18790.24,19340.49,60.65
2024-02-12 03:00:00,18928.87,19543.14,59.39
2024-02-12 04:00:00,19156.47,19437.04,59.21
2024-02-12 05:00:00,21222,20175.15,65
2024-02-12 06:00:00,23928.17,20723.09,76
2024-02-12 07:00:00,25218.28,20571.28,85.41
2024-02-12 08:00:00,25987.03,21434.78,104
2024-02-12 09:00:00,25908.78,23257.26,96.5
2024-02-12 10:00:00,25619.53,25042.07,85.47
2024-02-12 11:00:00,25100.17,27828.3,79.14
2024-02-12 12:00:00,24449.07,29869.78,67.37
2024-02-12 13:00:00,24347.28,30361.66,63.75
2024-02-12 14:00:00,24488.15,29081.54,63.95
2024-02-12 15:00:00,24745.01,26132.39,66.4
2024-02-12 16:00:00,25624.97,22329.92,78.42
2024-02-12 17:00:00,26648.31,20506.27,93.9
2024-02-12 18:00:00,26686.68,21056.79,96
2024-02-12 19:00:00,26418.52,22171.94,89.08
2024-02-12 20:00:00,25261.63,24277.88,79.15
2024-02-12 21:00:00,23909.41,24651.67,71.54
2024-02-12 22:00:00,23307.82,25137.74,65.87
2024-02-12 23:00:00,21628.43,25158.69,61.9
2024-02-13 00:00:00,20142.93,25546.02,68.59
2024-02-13 01:00:00,18866.13,26810.41,65.37
2024-02-13 02:00:00,18277.36,27776.69,63.41
2024-02-13 03:00:00,18633.51,28650.32,60.49
2024-02-13 04:00:00,19173.58,29201.52,60.06
2024-02-13 05:00:00,20811.34,29178.87,63.59
2024-02-13 06:00:00,24086.91,29517.19,70.69
2024-02-13 07:00:00,26209.01,30392.55,82.18
2024-02-13 08:00:00,26012.63,33204.05,89.1
2024-02-13 09:00:00,23952.95,38974.24,75.12
2024-02-13 10:00:00,22017.01,43818.78,69.21
2024-02-13 11:00:00,19981.29,47188.2,63.87
2024-02-13 12:00:00,19405.15,48251.12,60.53
2024-02-13 13:00:00,19123.45,45559.17,60.26
2024-02-13 14:00:00,20663.84,40503.13,63.1
2024-02-13 15:00:00,23649.92,34021.99,70.7
2024-02-13 16:00:00,26308.36,27252.44,78.36
2024-02-13 17:00:00,27659.95,24217.53,95.01
2024-02-13 18:00:00,27616.03,26405.67,99.88
2024-02-13 19:00:00,26768.96,28468.83,90.99
2024-02-13 20:00:00,25740.3,29398.93,77.97
2024-02-13 21:00:00,23346.97,30270.45,71.86
2024-02-13 22:00:00,20823.56,29603.79,68.39
2024-02-13 23:00:00,19516.66,28656.75,64.74
2024-02-14 00:00:00,18551.38,28066.09,60.63
2024-02-14 01:00:00,18382.95,28049.91,59.34
2024-02-14 02:00:00,18153.07,29013.8,55.76
2024-02-14 03:00:00,18239.46,29654.45,54.79
2024-02-14 04:00:00,18512.5,29934.03,55.06
2024-02-14 05:00:00,19838.52,29800.55,58.43
2024-02-14 06:00:00,23265.53,30055.89,63.23
2024-02-14 07:00:00,25447.94,30083.66,72.74
2024-02-14 08:00:00,25850.26,30926.52,79.73
2024-02-14 09:00:00,25643.95,32588.61,69.65
2024-02-14 10:00:00,24991.48,33691.97,63.86
2024-02-14 11:00:00,24259.98,35591.42,63.29
2024-02-14 12:00:00,22650.09,36468.87,62.63
2024-02-14 13:00:00,23284.2,35417.96,63.82
2024-02-14 14:00:00,24238.38,32883.07,69.03
2024-02-14 15:00:00,25163.21,28983.98,72.23
2024-02-14 16:00:00,25483.11,26684.82,78.54
2024-02-14 17:00:00,25687.8,26200.52,82.97
2024-02-14 18:00:00,25999.53,26914.6,87.58
2024-02-14 19:00:00,26064.06,27513.67,84.47
