Datum (MESZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2023-08-28 00:00:00,12226.83,22075.47,93.31
2023-08-28 01:00:00,11633.44,22114.43,88.52
2023-08-28 02:00:00,11569.15,21416.52,85
2023-08-28 03:00:00,11893.38,20282.98,80.66
2023-08-28 04:00:00,13064.09,19045.93,85.24
2023-08-28 05:00:00,15052.14,18319.89,93.35
2023-08-28 06:00:00,19337.43,18071.02,111.18
2023-08-28 07:00:00,22655.44,17835.85,140.51
2023-08-28 08:00:00,23498.57,18913.78,145.66
2023-08-28 09:00:00,23422.59,20634.18,124.55
2023-08-28 10:00:00,23272.56,22640.87,116.58
2023-08-28 11:00:00,23197.85,24382.43,114.86
2023-08-28 12:00:00,22571.88,26775.1,105.07
2023-08-28 13:00:00,22055.59,26786.57,100.25
2023-08-28 14:00:00,22762,24244.01,100.59
2023-08-28 15:00:00,23291.82,21890.85,117.58
2023-08-28 16:00:00,24072.71,19393.6,116.47
2023-08-28 17:00:00,25179.17,15879.48,150.15
2023-08-28 18:00:00,25898.88,12754.93,162.85
2023-08-28 19:00:00,26108.13,10214.46,174.96
2023-08-28 20:00:00,26262.48,9341.26,166.73
2023-08-28 21:00:00,25974.04,9310.74,142.4
2023-08-28 22:00:00,25034.94,9048.16,123.72
2023-08-28 23:00:00,23024.39,8938.96,107.94
2023-08-29 00:00:00,21666.01,9061.26,103.09
2023-08-29 01:00:00,20140.48,9571.95,96.97
2023-08-29 02:00:00,19123.6,9564.46,95.04
2023-08-29 03:00:00,19407.76,9127.58,95.04
2023-08-29 04:00:00,20277.16,9089.77,95.05
2023-08-29 05:00:00,22021.42,9422.16,98.81
2023-08-29 06:00:00,24806.19,9744.3,121.88
2023-08-29 07:00:00,25839.82,10758.15,147.16
2023-08-29 08:00:00,25987.68,12590.19,168.78
2023-08-29 09:00:00,25926.87,14528.92,150.84
2023-08-29 10:00:00,25647.56,16788.68,131.77
2023-08-29 11:00:00,24640.56,19945.55,116.98
2023-08-29 12:00:00,23843.82,22323.55,111.19
2023-08-29 13:00:00,23249.79,23693.17,102.85
2023-08-29 14:00:00,23377.29,23012.59,100.15
2023-08-29 15:00:00,23656.16,21568.83,107.64
2023-08-29 16:00:00,24295.63,18756.57,114.09
2023-08-29 17:00:00,25866.92,15362.93,140.63
2023-08-29 18:00:00,26677.61,11827.11,155.85
2023-08-29 19:00:00,27141.45,9314.47,171.81
2023-08-29 20:00:00,27237.19,8647.04,162.5
2023-08-29 21:00:00,26708.95,8738.63,136.68
2023-08-29 22:00:00,25384.95,8673.39,122.08
2023-08-29 23:00:00,22486.12,8643.92,102.81
2023-08-30 00:00:00,20671.78,8266.04,100.12
2023-08-30 01:00:00,20010.71,8446.08,98.6
2023-08-30 02:00:00,19064.56,8903.83,96.36
2023-08-30 03:00:00,18872.41,9271.2,94.57
2023-08-30 04:00:00,19291.96,9983.52,96.81
2023-08-30 05:00:00,21353.99,10574.11,97.68
2023-08-30 06:00:00,24127.18,11472.74,128.15
2023-08-30 07:00:00,24799.49,14677.09,144.13
2023-08-30 08:00:00,24838.41,18345.95,139.91
2023-08-30 09:00:00,24149.82,23422.28,124.7
2023-08-30 10:00:00,21646.12,30165.82,110.29
2023-08-30 11:00:00,18272.03,36172.24,99.3
2023-08-30 12:00:00,16817.9,37658.61,97.74
2023-08-30 13:00:00,16919.35,35255.62,95.58
2023-08-30 14:00:00,17670.53,32102.09,94.1
2023-08-30 15:00:00,18716.96,28745.27,96.65
2023-08-30 16:00:00,20634.66,25077.28,95.74
2023-08-30 17:00:00,23303.46,21138.99,115.33
2023-08-30 18:00:00,25064.2,17445.83,139.92
2023-08-30 19:00:00,25409.7,14879,169.01
2023-08-30 20:00:00,25545.8,14632.15,168.09
2023-08-30 21:00:00,24948.02,15864.16,134.4
2023-08-30 22:00:00,22566.4,17012.05,119.49
