Datum (MESZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2020-07-27 00:00:00,17172.48,11325.72,32.43
2020-07-27 01:00:00,16883.17,10839.22,27.11
2020-07-27 02:00:00,16807.32,10809.7,25.8
2020-07-27 03:00:00,16982.4,10902.03,24.15
2020-07-27 04:00:00,16992.26,11673.95,24.02
2020-07-27 05:00:00,17838.78,12917.01,27.18
2020-07-27 06:00:00,19037.76,15102.52,35.86
2020-07-27 07:00:00,19418.46,18829.3,37.95
2020-07-27 08:00:00,19754.31,23167.84,38.59
2020-07-27 09:00:00,20203.94,27599.3,38.72
2020-07-27 10:00:00,20289.73,31744.3,36.87
2020-07-27 11:00:00,19508.06,35059.58,35.45
2020-07-27 12:00:00,19232.44,36425.7,32.18
2020-07-27 13:00:00,19137.27,36516.67,30.54
2020-07-27 14:00:00,19116.44,35732.46,30.46
2020-07-27 15:00:00,18976.61,33619.05,31.4
2020-07-27 16:00:00,19218.04,31359.95,34.44
2020-07-27 17:00:00,19431.17,28461.53,36.44
2020-07-27 18:00:00,19336.22,24640.23,38.5
2020-07-27 19:00:00,19435.49,22462.73,39.36
2020-07-27 20:00:00,19557.63,22294.45,37.98
2020-07-27 21:00:00,19466.46,24554.61,33.72
2020-07-27 22:00:00,18930.35,26181.19,29
2020-07-27 23:00:00,16630.36,27546.56,22.62
2020-07-28 00:00:00,13823.94,28306.25,18.71
2020-07-28 01:00:00,12676.43,28757.87,19.16
2020-07-28 02:00:00,11956.48,29562.52,16.82
2020-07-28 03:00:00,11630.65,30067.81,17.2
2020-07-28 04:00:00,11473.79,30287.62,17.11
2020-07-28 05:00:00,12392.93,30131.95,21.56
2020-07-28 06:00:00,14771.57,30771.59,26.21
2020-07-28 07:00:00,16132.11,31771.33,32.17
2020-07-28 08:00:00,16688.67,35693.43,33.32
2020-07-28 09:00:00,15593.78,42858.16,28.62
2020-07-28 10:00:00,14081.65,49535.16,23.58
2020-07-28 11:00:00,13393.13,54021.33,21.04
2020-07-28 12:00:00,12797.38,56572.01,14.93
2020-07-28 13:00:00,11864.05,56948.49,0.04
2020-07-28 14:00:00,12041.14,55513.56,1.48
2020-07-28 15:00:00,12451.31,52194.45,8.13
2020-07-28 16:00:00,13657.77,47767.14,21.03
2020-07-28 17:00:00,15118.21,43062.86,27.09
2020-07-28 18:00:00,16021.99,37052.62,30.96
2020-07-28 19:00:00,16679.43,31873.01,35.78
2020-07-28 20:00:00,16969.01,27176.32,36.94
2020-07-28 21:00:00,17283.51,24901.36,36.78
2020-07-28 22:00:00,16617.47,24152.38,34.21
2020-07-28 23:00:00,15443.59,23637.16,28.31
2020-07-29 00:00:00,14890.95,22984.47,26.16
2020-07-29 01:00:00,14732.78,22225.83,23.5
2020-07-29 02:00:00,14897.89,21485.04,23.53
2020-07-29 03:00:00,14636.2,21647.62,22.38
2020-07-29 04:00:00,15338.83,22137.76,22.79
2020-07-29 05:00:00,15807.55,22845.79,23.65
2020-07-29 06:00:00,17067.84,24409.88,29.78
2020-07-29 07:00:00,17562.67,28361.92,32.85
2020-07-29 08:00:00,17213.46,35409.73,30.59
2020-07-29 09:00:00,15453.48,44960.23,22.73
2020-07-29 10:00:00,13400.22,52110.66,10.65
2020-07-29 11:00:00,12827.23,54488.86,3.56
2020-07-29 12:00:00,12322.68,56222.01,0.13
2020-07-29 13:00:00,11473.5,57124.64,0.07
2020-07-29 14:00:00,11449.7,56092.58,0.07
2020-07-29 15:00:00,12363.45,52943.54,0.08
2020-07-29 16:00:00,14414.5,48311.75,3.77
2020-07-29 17:00:00,16401.92,42037.5,14.74
2020-07-29 18:00:00,18479.39,34767.48,26.74
2020-07-29 19:00:00,19764.46,26880.17,34.02
2020-07-29 20:00:00,19591.87,21404.86,35.61
2020-07-29 21:00:00,19721.76,19668.98,39.38
2020-07-29 22:00:00,19738.99,18741.1,37
2020-07-29 23:00:00,19780.37,18031.76,34.2
2020-07-30 00:00:00,19975.01,17663.01,35.97
2020-07-30 01:00:00,19644.48,17014.44,31.78
2020-07-30 02:00:00,19514.57,16581.23,29.1
2020-07-30 03:00:00,19474,16329.99,27.17
2020-07-30 04:00:00,19349.53,16058.17,26.99
2020-07-30 05:00:00,19486.91,16457.59,29.2
2020-07-30 06:00:00,19810.48,17132.25,36.91
2020-07-30 07:00:00,20244.38,19960.33,39.64
2020-07-30 08:00:00,19887.34,26089.12,39.53
2020-07-30 09:00:00,19924.49,33105.83,34.88
2020-07-30 10:00:00,19296.9,37911.28,28.14
2020-07-30 11:00:00,19008.61,40968.74,27.49
2020-07-30 12:00:00,19057.53,42482.99,26.73
2020-07-30 13:00:00,18656.71,42913.32,25.55
2020-07-30 14:00:00,18999.71,41311.03,26.2
2020-07-30 15:00:00,19206.36,38266.03,27.59
2020-07-30 16:00:00,19711.77,33957.54,30.25
2020-07-30 17:00:00,20117.46,28158.56,38.08
2020-07-30 18:00:00,20331.06,20808.84,44.94
2020-07-30 19:00:00,20587.7,14532.29,60.02
2020-07-30 20:00:00,20583.16,11273.54,56.8
2020-07-30 21:00:00,20719.37,11000.46,49.83
2020-07-30 22:00:00,20970.99,11202.34,44.54
2020-07-30 23:00:00,20995.02,11309.22,37.53
2020-07-31 00:00:00,20590.62,10906.49,38.8
2020-07-31 01:00:00,20632.91,10745.58,33.9
2020-07-31 02:00:00,20584.57,10569.5,31.99
2020-07-31 03:00:00,20609.83,10451.76,31.58
2020-07-31 04:00:00,20654.72,10508.11,31.74
2020-07-31 05:00:00,20586.46,10432.61,34.28
2020-07-31 06:00:00,20756.65,11654.53,40.56
2020-07-31 07:00:00,20806.89,15104.07,43.69
2020-07-31 08:00:00,20969.22,21188.91,44.91
2020-07-31 09:00:00,21072.16,27850.67,41.65
2020-07-31 10:00:00,20797.18,33512.7,38.25
2020-07-31 11:00:00,19800.92,37263.67,32.7
2020-07-31 12:00:00,19406.2,38989.08,30.49
2020-07-31 13:00:00,19288.47,39237.78,29.49
2020-07-31 14:00:00,19329.34,38055.6,30.09
2020-07-31 15:00:00,19718.3,35497.5,31.95
2020-07-31 16:00:00,20300.86,31384.08,33.49
2020-07-31 17:00:00,20777.42,25881.45,42.66
2020-07-31 18:00:00,20897.22,19575.28,49.08
2020-07-31 19:00:00,21001.51,14444.48,54.4
2020-07-31 20:00:00,21175.95,12609.5,49.12
2020-07-31 21:00:00,20834.34,14512.35,46.15
2020-07-31 22:00:00,20320.99,17795.79,44.97
2020-07-31 23:00:00,19876.73,20841.33,38.27
2020-08-01 00:00:00,17548.44,23117.34,33.35
2020-08-01 01:00:00,15991.58,23630.74,24.6
2020-08-01 02:00:00,15116.93,23790.95,24.28
2020-08-01 03:00:00,15053.38,23620.12,23.99
2020-08-01 04:00:00,15276.31,23032.48,23.67
2020-08-01 05:00:00,15467.56,21947.83,24
2020-08-01 06:00:00,16537.72,21323.19,25
2020-08-01 07:00:00,17411.37,23009.41,27.59
2020-08-01 08:00:00,17485.59,25871.29,25.93
2020-08-01 09:00:00,17475.04,30179.87,24.4
2020-08-01 10:00:00,17333.09,34001.1,23.22
2020-08-01 11:00:00,17203.67,37323.54,23.37
2020-08-01 12:00:00,16668.87,38936.73,24.31
2020-08-01 13:00:00,16284.34,39115.35,23.74
2020-08-01 14:00:00,15971.6,37444.09,23.11
2020-08-01 15:00:00,16265.5,33813.01,23.16
2020-08-01 16:00:00,16729.18,29594.9,25.54
2020-08-01 17:00:00,17537.43,25805.46,32.62
2020-08-01 18:00:00,18573.81,21110.99,38.43
2020-08-01 19:00:00,19059.96,17082.71,38.78
2020-08-01 20:00:00,19436.81,14494.25,38.37
2020-08-01 21:00:00,19819.5,14277.96,37.78
2020-08-01 22:00:00,20207.51,14126.24,37.12
2020-08-01 23:00:00,19828.72,13500.44,33.09
2020-08-02 00:00:00,18038.44,12753.25,30.67
2020-08-02 01:00:00,17543.57,12287.39,27.82
2020-08-02 02:00:00,17228.65,11507.23,26.97
2020-08-02 03:00:00,16876.9,10947.09,25.25
2020-08-02 04:00:00,16696.57,11009.9,25.23
2020-08-02 05:00:00,16418.45,10773.98,25.09
2020-08-02 06:00:00,16526.61,11375.75,25.46
2020-08-02 07:00:00,16808.44,13770.47,26.09
2020-08-02 08:00:00,16732.25,16234.2,27.4
2020-08-02 09:00:00,16889.5,19549.07,27.62
2020-08-02 10:00:00,16672.29,22191.48,27.63
2020-08-02 11:00:00,16778.79,23887.59,28.01
2020-08-02 12:00:00,16788.85,25044.72,26.42
2020-08-02 13:00:00,16728.91,26515.61,24.76
2020-08-02 14:00:00,16576.05,26638.22,24.53
2020-08-02 15:00:00,16516.5,25576.29,24.16
2020-08-02 16:00:00,16745.32,24665.47,23.86
2020-08-02 17:00:00,17473.68,23077.13,25.56
2020-08-02 18:00:00,18664.68,20500.75,28.08
2020-08-02 19:00:00,19450.76,17017.34,33
2020-08-02 20:00:00,19922.01,13987.7,34.14
2020-08-02 21:00:00,20383.73,12405.31,35.49
2020-08-02 22:00:00,21139.42,12114.15,38.43
2020-08-02 23:00:00,21129.95,12210.25,34.89
