Datum (MESZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2020-09-28 00:00:00,20491.88,12523.34,33.3
2020-09-28 01:00:00,20490.16,12045.54,30.82
2020-09-28 02:00:00,20175.71,11840.32,29.5
2020-09-28 03:00:00,20559.08,11542.83,28.6
2020-09-28 04:00:00,22014.36,10727.61,28.72
2020-09-28 05:00:00,24342.16,10619.67,30.89
2020-09-28 06:00:00,27596.34,10798.73,47.04
2020-09-28 07:00:00,29688.43,11606.16,55.64
2020-09-28 08:00:00,30155.82,14609.03,59.31
2020-09-28 09:00:00,30089.78,18652.77,56.54
2020-09-28 10:00:00,29934.52,22197.02,53
2020-09-28 11:00:00,29921.81,24845.23,51.72
2020-09-28 12:00:00,29752.89,26695.02,49.16
2020-09-28 13:00:00,29836.93,26216.19,48
2020-09-28 14:00:00,30216.78,23559.63,46
2020-09-28 15:00:00,30621.4,20173.11,47.04
2020-09-28 16:00:00,31497.65,16662.79,48.46
2020-09-28 17:00:00,31769.4,13125.45,52.93
2020-09-28 18:00:00,32267.48,10454.94,61.14
2020-09-28 19:00:00,32389.78,10150.47,80.03
2020-09-28 20:00:00,32449.88,10209.44,58
2020-09-28 21:00:00,31942.15,10366.61,52.24
2020-09-28 22:00:00,30887.58,10351.77,46.16
2020-09-28 23:00:00,29458.93,10185.49,40.01
2020-09-29 00:00:00,27850.57,10023.39,37.85
2020-09-29 01:00:00,26890.15,10072.12,37.43
2020-09-29 02:00:00,26179.52,10175.01,36.85
2020-09-29 03:00:00,25802.07,10214.69,34.79
2020-09-29 04:00:00,26138.09,10374.78,36.48
2020-09-29 05:00:00,28074.77,10428.8,39.51
2020-09-29 06:00:00,31364.03,10487.49,51.58
2020-09-29 07:00:00,32806.55,11330.48,67.87
2020-09-29 08:00:00,33067.9,13965.66,84.65
2020-09-29 09:00:00,32924.19,17196.52,76
2020-09-29 10:00:00,32767.17,19964.29,69.4
2020-09-29 11:00:00,32845.38,22512.91,66.62
2020-09-29 12:00:00,32398.33,23425.56,59.37
2020-09-29 13:00:00,32100.39,23806.74,54.25
2020-09-29 14:00:00,32806.49,22975.26,52.24
2020-09-29 15:00:00,33196.67,20470.95,53
2020-09-29 16:00:00,33269.91,17288.59,56.95
2020-09-29 17:00:00,33563.01,13528.64,62.43
2020-09-29 18:00:00,33885.88,11007.8,73.69
2020-09-29 19:00:00,33954.87,10464.61,128.31
2020-09-29 20:00:00,33187.45,10378.36,73.14
2020-09-29 21:00:00,32776.76,9828,57.5
2020-09-29 22:00:00,32268.64,9477.92,51.57
2020-09-29 23:00:00,31078.14,9179.47,45.36
2020-09-30 00:00:00,29187.05,8933.85,41.7
2020-09-30 01:00:00,27567.74,8751.14,41.78
2020-09-30 02:00:00,27464.53,8655.64,39.9
2020-09-30 03:00:00,27396.25,8872.01,37.95
2020-09-30 04:00:00,27511.51,9064.29,37.79
2020-09-30 05:00:00,29728.77,9438.26,41.89
2020-09-30 06:00:00,32580.99,9898.57,51.32
2020-09-30 07:00:00,33986.68,10540.38,62.37
2020-09-30 08:00:00,34564.26,13327.58,72.8
2020-09-30 09:00:00,34350.81,17279.77,65.76
2020-09-30 10:00:00,34113.82,22004.76,55.16
2020-09-30 11:00:00,34148.75,25847.07,52.29
2020-09-30 12:00:00,33603.55,27341.02,49.17
2020-09-30 13:00:00,33210.91,27780.68,47.4
2020-09-30 14:00:00,32735.26,27136.99,45.04
2020-09-30 15:00:00,33085.7,24816.77,45.19
2020-09-30 16:00:00,33228.99,20777.69,48.94
2020-09-30 17:00:00,33918.26,16200.95,53.98
2020-09-30 18:00:00,33445.38,12935.65,60.14
2020-09-30 19:00:00,33569.97,14156.72,72.43
