Datum (MEZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2023-11-13 00:00:00,19861.95,15916.89,91.26
2023-11-13 01:00:00,18903.14,15444,86.82
2023-11-13 02:00:00,18092.5,14623.76,87
2023-11-13 03:00:00,18741.24,14828.3,87.25
2023-11-13 04:00:00,19117.54,15813.33,89.27
2023-11-13 05:00:00,20832.03,16971.76,93.26
2023-11-13 06:00:00,23925.31,18761.07,124.5
2023-11-13 07:00:00,24892.15,19460.27,142.09
2023-11-13 08:00:00,25152.74,21114.53,151.79
2023-11-13 09:00:00,25144.05,23919.71,133.05
2023-11-13 10:00:00,25117.64,27171.6,121.78
2023-11-13 11:00:00,25039.46,29268.8,123.01
2023-11-13 12:00:00,24622.3,32140.77,121.34
2023-11-13 13:00:00,23629.89,35761.54,113.37
2023-11-13 14:00:00,22151.45,39543.06,96.44
2023-11-13 15:00:00,20664.8,42167.84,87.31
2023-11-13 16:00:00,19804.69,43979.45,81.18
2023-11-13 17:00:00,20224.05,46601.37,82.27
2023-11-13 18:00:00,20476.58,46421.01,85.73
2023-11-13 19:00:00,19911.61,46742.96,81.27
2023-11-13 20:00:00,16617.9,47455.62,74.94
2023-11-13 21:00:00,13751.84,48697.96,61.36
2023-11-13 22:00:00,12228.46,48623,51.07
2023-11-13 23:00:00,10829.77,49328.56,10.1
2023-11-14 00:00:00,10014.38,49154.75,10.07
2023-11-14 01:00:00,9877.94,48358.61,1.05
2023-11-14 02:00:00,9734,46687.56,-0.01
2023-11-14 03:00:00,10076.35,45829.76,-0.08
2023-11-14 04:00:00,10378.22,46151.73,-0.04
2023-11-14 05:00:00,10625.47,51271.32,1.04
2023-11-14 06:00:00,11864.39,53862.45,46.6
2023-11-14 07:00:00,15636.2,52175.47,76.91
2023-11-14 08:00:00,16518.9,53159.16,82.17
2023-11-14 09:00:00,16053.31,54885.92,77.86
2023-11-14 10:00:00,16208.74,56394.96,72.62
2023-11-14 11:00:00,15848.58,56561.57,72.82
2023-11-14 12:00:00,16149,56257.26,75.06
2023-11-14 13:00:00,17126.88,53721.38,75.09
2023-11-14 14:00:00,17640.06,49408.97,81.01
2023-11-14 15:00:00,18262.61,44599.24,90.06
2023-11-14 16:00:00,19103.95,40846.08,90.8
2023-11-14 17:00:00,20104.58,37338.11,117.61
2023-11-14 18:00:00,20089.72,35062.76,119.81
2023-11-14 19:00:00,20015,33159.75,116.96
2023-11-14 20:00:00,19310.77,32014.04,100.43
2023-11-14 21:00:00,18443.07,31828.71,89.74
2023-11-14 22:00:00,17079.12,31737.52,89.11
2023-11-14 23:00:00,15823.75,31629.89,85.5
2023-11-15 00:00:00,14618.69,31164.76,81.1
2023-11-15 01:00:00,14101.27,31508.18,76.42
2023-11-15 02:00:00,13557.07,31579.11,72.9
2023-11-15 03:00:00,13270.68,32003.46,70.69
2023-11-15 04:00:00,14194.74,31896.59,74.45
2023-11-15 05:00:00,17218.84,31081.61,82.28
2023-11-15 06:00:00,22184.78,30343.98,103.08
2023-11-15 07:00:00,26186.33,28846.05,123.19
2023-11-15 08:00:00,27816.18,27820.08,128.59
2023-11-15 09:00:00,28215.72,29239.68,121.29
2023-11-15 10:00:00,28151.54,31306.98,112.78
2023-11-15 11:00:00,27496.16,32826.04,99.84
2023-11-15 12:00:00,27584.99,33192.59,97.36
2023-11-15 13:00:00,27645.14,32764.86,101.09
2023-11-15 14:00:00,27972.79,31127.55,106.27
2023-11-15 15:00:00,28773.83,27941.87,121.21
2023-11-15 16:00:00,29113.72,27403.49,122.96
2023-11-15 17:00:00,29564.21,29671.38,127.84
2023-11-15 18:00:00,29938,31904.06,129.9
2023-11-15 19:00:00,29883.57,34276.11,121.08
2023-11-15 20:00:00,28165.71,35618.81,110.1
2023-11-15 21:00:00,25333.87,36457.01,97.5
2023-11-15 22:00:00,22863.64,36229.71,91.66
2023-11-15 23:00:00,20474.21,36703.57,84.21
2023-11-16 00:00:00,18966.08,38427.11,85.46
2023-11-16 01:00:00,17582.68,39456.96,83.25
2023-11-16 02:00:00,17550.1,39843.58,75.12
2023-11-16 03:00:00,17204.47,39633.99,74.06
2023-11-16 04:00:00,18052.5,38022.73,81.1
2023-11-16 05:00:00,21097.97,35837.32,87.03
2023-11-16 06:00:00,27391.36,33963.8,100.06
2023-11-16 07:00:00,31785.54,31559.98,126.9
2023-11-16 08:00:00,33422.74,31088.76,129.99
2023-11-16 09:00:00,33746.84,31575.74,128.59
2023-11-16 10:00:00,33193.23,31074.42,120.1
2023-11-16 11:00:00,33857.15,29323.5,116.62
2023-11-16 12:00:00,35254.14,27043.12,122.63
2023-11-16 13:00:00,36613.63,23371.54,131.64
2023-11-16 14:00:00,37431.04,19997.83,146.82
2023-11-16 15:00:00,38145.09,17482.23,158.5
2023-11-16 16:00:00,38448.21,16777.61,158.24
2023-11-16 17:00:00,38544.62,17196.98,182.39
2023-11-16 18:00:00,38131.44,17839.45,142.26
2023-11-16 19:00:00,37791.24,18265.26,125.23
2023-11-16 20:00:00,36423.58,18247.06,121.18
2023-11-16 21:00:00,34524.1,18270.75,115
2023-11-16 22:00:00,31341.57,17837.29,110.2
2023-11-16 23:00:00,28584.86,17764.6,100.85
2023-11-17 00:00:00,27830.15,17977.09,106
2023-11-17 01:00:00,27242.14,18323.51,100
2023-11-17 02:00:00,26870.06,19684.96,95.65
2023-11-17 03:00:00,25830.33,20566.27,92.76
2023-11-17 04:00:00,25567.71,21162.3,95.7
2023-11-17 05:00:00,27180.22,21034.48,103.2
2023-11-17 06:00:00,32298.5,21430.45,119.35
2023-11-17 07:00:00,35490.83,21075.68,131.03
2023-11-17 08:00:00,36313.24,22046.9,141.92
2023-11-17 09:00:00,36182.76,23492.7,134.75
2023-11-17 10:00:00,35972.55,25016.07,127.91
2023-11-17 11:00:00,35834.83,26256.92,125.18
2023-11-17 12:00:00,35476.03,26152.66,119.5
2023-11-17 13:00:00,35170.91,24417.61,112
2023-11-17 14:00:00,35409.48,21661.67,123.91
2023-11-17 15:00:00,35603.48,17999.18,129.99
2023-11-17 16:00:00,36219.23,16307.1,137.65
2023-11-17 17:00:00,36567.69,16871.29,146.32
2023-11-17 18:00:00,36580.97,16815.61,149.6
2023-11-17 19:00:00,36617.63,16211.32,141
2023-11-17 20:00:00,35827.79,15385.02,128.41
2023-11-17 21:00:00,33824.85,14541.84,120.33
2023-11-17 22:00:00,31137.71,13751.27,118.14
2023-11-17 23:00:00,28174.74,13643.68,111.88
2023-11-18 00:00:00,25302.68,13479.06,110.56
2023-11-18 01:00:00,23152.69,12878.34,97.38
2023-11-18 02:00:00,21560.75,12301.63,90.61
2023-11-18 03:00:00,20064.78,12633.11,85.96
2023-11-18 04:00:00,19300.64,12980.62,82.48
2023-11-18 05:00:00,19161.76,13491.03,82.48
2023-11-18 06:00:00,19887.97,14188.87,86.19
2023-11-18 07:00:00,20595.61,14844.13,92.08
2023-11-18 08:00:00,20898.48,17808.43,100.21
2023-11-18 09:00:00,20130.32,21881.7,97.36
2023-11-18 10:00:00,20127.48,25193.46,96.08
2023-11-18 11:00:00,20128.77,28418.66,95.2
2023-11-18 12:00:00,19541.61,28806,94.7
2023-11-18 13:00:00,19807.13,27567.82,94.98
2023-11-18 14:00:00,19851.91,27233.7,97.06
2023-11-18 15:00:00,20150.13,27327.06,97.61
2023-11-18 16:00:00,21042.82,30577.12,95.98
2023-11-18 17:00:00,21444.49,34465.09,105.07
2023-11-18 18:00:00,20407.23,37089.41,107.34
2023-11-18 19:00:00,17639.78,38641.53,91.24
2023-11-18 20:00:00,14240.83,39240.37,83.1
2023-11-18 21:00:00,12705.86,39437.43,77.98
2023-11-18 22:00:00,12133.07,39088.99,73.76
2023-11-18 23:00:00,11109.75,39037.34,58.11
2023-11-19 00:00:00,9945.91,39402.66,19.13
2023-11-19 01:00:00,9693.16,39812.82,5.67
2023-11-19 02:00:00,9408.32,39623.37,4.1
2023-11-19 03:00:00,9375.98,39374.16,0.13
2023-11-19 04:00:00,9450.89,39478.34,0.07
2023-11-19 05:00:00,9496.15,39836.9,0.09
2023-11-19 06:00:00,9443.57,41905.98,2.33
2023-11-19 07:00:00,9435.86,43397.07,5.59
2023-11-19 08:00:00,9443.5,46581.47,14.49
2023-11-19 09:00:00,9519.17,49617,18.82
2023-11-19 10:00:00,9540.18,51915.37,12.59
2023-11-19 11:00:00,9570.75,53724.32,12.66
2023-11-19 12:00:00,9553.3,54258.7,11.67
2023-11-19 13:00:00,9519.18,51684.98,1
2023-11-19 14:00:00,9613.08,49514.23,15.55
2023-11-19 15:00:00,10059.23,45667.15,67.31
2023-11-19 16:00:00,11868.35,41861.99,80.98
