Datum (MESZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2022-08-08 00:00:00,22610.72,11896.17,310.08
2022-08-08 01:00:00,22763.08,10726.82,271.57
2022-08-08 02:00:00,22984.1,9865.65,281.49
2022-08-08 03:00:00,22935.55,9183.44,278.39
2022-08-08 04:00:00,22990.23,8660.41,272.89
2022-08-08 05:00:00,23417.31,8556.81,310.38
2022-08-08 06:00:00,23734.68,9630.14,408.54
2022-08-08 07:00:00,24009.25,13719.24,419.99
2022-08-08 08:00:00,24170.1,20515.61,414.68
2022-08-08 09:00:00,23594.48,28161.88,384.55
2022-08-08 10:00:00,23049.48,34560.39,339.44
2022-08-08 11:00:00,21783.32,38980.53,307.07
2022-08-08 12:00:00,21580.56,40083.24,292.66
2022-08-08 13:00:00,21975.12,39720.92,294.01
2022-08-08 14:00:00,22206.99,38542.93,294.68
2022-08-08 15:00:00,22291.46,36319,307.77
2022-08-08 16:00:00,22389.09,32447.21,329.86
2022-08-08 17:00:00,23358.45,26936.11,406.02
2022-08-08 18:00:00,23949.32,20137.74,439.98
2022-08-08 19:00:00,23950.1,14868.46,495.9
2022-08-08 20:00:00,23996.97,12893.07,493.85
2022-08-08 21:00:00,23953.47,14083.75,455
2022-08-08 22:00:00,23954.04,15346.72,429.15
2022-08-08 23:00:00,23986.51,15407.01,391.2
2022-08-09 00:00:00,23220.74,14796.55,330.76
2022-08-09 01:00:00,23520.53,13653.83,298.92
2022-08-09 02:00:00,23585.99,12614.07,298.95
2022-08-09 03:00:00,23693.78,11635.33,289.2
2022-08-09 04:00:00,23682.47,11086.94,295.75
2022-08-09 05:00:00,24092.97,11287.84,320.01
2022-08-09 06:00:00,24355.75,12693.17,382.92
2022-08-09 07:00:00,24624.19,16230.57,414.98
2022-08-09 08:00:00,24537.73,21732.99,426.22
2022-08-09 09:00:00,24227.66,28707.33,383.99
2022-08-09 10:00:00,23512.89,35917.42,310.09
2022-08-09 11:00:00,22619.57,41162.86,282.44
2022-08-09 12:00:00,22479.85,43109.12,277.57
2022-08-09 13:00:00,22062.54,42315.55,258.94
2022-08-09 14:00:00,22267.93,40295.5,260.64
2022-08-09 15:00:00,22407.48,37578.4,266.89
2022-08-09 16:00:00,22690.44,33360.88,289.37
2022-08-09 17:00:00,23640.4,27941.77,351.34
2022-08-09 18:00:00,24407.12,21452.1,420
2022-08-09 19:00:00,24774.65,15803.22,469.8
2022-08-09 20:00:00,24922.11,13623.94,469.72
2022-08-09 21:00:00,24808.05,15350.27,428.67
2022-08-09 22:00:00,24720.39,17097.57,406.45
2022-08-09 23:00:00,24244,17583.23,343.31
2022-08-10 00:00:00,23928.81,16493.44,297.01
2022-08-10 01:00:00,23544.49,15004.22,286.98
2022-08-10 02:00:00,23715.61,13835.98,298.71
2022-08-10 03:00:00,23689.92,12717.74,285.6
2022-08-10 04:00:00,23860.39,11845.12,293.99
2022-08-10 05:00:00,24147.73,11484.77,297.74
2022-08-10 06:00:00,24397.75,12474.95,343.67
2022-08-10 07:00:00,24640.16,16018.08,392.98
2022-08-10 08:00:00,24436.59,21683.76,395.51
2022-08-10 09:00:00,23946.45,29254.39,356.26
2022-08-10 10:00:00,23358.82,36598.76,302.9
2022-08-10 11:00:00,23058.01,41699.75,284.9
2022-08-10 12:00:00,23021.28,43727.66,274.76
2022-08-10 13:00:00,22730.41,43691.94,253
2022-08-10 14:00:00,22637.51,42178.27,253.96
2022-08-10 15:00:00,22843.52,39310.18,272.34
2022-08-10 16:00:00,23137.46,34703.04,303.1
2022-08-10 17:00:00,23886.55,28452.29,353
2022-08-10 18:00:00,24177.67,21127.14,409.93
2022-08-10 19:00:00,24392.76,14935.3,449
2022-08-10 20:00:00,24250.85,12846.88,454.73
2022-08-10 21:00:00,24025.7,14628.19,420
2022-08-10 22:00:00,23432.18,16843.75,406.84
2022-08-10 23:00:00,23038.47,17351.66,355.01
2022-08-11 00:00:00,21871.22,16387.11,309.92
2022-08-11 01:00:00,21830.84,15215.43,300.03
2022-08-11 02:00:00,21847.96,14050.6,310
2022-08-11 03:00:00,21987.97,12696.24,306.3
2022-08-11 04:00:00,22220.49,11710.36,312
2022-08-11 05:00:00,22515.31,11234.71,347.06
2022-08-11 06:00:00,22960.94,12022.06,406.65
2022-08-11 07:00:00,23241.27,15703.13,419.97
2022-08-11 08:00:00,23346.94,22071.97,414.9
2022-08-11 09:00:00,23269.31,29475.96,397.16
2022-08-11 10:00:00,22212.69,36868.12,355.1
2022-08-11 11:00:00,21456.97,42751.04,313.97
2022-08-11 12:00:00,20773.5,45812.1,298.97
2022-08-11 13:00:00,20902.73,45828.75,269.86
2022-08-11 14:00:00,21167.31,44046.31,267.86
2022-08-11 15:00:00,21653.45,40796.64,294
2022-08-11 16:00:00,22388.81,35905.04,334.8
2022-08-11 17:00:00,22742.63,29555.86,401.31
2022-08-11 18:00:00,23293.54,22124.09,450
2022-08-11 19:00:00,23530.36,16068.76,539.9
2022-08-11 20:00:00,23557.67,14504.76,534.75
2022-08-11 21:00:00,23489.2,16440.56,446
2022-08-11 22:00:00,23148.32,17915.23,414.99
2022-08-11 23:00:00,22660.94,18105.89,390
2022-08-12 00:00:00,21850.48,17620.69,422.1
2022-08-12 01:00:00,21803.35,16747.64,405
2022-08-12 02:00:00,21423.13,15442.34,395.69
2022-08-12 03:00:00,21561.41,14041.87,391.95
2022-08-12 04:00:00,21294.96,12616.28,402.56
2022-08-12 05:00:00,21346.61,11778.06,408
2022-08-12 06:00:00,21919.73,12693.02,469.21
2022-08-12 07:00:00,22577.17,16551.06,513.31
2022-08-12 08:00:00,22465.37,22784.44,508
2022-08-12 09:00:00,21893.61,30103.98,472.56
2022-08-12 10:00:00,20847.09,37899.31,419.9
2022-08-12 11:00:00,19882.95,44331.53,405.6
2022-08-12 12:00:00,19057.84,47014.38,376.39
2022-08-12 13:00:00,19174.92,46915.36,328.45
2022-08-12 14:00:00,19142.83,44675.85,334.37
2022-08-12 15:00:00,19699.08,41316.32,372.09
2022-08-12 16:00:00,20058,36841.32,393.24
2022-08-12 17:00:00,20738.32,31291.25,448.08
2022-08-12 18:00:00,21654.09,24607.98,489.99
2022-08-12 19:00:00,22152.44,18453.64,560
2022-08-12 20:00:00,22187.35,15536.03,565.4
2022-08-12 21:00:00,22199.75,16984.63,507.78
2022-08-12 22:00:00,21883.38,17764.59,469.47
2022-08-12 23:00:00,21033.84,17381.03,424.02
2022-08-13 00:00:00,19569.04,16938.74,427.23
2022-08-13 01:00:00,19055.28,15791.59,400.71
2022-08-13 02:00:00,19168.13,14414.1,387.87
2022-08-13 03:00:00,19123.05,12953.04,374.09
2022-08-13 04:00:00,19158.32,11652.24,375.79
2022-08-13 05:00:00,19261.3,11170.43,382.76
2022-08-13 06:00:00,19271.95,11595.79,379.9
2022-08-13 07:00:00,19304.55,14716.08,388.74
2022-08-13 08:00:00,18831.5,20596.12,399.9
