Datum (MESZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2022-10-10 00:00:00,17823.2,30046.96,69.37
2022-10-10 01:00:00,18544.38,29808.16,70.87
2022-10-10 02:00:00,18240.52,28956.09,70.83
2022-10-10 03:00:00,18826.83,28085.42,70.89
2022-10-10 04:00:00,19762.33,27445.44,80.67
2022-10-10 05:00:00,20909,27352.27,141.4
2022-10-10 06:00:00,23620.39,27536.69,167.79
2022-10-10 07:00:00,25171.35,27058.15,227.26
2022-10-10 08:00:00,25559.52,28572.33,266.36
2022-10-10 09:00:00,25122.01,31679.85,217.18
2022-10-10 10:00:00,25051.25,35019.84,165.03
2022-10-10 11:00:00,24115.95,38202.29,160.58
2022-10-10 12:00:00,22496.08,40638.66,133.46
2022-10-10 13:00:00,22986.5,42076.43,131.08
2022-10-10 14:00:00,23173.95,40377.63,131.17
2022-10-10 15:00:00,23959.23,37000.11,139.37
2022-10-10 16:00:00,25013.7,31354.42,158.86
2022-10-10 17:00:00,26384.31,26509.27,210.58
2022-10-10 18:00:00,26914.7,25649.29,247.81
2022-10-10 19:00:00,27526.4,25857.37,276.74
2022-10-10 20:00:00,27823.37,26460.87,227.97
2022-10-10 21:00:00,26710.64,27302.98,197.78
2022-10-10 22:00:00,26237.91,26533.41,167.77
2022-10-10 23:00:00,25742.37,25313.3,159.34
2022-10-11 00:00:00,24040.11,24918.53,155
2022-10-11 01:00:00,23075.17,24047.55,174.3
2022-10-11 02:00:00,22834.83,22448.85,174.3
2022-10-11 03:00:00,23177.88,21607.43,171.54
2022-10-11 04:00:00,23456.94,20604.7,170.13
2022-10-11 05:00:00,24876.97,19451.35,169.2
2022-10-11 06:00:00,27752.74,19145.97,253.98
2022-10-11 07:00:00,30202.87,18585.02,299.91
2022-10-11 08:00:00,31111.81,19760.34,348.98
2022-10-11 09:00:00,30883.07,22960.32,300.72
2022-10-11 10:00:00,29957.12,26977.39,258.72
2022-10-11 11:00:00,29230.31,31277.08,239.35
2022-10-11 12:00:00,28318.86,33931.06,206.75
2022-10-11 13:00:00,27020.44,33345.72,203.35
2022-10-11 14:00:00,27681.33,30301.02,207.92
2022-10-11 15:00:00,28500.17,25839.42,225.26
2022-10-11 16:00:00,29501.62,19469.63,258.95
2022-10-11 17:00:00,31071.91,13114.93,323.9
2022-10-11 18:00:00,32008.86,10002.38,442.72
2022-10-11 19:00:00,31986.41,9961.41,484.75
2022-10-11 20:00:00,31678.11,10035.24,351.65
2022-10-11 21:00:00,30623.65,9702.56,295.02
2022-10-11 22:00:00,30056.58,9427.47,262.03
2022-10-11 23:00:00,28392.19,9143.89,258.54
2022-10-12 00:00:00,27788.91,8913.25,236.57
2022-10-12 01:00:00,27047.5,9050.97,222.21
2022-10-12 02:00:00,26758.4,9190.77,207.56
2022-10-12 03:00:00,26782.32,9226.03,198.99
2022-10-12 04:00:00,27092.42,9342.32,219.9
2022-10-12 05:00:00,28697.13,9274.26,240.68
2022-10-12 06:00:00,30370.3,9839.53,307.75
2022-10-12 07:00:00,31179.05,10633.51,480.12
2022-10-12 08:00:00,31381.92,13092.64,479.3
2022-10-12 09:00:00,31455.81,19144.33,334.03
2022-10-12 10:00:00,30688.95,25232.37,283.73
2022-10-12 11:00:00,29637.18,28855.44,232.08
2022-10-12 12:00:00,29065.19,31492.63,213.64
2022-10-12 13:00:00,28692.84,32000.31,217.9
2022-10-12 14:00:00,28513.72,29908.69,217.58
2022-10-12 15:00:00,29194.41,26437.95,224.31
2022-10-12 16:00:00,30136.94,20346.74,241.53
2022-10-12 17:00:00,31082.54,13861.13,295.09
2022-10-12 18:00:00,31877.46,11354.65,378.4
2022-10-12 19:00:00,31968.58,12530.44,479.97
2022-10-12 20:00:00,31662.21,14032.73,324.38
2022-10-12 21:00:00,30518.54,15416.81,273.02
2022-10-12 22:00:00,28669.53,16054.65,243.55
2022-10-12 23:00:00,27344.59,16516.86,228.57
2022-10-13 00:00:00,26709.37,16842.01,218.66
2022-10-13 01:00:00,26270.39,17029.44,210
2022-10-13 02:00:00,26080.59,16402.2,193.8
2022-10-13 03:00:00,26213.23,15507.67,182.96
2022-10-13 04:00:00,26490,14977.13,195.02
2022-10-13 05:00:00,27186.89,15020.36,218.46
2022-10-13 06:00:00,29331.09,16073.52,257.47
2022-10-13 07:00:00,30768.95,16214.46,285.81
2022-10-13 08:00:00,31275.28,18432.63,332.53
2022-10-13 09:00:00,31345.03,20772.18,301.56
2022-10-13 10:00:00,31508.98,22866.2,280.05
2022-10-13 11:00:00,31743.23,24494.47,277.7
2022-10-13 12:00:00,31764.75,25870.92,262.7
2022-10-13 13:00:00,31740.77,25779.42,254.99
2022-10-13 14:00:00,31739.83,23669.82,255
2022-10-13 15:00:00,32006.58,20143.45,263.58
2022-10-13 16:00:00,32365.79,16522.58,267.05
2022-10-13 17:00:00,32638.92,13861.92,292.35
2022-10-13 18:00:00,32877.17,13079.6,319.66
2022-10-13 19:00:00,32906.32,13916.44,343.7
2022-10-13 20:00:00,32331.64,14696.79,290.1
2022-10-13 21:00:00,30514.48,14784.59,248.54
2022-10-13 22:00:00,28730.2,14518.29,225.19
2022-10-13 23:00:00,27756.47,13498.38,202.06
2022-10-14 00:00:00,27043.73,12841.89,231.32
2022-10-14 01:00:00,26746.13,12193.11,219.6
2022-10-14 02:00:00,26376.11,11735.01,212.12
2022-10-14 03:00:00,26213.1,11554.69,211.62
2022-10-14 04:00:00,26352.25,11188.35,218.92
2022-10-14 05:00:00,28468.6,11229.27,229.49
2022-10-14 06:00:00,29796.98,11491.64,278.37
2022-10-14 07:00:00,30530.49,12157.42,350
2022-10-14 08:00:00,30717.3,13451.48,412.65
2022-10-14 09:00:00,30723.85,16228.94,327.39
2022-10-14 10:00:00,30587.54,20102.31,297.26
2022-10-14 11:00:00,30539.21,23207.18,282.41
