Datum (MEZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2022-11-07 00:00:00,12660.87,36451.81,0.09
2022-11-07 01:00:00,12498.52,35692.75,0.09
2022-11-07 02:00:00,12645.83,35062.33,0.09
2022-11-07 03:00:00,12832.92,35589.79,0.3
2022-11-07 04:00:00,12989.25,36728.97,5
2022-11-07 05:00:00,13385.76,38800.87,9.07
2022-11-07 06:00:00,16272.8,40361.89,54.32
2022-11-07 07:00:00,19208.85,40047.91,99.52
2022-11-07 08:00:00,20276.18,41753.29,105.04
2022-11-07 09:00:00,19594.42,45646.64,84.4
2022-11-07 10:00:00,18487.79,48970.12,67.14
2022-11-07 11:00:00,17756.17,50010.99,68.86
2022-11-07 12:00:00,18259.79,47730.25,70.46
2022-11-07 13:00:00,20374,42876.09,84.35
2022-11-07 14:00:00,21889.5,37369.39,98.87
2022-11-07 15:00:00,22635.16,33188.85,151.61
2022-11-07 16:00:00,22897.84,31512.35,149.05
2022-11-07 17:00:00,23423.65,32375.3,155.57
2022-11-07 18:00:00,23567.07,33664,156.49
2022-11-07 19:00:00,23168.29,33993.24,140.15
2022-11-07 20:00:00,21963.92,34427.18,110.07
2022-11-07 21:00:00,21058.82,33948.83,84.33
2022-11-07 22:00:00,19538.99,32660.64,77.06
2022-11-07 23:00:00,17744.31,31932.9,54.36
2022-11-08 00:00:00,17018.86,31381.25,77.58
2022-11-08 01:00:00,16793.4,31139.08,79.51
2022-11-08 02:00:00,15809.4,30675.73,73.45
2022-11-08 03:00:00,15979.67,28894.95,71.22
2022-11-08 04:00:00,16454.83,29020.02,62.99
2022-11-08 05:00:00,17877.83,30320.45,76.77
2022-11-08 06:00:00,19991.88,31742.91,85.41
2022-11-08 07:00:00,21280.32,34148.35,129.24
2022-11-08 08:00:00,21231.47,38960.63,135.49
2022-11-08 09:00:00,20655.68,43535.22,91.3
2022-11-08 10:00:00,20125.87,45958.47,71.38
2022-11-08 11:00:00,19960.86,47906.38,75.62
2022-11-08 12:00:00,19833.44,47857.89,72.86
2022-11-08 13:00:00,19587.89,45980.99,91.23
2022-11-08 14:00:00,19415.99,41375.73,93.46
2022-11-08 15:00:00,20641.98,37018.84,121.03
2022-11-08 16:00:00,21722.8,36179.16,123.3
2022-11-08 17:00:00,22145.95,37488.82,135.27
2022-11-08 18:00:00,22210.86,37826.28,142.1
2022-11-08 19:00:00,21952.65,37622.13,119.78
2022-11-08 20:00:00,21824.54,37374.92,98.6
2022-11-08 21:00:00,21167.94,37002.8,84.98
2022-11-08 22:00:00,20327.84,35695.59,99.77
2022-11-08 23:00:00,19068.79,34677.12,71.37
2022-11-09 00:00:00,17497.81,34165.43,74.42
2022-11-09 01:00:00,16393.17,34420.78,74.41
2022-11-09 02:00:00,15439.26,34075.75,64.97
2022-11-09 03:00:00,15503.71,33835.18,68.06
2022-11-09 04:00:00,15850.4,33478.44,68.38
2022-11-09 05:00:00,17563.33,35118.08,87.3
2022-11-09 06:00:00,19937.83,36128.19,117.05
2022-11-09 07:00:00,21991.25,35985.49,148.63
2022-11-09 08:00:00,22769.19,36354.36,160.58
