Datum (MESZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2023-04-17 00:00:00,21143.35,12082.17,114.75
2023-04-17 01:00:00,20900.54,11543,111.14
2023-04-17 02:00:00,20918.08,11182.24,108.96
2023-04-17 03:00:00,21319.9,11160,110.44
2023-04-17 04:00:00,22216.37,11319.84,110
2023-04-17 05:00:00,23699.51,11506.94,115.03
2023-04-17 06:00:00,25519.62,12253.62,140.82
2023-04-17 07:00:00,26097.57,14078.12,178.68
2023-04-17 08:00:00,26510.23,16754.45,200.51
2023-04-17 09:00:00,26434.5,21059.94,163.14
2023-04-17 10:00:00,25519.51,26166.2,135.61
2023-04-17 11:00:00,23938.74,31014.86,118.18
2023-04-17 12:00:00,21691.03,35260.68,105.35
2023-04-17 13:00:00,20786.29,37873.38,102.25
2023-04-17 14:00:00,19392.82,38150.15,97.16
2023-04-17 15:00:00,19499.57,36083.01,96.94
2023-04-17 16:00:00,20556.44,33401.65,96.76
2023-04-17 17:00:00,21774.8,30266.17,100.99
2023-04-17 18:00:00,23307.91,26353.41,122.33
2023-04-17 19:00:00,24260.42,22747.35,143.61
2023-04-17 20:00:00,24284.67,21740.78,142.78
2023-04-17 21:00:00,24163.67,22320.93,134.25
2023-04-17 22:00:00,23316.68,21979.89,122.82
2023-04-17 23:00:00,21432.92,22035.81,109.16
2023-04-18 00:00:00,19661.71,21865.41,105.31
2023-04-18 01:00:00,18798.61,21192.27,102.07
2023-04-18 02:00:00,18767.18,20786.54,101.1
2023-04-18 03:00:00,19507.69,20775.06,101.29
2023-04-18 04:00:00,19885.86,21277.45,100.55
2023-04-18 05:00:00,20753.35,22142.22,101.27
2023-04-18 06:00:00,22587.67,22921.82,127
2023-04-18 07:00:00,23825.38,24235,140.27
2023-04-18 08:00:00,24797.05,26563.37,154.88
2023-04-18 09:00:00,24737.04,30042.56,133.99
2023-04-18 10:00:00,23890.89,34598.77,106.21
2023-04-18 11:00:00,22368.45,37891.8,103.58
2023-04-18 12:00:00,21186.54,40345.08,94.94
2023-04-18 13:00:00,20530.8,41635.9,84.96
2023-04-18 14:00:00,20795.23,42043.41,84.7
2023-04-18 15:00:00,20958.37,40648.85,77.63
2023-04-18 16:00:00,21426.13,38417.08,79.39
2023-04-18 17:00:00,22013.7,35044.22,94.39
2023-04-18 18:00:00,23207.17,31769.22,108.21
2023-04-18 19:00:00,23631.35,28144.11,130.46
2023-04-18 20:00:00,23489.51,28048.89,135.01
2023-04-18 21:00:00,23048.34,29717.43,121.48
2023-04-18 22:00:00,21608.95,30171.29,108.76
2023-04-18 23:00:00,20425.41,29668.29,99.96
2023-04-19 00:00:00,18822.71,28569.78,102.3
2023-04-19 01:00:00,18135.1,27328.3,97.54
2023-04-19 02:00:00,17429.85,26198.94,99.92
2023-04-19 03:00:00,17394.46,25474.2,98.95
2023-04-19 04:00:00,17667.38,25668.92,101.33
2023-04-19 05:00:00,19383.53,26076.99,105.87
2023-04-19 06:00:00,21140.55,26920.47,130
2023-04-19 07:00:00,21411.5,28075.69,138.96
2023-04-19 08:00:00,22203.97,31300.27,139.28
2023-04-19 09:00:00,22024.81,37582.22,118.83
2023-04-19 10:00:00,18900.1,46341.71,90.39
2023-04-19 11:00:00,16723.96,51896.94,64.68
2023-04-19 12:00:00,16131.23,54185.16,29.6
2023-04-19 13:00:00,16084.22,54715.5,5.29
2023-04-19 14:00:00,15893.57,53484.15,0.09
2023-04-19 15:00:00,16028.4,50849.46,2.71
2023-04-19 16:00:00,16898.35,47484.49,22.74
2023-04-19 17:00:00,17783.87,44515.86,72.31
2023-04-19 18:00:00,19958.46,39727.46,94.79
2023-04-19 19:00:00,21279.29,34034.37,119.69
2023-04-19 20:00:00,21564.16,30728.97,130.73
2023-04-19 21:00:00,21483.55,30013.72,122.82
2023-04-19 22:00:00,20813.42,28643.64,109.9
2023-04-19 23:00:00,20146.6,28189.35,101.66
2023-04-20 00:00:00,18863.37,27165.71,100.19
2023-04-20 01:00:00,18793.09,25561,94.35
2023-04-20 02:00:00,19114.59,24791.26,96.76
2023-04-20 03:00:00,19334.27,24710.02,94.98
2023-04-20 04:00:00,19931.79,23488.43,97.18
2023-04-20 05:00:00,20975.52,23128.89,102.78
2023-04-20 06:00:00,22338.75,24058.02,127.97
2023-04-20 07:00:00,22873.74,25211.72,144.48
2023-04-20 08:00:00,22754.01,27805.52,144.7
2023-04-20 09:00:00,22361.99,31014.2,130.07
2023-04-20 10:00:00,21895.21,33949.56,107.97
2023-04-20 11:00:00,21317.83,35639.54,96.94
2023-04-20 12:00:00,20691.76,37328.67,94.23
2023-04-20 13:00:00,20167.51,39950.72,89.61
2023-04-20 14:00:00,20299.01,41179.35,88.71
2023-04-20 15:00:00,19820.08,40301.19,86.68
2023-04-20 16:00:00,20013.22,37411.07,92.09
2023-04-20 17:00:00,20302.99,34592.86,103.76
2023-04-20 18:00:00,21283.64,30634.8,128.99
2023-04-20 19:00:00,22181.24,26892.23,142.1
2023-04-20 20:00:00,22737.64,26918.54,146.45
2023-04-20 21:00:00,22367.3,28863.65,134.57
2023-04-20 22:00:00,21784.61,29603.19,129.18
2023-04-20 23:00:00,21068.31,30030.64,106.21
2023-04-21 00:00:00,18969.96,30793.98,98.42
2023-04-21 01:00:00,18382.99,30327.75,91.88
2023-04-21 02:00:00,18508.69,29960.82,91.01
2023-04-21 03:00:00,18740.75,29239.09,92.98
2023-04-21 04:00:00,19080.69,28704.76,92.6
2023-04-21 05:00:00,19880.19,28442.47,95.23
2023-04-21 06:00:00,20546.03,28820.75,120.92
