Datum (MESZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2024-04-29 00:00:00,11780.2,24199.64,63.15
2024-04-29 01:00:00,11614.03,21911.82,60.05
2024-04-29 02:00:00,11371.39,21321.6,58.93
2024-04-29 03:00:00,10862.79,19365.02,62.46
2024-04-29 04:00:00,12000.06,17595.81,76.82
2024-04-29 05:00:00,13883.43,16271.01,85.18
2024-04-29 06:00:00,15655.61,16566.09,102.38
2024-04-29 07:00:00,16122.33,19958.89,117.95
2024-04-29 08:00:00,15458.18,25461.04,100.69
2024-04-29 09:00:00,13851.16,32959.7,75.17
2024-04-29 10:00:00,10611.72,40088.11,59.21
2024-04-29 11:00:00,9724.38,45435.42,36.46
2024-04-29 12:00:00,9389.11,47826.57,36.18
2024-04-29 13:00:00,9252.9,47663.3,35.59
2024-04-29 14:00:00,9269.73,45890.33,33.63
2024-04-29 15:00:00,9246.3,41928.88,35.57
2024-04-29 16:00:00,10285.6,35805.1,47.68
2024-04-29 17:00:00,14274.69,27715.35,85.75
2024-04-29 18:00:00,17894.76,19687.09,104.73
2024-04-29 19:00:00,19111.94,14751.48,180.04
2024-04-29 20:00:00,19231.24,14480.56,204.57
2024-04-29 21:00:00,18519.77,17515.55,108.55
2024-04-29 22:00:00,16799.25,20504.87,87.29
2024-04-29 23:00:00,14786.58,22002.59,81.15
2024-04-30 00:00:00,13228.76,22569.75,73.76
2024-04-30 01:00:00,12386.08,22222.78,66.77
2024-04-30 02:00:00,12289.9,21649.87,70.41
2024-04-30 03:00:00,12787.8,21101.12,70
2024-04-30 04:00:00,13066.94,20667.73,70
2024-04-30 05:00:00,13208.95,20629.89,78.77
2024-04-30 06:00:00,13468.52,21729.78,94.95
2024-04-30 07:00:00,13782.15,25151.15,101.95
2024-04-30 08:00:00,13455.12,31716.21,88.46
2024-04-30 09:00:00,12121.67,38402.31,77
2024-04-30 10:00:00,9836.08,44233.91,62.06
2024-04-30 11:00:00,9179.56,49048.13,47.1
2024-04-30 12:00:00,8862.04,52174.19,28.05
2024-04-30 13:00:00,8771.5,53092.22,11.3
2024-04-30 14:00:00,8744.36,51242.75,10
2024-04-30 15:00:00,8504.8,49158.87,19.14
2024-04-30 16:00:00,8625.7,43617.07,45.84
2024-04-30 17:00:00,11132.11,35621.01,66.95
2024-04-30 18:00:00,14006.78,25512.78,86.2
2024-04-30 19:00:00,15412.6,19521.62,122.01
2024-04-30 20:00:00,15574.17,19541.06,132.41
2024-04-30 21:00:00,14907.35,21852.73,88.37
