Datum (MEZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2024-11-04 00:00:00,21797.83,12023.32,92.04
2024-11-04 01:00:00,21355.92,11198.85,89.96
2024-11-04 02:00:00,21257.88,10564.65,90.07
2024-11-04 03:00:00,21815.86,10137.46,89.86
2024-11-04 04:00:00,22548.76,9840.92,90.8
2024-11-04 05:00:00,25446.87,9653.4,98.52
2024-11-04 06:00:00,28397.83,9730.44,124.89
2024-11-04 07:00:00,29726.69,10279.34,144.91
2024-11-04 08:00:00,29924.84,12852.36,139.18
2024-11-04 09:00:00,29772.93,16529.25,120.63
2024-11-04 10:00:00,29541.21,20198.05,100
2024-11-04 11:00:00,28850.76,23554.46,97.12
2024-11-04 12:00:00,28675.24,24998.16,95.16
2024-11-04 13:00:00,28620.6,24361.36,98.47
2024-11-04 14:00:00,29882.5,20749.18,103.17
2024-11-04 15:00:00,31485.92,15047.26,130.4
2024-11-04 16:00:00,32951.93,11125.6,181.47
2024-11-04 17:00:00,33723.44,12005.53,290.21
2024-11-04 18:00:00,33548.8,13603.02,241.04
2024-11-04 19:00:00,32850.48,14676.99,162.09
2024-11-04 20:00:00,31794.21,15325.99,123
2024-11-04 21:00:00,30289.52,15775.45,112.27
2024-11-04 22:00:00,28730.44,16098.93,107.98
2024-11-04 23:00:00,25753.96,16444.95,97.6
2024-11-05 00:00:00,25126.47,16192.05,101.77
2024-11-05 01:00:00,24665.53,15766.34,94
2024-11-05 02:00:00,24390.71,15400.83,91.2
2024-11-05 03:00:00,24453.81,14919.53,93
2024-11-05 04:00:00,24967.6,14298.05,95.39
2024-11-05 05:00:00,26422.59,13611.12,104.88
2024-11-05 06:00:00,29922.22,13087.68,127.95
2024-11-05 07:00:00,30801.83,13427.34,149.32
2024-11-05 08:00:00,30944.18,15697.77,139.15
2024-11-05 09:00:00,30521.84,19014.51,118.23
2024-11-05 10:00:00,29806.44,21993.85,105.87
2024-11-05 11:00:00,29163.97,23820.13,95.28
2024-11-05 12:00:00,28985.82,23771.91,94.92
2024-11-05 13:00:00,29475.43,21637.88,99.25
2024-11-05 14:00:00,30764.4,17594.24,110.35
2024-11-05 15:00:00,32174.93,13049.29,155.99
2024-11-05 16:00:00,33756.86,9868.31,331.83
2024-11-05 17:00:00,34667.5,9571.92,505.31
2024-11-05 18:00:00,34890.38,9530.3,468.74
2024-11-05 19:00:00,34294.66,9273.61,341.7
2024-11-05 20:00:00,33251.72,9005.85,172.14
2024-11-05 21:00:00,31920.09,8749,130.77
2024-11-05 22:00:00,30981.33,8394.59,117.77
2024-11-05 23:00:00,30193.3,8007.35,110.03
2024-11-06 00:00:00,30428.61,7745.68,106.39
2024-11-06 01:00:00,29739.24,7496.85,99.05
2024-11-06 02:00:00,28846.76,7391.09,95.47
2024-11-06 03:00:00,28780.2,7169.23,97.04
2024-11-06 04:00:00,29275.16,6914.4,100.51
2024-11-06 05:00:00,30370.57,6902.76,110.25
2024-11-06 06:00:00,32536.68,7144.62,163.4
2024-11-06 07:00:00,33723.89,7354.04,299.99
2024-11-06 08:00:00,34102.79,9062.18,240.54
2024-11-06 09:00:00,34013.39,11379.85,144.94
2024-11-06 10:00:00,33985.07,13213.58,133.46
2024-11-06 11:00:00,34117.9,14144.53,123.2
2024-11-06 12:00:00,34208.62,14388.02,123.2
2024-11-06 13:00:00,34253.13,13185.99,125.55
2024-11-06 14:00:00,34386.07,11224.8,141.76
2024-11-06 15:00:00,35212.86,8867.52,270.09
2024-11-06 16:00:00,35916.69,7405.11,524.25
2024-11-06 17:00:00,36400.99,7203.34,820.11
2024-11-06 18:00:00,36416.24,7222.31,805.08
2024-11-06 19:00:00,36051.59,7220.34,450
2024-11-06 20:00:00,34950.03,7228.29,207.35
2024-11-06 21:00:00,33088.92,7088.48,133.48
2024-11-06 22:00:00,31922.28,7149.51,119.35
2024-11-06 23:00:00,31237.97,7047.61,111.73
2024-11-07 00:00:00,30629.78,7005.37,109.54
2024-11-07 01:00:00,30251.53,7058.36,102.98
2024-11-07 02:00:00,30147.9,7125.66,99.74
2024-11-07 03:00:00,30318.96,7028.32,99.85
2024-11-07 04:00:00,30993.89,6944.27,102.73
2024-11-07 05:00:00,31838.04,6980.3,116.89
2024-11-07 06:00:00,34104.74,7385.62,157.41
2024-11-07 07:00:00,34662.17,7817.1,219.56
2024-11-07 08:00:00,35128.46,8784.32,191.99
2024-11-07 09:00:00,34841.77,10213.78,152.92
2024-11-07 10:00:00,34387,11467.39,148.9
2024-11-07 11:00:00,34169.54,12496.68,134.81
2024-11-07 12:00:00,34090.25,12593.58,135.06
2024-11-07 13:00:00,34145.75,12129.07,132.91
2024-11-07 14:00:00,34797.31,10751.93,139.94
2024-11-07 15:00:00,36148.8,9337.7,189.42
