Datum (MEZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2022-02-14 00:00:00,15151.57,44019.59,46.55
2022-02-14 01:00:00,14701.23,44288.9,13.33
2022-02-14 02:00:00,14887.51,43741.11,12.94
2022-02-14 03:00:00,14869.26,43643.4,13.78
2022-02-14 04:00:00,15275.24,44244.22,35.25
2022-02-14 05:00:00,17417.34,44811.79,87.91
2022-02-14 06:00:00,21201.93,46223.11,104.25
2022-02-14 07:00:00,23808.47,46382.44,117.19
2022-02-14 08:00:00,24799.86,49695.31,117.11
2022-02-14 09:00:00,23085.49,55406.25,98.58
2022-02-14 10:00:00,22315.79,58752.67,94.91
2022-02-14 11:00:00,21816.94,60012.94,95.89
2022-02-14 12:00:00,22448.28,58041.52,98.52
2022-02-14 13:00:00,24519.62,53784.68,104.18
2022-02-14 14:00:00,26412.66,47941.78,107.01
2022-02-14 15:00:00,28373.13,40900.22,114.51
2022-02-14 16:00:00,29699.43,35743.22,144.52
2022-02-14 17:00:00,30198.86,33912.89,184.58
2022-02-14 18:00:00,30711.93,34302.7,197.13
2022-02-14 19:00:00,30524.42,34708.61,167.3
2022-02-14 20:00:00,29862.59,34719.42,148.44
2022-02-14 21:00:00,27612.15,34651.05,115.49
2022-02-14 22:00:00,26775.44,33975.31,123.05
2022-02-14 23:00:00,25052,33831.3,110.94
2022-02-15 00:00:00,25150.18,33650.23,112.68
2022-02-15 01:00:00,24974.03,32944.5,114.82
2022-02-15 02:00:00,25751.03,32218.95,112.3
2022-02-15 03:00:00,25879.81,31422.93,118.28
2022-02-15 04:00:00,27234.17,30221.06,126.86
2022-02-15 05:00:00,28927.77,28422.67,152.72
2022-02-15 06:00:00,31110.69,27969.13,204.2
2022-02-15 07:00:00,32584.17,27183.02,234.06
2022-02-15 08:00:00,33088.87,27646.18,250.06
2022-02-15 09:00:00,32942.8,29598.84,240
2022-02-15 10:00:00,32225.36,33574.91,220.43
2022-02-15 11:00:00,32056.22,37847.44,199.03
2022-02-15 12:00:00,31583.05,39846.42,182.56
2022-02-15 13:00:00,31320.82,40745.26,150.85
2022-02-15 14:00:00,30908.58,40526.23,149.28
2022-02-15 15:00:00,31024.18,38528.31,157.27
2022-02-15 16:00:00,31007.65,36049.58,145.26
2022-02-15 17:00:00,31136.13,35837.82,173.23
2022-02-15 18:00:00,30316.42,40203.13,174.29
2022-02-15 19:00:00,28004.62,45510.62,115.28
2022-02-15 20:00:00,24356.08,48036.46,105.31
2022-02-15 21:00:00,21870.3,49136.3,91.51
2022-02-15 22:00:00,20772.68,47591.07,101.91
2022-02-15 23:00:00,19263.15,46916.61,87.91
2022-02-16 00:00:00,17556.51,45511.98,94.68
2022-02-16 01:00:00,17067.78,44132.82,93.97
2022-02-16 02:00:00,16394.25,41736.28,99.45
2022-02-16 03:00:00,16978.95,41147.15,106.67
2022-02-16 04:00:00,17014.85,40393.78,103.6
2022-02-16 05:00:00,17383.5,40805.84,110.4
2022-02-16 06:00:00,20310.48,43596.73,134.02
2022-02-16 07:00:00,22464.84,46116.81,184.7
2022-02-16 08:00:00,23210.22,49407.89,194.83
2022-02-16 09:00:00,23586.2,53265.55,174.52
2022-02-16 10:00:00,23836.52,55764.75,137.84
2022-02-16 11:00:00,23594.44,56499.37,136.04
2022-02-16 12:00:00,23995.43,55977.86,118.22
2022-02-16 13:00:00,24482.62,55569.84,111.4
2022-02-16 14:00:00,24019.25,53815.15,105.65
2022-02-16 15:00:00,23557.62,52258.28,97.57
2022-02-16 16:00:00,23728.39,50762.9,99.11
2022-02-16 17:00:00,23943.96,50758.03,110.76
2022-02-16 18:00:00,23382.26,51780.66,118.61
2022-02-16 19:00:00,22203.62,52105,117.99
2022-02-16 20:00:00,19829,52086.8,102.9
2022-02-16 21:00:00,18332.74,51710.4,95.01
2022-02-16 22:00:00,17431.62,50528.87,95.01
2022-02-16 23:00:00,15410.76,51185.7,74.12
2022-02-17 00:00:00,14053.58,49654.89,17.92
2022-02-17 01:00:00,13522.66,49332.83,15.04
2022-02-17 02:00:00,13379.16,47406.08,15.02
2022-02-17 03:00:00,13374.12,45209.7,13.97
2022-02-17 04:00:00,13525.69,43719.84,15.04
2022-02-17 05:00:00,14716.3,43450.2,33.02
2022-02-17 06:00:00,16938.49,46517.99,90.93
2022-02-17 07:00:00,18164.09,49936.5,123.22
2022-02-17 08:00:00,18052,53346.49,107.23
2022-02-17 09:00:00,17234.6,58158.62,102.55
2022-02-17 10:00:00,15834.4,61978.47,95.06
2022-02-17 11:00:00,14537.33,64088.85,77.47
2022-02-17 12:00:00,14252.57,65992.52,65.06
2022-02-17 13:00:00,14420.2,65560.03,35.98
2022-02-17 14:00:00,14695.56,63706.68,42.68
2022-02-17 15:00:00,15525.25,60214.15,67.3
2022-02-17 16:00:00,16303.42,55700.4,86.08
2022-02-17 17:00:00,18050.81,52702.08,108.83
2022-02-17 18:00:00,18385.05,51900.54,110.63
2022-02-17 19:00:00,18265.5,51167.84,101.54
2022-02-17 20:00:00,17953.32,50411.42,86.9
2022-02-17 21:00:00,16790.55,49112.23,86.48
2022-02-17 22:00:00,16836.15,46428.32,86.3
2022-02-17 23:00:00,16427.53,45736.63,63.04
2022-02-18 00:00:00,14809.45,44683.52,71.45
2022-02-18 01:00:00,14853.44,41768.8,62.57
2022-02-18 02:00:00,14916.51,39305.98,74.76
2022-02-18 03:00:00,16886.82,36549.48,84.92
2022-02-18 04:00:00,18535.5,33716.15,95.19
2022-02-18 05:00:00,19588.25,31729.84,119.09
2022-02-18 06:00:00,21157.68,31559.09,140.99
2022-02-18 07:00:00,22178.45,32268.92,185.05
2022-02-18 08:00:00,21846.23,34726.88,189.28
2022-02-18 09:00:00,22061.97,37865.2,173.24
2022-02-18 10:00:00,22399.25,43390.41,150
2022-02-18 11:00:00,21535.59,47111.98,130.99
2022-02-18 12:00:00,21670.69,51208.76,123.17
2022-02-18 13:00:00,20282.12,54339.49,106.81
2022-02-18 14:00:00,19032.48,55526.84,99.89
2022-02-18 15:00:00,18988.2,55002.34,99.26
2022-02-18 16:00:00,19883.66,52993.53,97.42
2022-02-18 17:00:00,20742.01,51208.24,113.84
2022-02-18 18:00:00,20961.8,49547.94,130.9
2022-02-18 19:00:00,21258.86,46850.87,140.49
2022-02-18 20:00:00,21113.66,45060.43,115.87
2022-02-18 21:00:00,18942.87,44202.17,109.75
2022-02-18 22:00:00,16826.47,42681.17,115.66
2022-02-18 23:00:00,14957.84,42453.8,92.46
2022-02-19 00:00:00,13039.66,42960.34,73.73
2022-02-19 01:00:00,12457.42,43084.87,54.32
2022-02-19 02:00:00,12215.4,43231.11,16.63
2022-02-19 03:00:00,12121.13,44124.85,14.38
2022-02-19 04:00:00,12387.36,45600.41,10.96
2022-02-19 05:00:00,12784.78,46765.96,9.06
2022-02-19 06:00:00,13024.65,47914.68,0.1
2022-02-19 07:00:00,13299.06,49597.53,3.62
2022-02-19 08:00:00,13367.61,53590.2,9.42
2022-02-19 09:00:00,13427.67,59757.73,1.94
2022-02-19 10:00:00,13232.13,63468.54,0
2022-02-19 11:00:00,13200.02,64601.69,-0.08
2022-02-19 12:00:00,13284.25,63223.03,-0.35
2022-02-19 13:00:00,13280.18,60474.26,-0.52
2022-02-19 14:00:00,13354.48,59015.73,-0.08
2022-02-19 15:00:00,13160.34,56787.23,0.08
2022-02-19 16:00:00,13643.69,49816.18,15.69
2022-02-19 17:00:00,15984.07,42997.01,99.95
2022-02-19 18:00:00,17538.87,40902.13,121.97
2022-02-19 19:00:00,16800.29,41265.22,112.63
2022-02-19 20:00:00,15127.25,42902.09,102.52
2022-02-19 21:00:00,14599.46,41345.57,101.89
2022-02-19 22:00:00,14213.7,38918.52,101.99
2022-02-19 23:00:00,14660.09,37043.27,100.93
2022-02-20 00:00:00,14592.96,35349.98,104.38
2022-02-20 01:00:00,14559.67,34631.31,99.9
2022-02-20 02:00:00,14500.4,34006.63,98.71
2022-02-20 03:00:00,14275.42,34014.44,92.01
2022-02-20 04:00:00,13297.15,33258.94,88.53
2022-02-20 05:00:00,12205.94,33109.04,87.17
2022-02-20 06:00:00,12332.5,35645.57,80
2022-02-20 07:00:00,12299.84,38595.83,80.08
2022-02-20 08:00:00,12402.12,42650.27,88.28
2022-02-20 09:00:00,12323.34,47592.66,95.06
2022-02-20 10:00:00,12471.98,51081.06,98.22
2022-02-20 11:00:00,12579.71,55048.54,95.09
2022-02-20 12:00:00,12144.81,57283.67,88.15
2022-02-20 13:00:00,12177.63,57796.32,51.8
2022-02-20 14:00:00,12297.57,56530.69,43.11
2022-02-20 15:00:00,12499.71,55022.49,21.24
2022-02-20 16:00:00,12374.39,53368.44,21.56
2022-02-20 17:00:00,12474.26,54017.24,63.16
2022-02-20 18:00:00,12804.44,54182.62,76.93
2022-02-20 19:00:00,12830.45,54116.51,51.28
2022-02-20 20:00:00,13044.46,53987.12,20.02
2022-02-20 21:00:00,13018.43,53067.93,15.39
2022-02-20 22:00:00,13336.53,52097.56,40.06
2022-02-20 23:00:00,13405.57,51084.32,14.62
