Datum (MEZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2022-10-31 00:00:00,21297.4,15718.07,129.38
2022-10-31 01:00:00,21236.1,15486.01,119.09
2022-10-31 02:00:00,21333.95,15089.36,116.32
2022-10-31 03:00:00,21279.07,14503.73,114.6
2022-10-31 04:00:00,21444.54,13239.71,115.07
2022-10-31 05:00:00,21794.83,12326.43,123.45
2022-10-31 06:00:00,22478.73,11669.6,145.62
2022-10-31 07:00:00,23038.72,12248.3,166.39
2022-10-31 08:00:00,23267.04,15797.89,168
2022-10-31 09:00:00,23154.74,20911.99,153.3
2022-10-31 10:00:00,22944.66,24184.69,143.35
2022-10-31 11:00:00,22906.25,25018.54,141.95
2022-10-31 12:00:00,23101.86,24461.61,141.96
2022-10-31 13:00:00,23208.99,21114.45,145.96
2022-10-31 14:00:00,22976.9,17768.05,155
2022-10-31 15:00:00,23046.69,14707.87,169.15
2022-10-31 16:00:00,23286.19,13514.03,179.48
2022-10-31 17:00:00,23696.25,15070.73,201.51
2022-10-31 18:00:00,23822.39,17759.15,182.84
2022-10-31 19:00:00,23012.05,20214.52,167.81
2022-10-31 20:00:00,21938.57,22617.1,147.09
2022-10-31 21:00:00,20804.63,24496.69,136.78
2022-10-31 22:00:00,19897.88,26264.42,120.51
2022-10-31 23:00:00,18318.82,27072.44,100.73
2022-11-01 00:00:00,15470.57,27560.3,80.65
2022-11-01 01:00:00,14270.32,27861,76.68
2022-11-01 02:00:00,12895.64,28105.12,55.26
2022-11-01 03:00:00,12812.87,28144.81,37
2022-11-01 04:00:00,13273.51,28631.4,38.76
2022-11-01 05:00:00,14163.47,29911.97,54.63
2022-11-01 06:00:00,15373.56,31877.35,59.95
2022-11-01 07:00:00,16536.52,34213.44,77.99
2022-11-01 08:00:00,16964.21,37661.95,84.4
2022-11-01 09:00:00,15788.47,41118.62,67.65
2022-11-01 10:00:00,14640.69,45001.03,57.18
2022-11-01 11:00:00,13661.54,47567.16,48.91
2022-11-01 12:00:00,13674.75,47905.7,38.59
2022-11-01 13:00:00,13577.12,44481.06,41.24
2022-11-01 14:00:00,14165.34,40293.84,68.89
2022-11-01 15:00:00,17145.98,33303.76,80
2022-11-01 16:00:00,18609.16,27791.73,89.39
2022-11-01 17:00:00,19356.38,28678.69,114.5
2022-11-01 18:00:00,19601.96,30782,125.63
2022-11-01 19:00:00,19147.33,32581.03,102.08
2022-11-01 20:00:00,16635.06,33398.3,84.19
2022-11-01 21:00:00,14596.98,33829.61,71.67
2022-11-01 22:00:00,13275.04,33720.03,69.57
2022-11-01 23:00:00,13019.15,33751.99,27.71
2022-11-02 00:00:00,12869.87,34177.45,54.92
2022-11-02 01:00:00,12694.39,34495.93,24.34
2022-11-02 02:00:00,12719.56,34499.42,17.38
2022-11-02 03:00:00,12737.05,35520.36,15.28
2022-11-02 04:00:00,12856.73,36323.38,20.2
2022-11-02 05:00:00,12847.18,37208.53,30.01
2022-11-02 06:00:00,14043.05,40364.16,69.71
2022-11-02 07:00:00,15704.76,41795.61,97.19
2022-11-02 08:00:00,16274.5,44438.37,97.12
2022-11-02 09:00:00,16327.09,49123.62,73.03
2022-11-02 10:00:00,15985.97,53307.34,47.08
2022-11-02 11:00:00,16127.86,55173.78,42.58
2022-11-02 12:00:00,16112.69,54758.97,39.94
2022-11-02 13:00:00,16351.88,51017.54,52.66
