Datum (MEZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2022-12-12 00:00:00,36626.21,10550.9,280.18
2022-12-12 01:00:00,35874.72,10536.46,277.68
2022-12-12 02:00:00,35776.47,10554.85,274.31
2022-12-12 03:00:00,36191.47,10631.24,269.79
2022-12-12 04:00:00,37286.22,11003.72,267.92
2022-12-12 05:00:00,39308.3,11446.65,283.71
2022-12-12 06:00:00,41765.38,11861.74,392.24
2022-12-12 07:00:00,43689.76,11906.36,505
2022-12-12 08:00:00,44245.32,12304.23,545.22
2022-12-12 09:00:00,44539.51,13103.13,513.99
2022-12-12 10:00:00,44598.33,14822.35,505.47
2022-12-12 11:00:00,44525,16236.39,497.62
2022-12-12 12:00:00,44612.49,17132.15,489.95
2022-12-12 13:00:00,44452.65,16245.1,482.8
2022-12-12 14:00:00,44547.26,14432.49,506.04
2022-12-12 15:00:00,44775.36,12087.7,535.73
2022-12-12 16:00:00,45147.17,11229.95,558.54
2022-12-12 17:00:00,45177.94,11221.55,588.09
2022-12-12 18:00:00,45157.68,11449.03,558.66
2022-12-12 19:00:00,44737.18,11832.91,508.04
2022-12-12 20:00:00,43615.25,11869.87,490
2022-12-12 21:00:00,42176.92,12055.48,408.9
2022-12-12 22:00:00,41055.9,12234.69,361.32
2022-12-12 23:00:00,39842.68,12250.93,313.2
2022-12-13 00:00:00,37869.6,12208.68,306.14
2022-12-13 01:00:00,37825.23,12222.9,288.11
2022-12-13 02:00:00,37891.09,12235.48,285.28
2022-12-13 03:00:00,37577.88,12374.95,276.98
2022-12-13 04:00:00,37667.07,12440.74,282.3
2022-12-13 05:00:00,39642.43,12535.02,316.07
2022-12-13 06:00:00,42045.49,12782.98,368.9
2022-12-13 07:00:00,44156.14,13329.07,499.7
2022-12-13 08:00:00,44513.7,14188.63,571.76
2022-12-13 09:00:00,44407.62,15988.15,553.29
2022-12-13 10:00:00,43938.84,18520.69,518.08
2022-12-13 11:00:00,44265.97,20246.83,505.16
2022-12-13 12:00:00,44522.74,20217.54,482.78
2022-12-13 13:00:00,44560.06,18877.55,506.03
2022-12-13 14:00:00,44774.45,16720.39,552.71
2022-12-13 15:00:00,44511.18,15893.85,570.25
2022-12-13 16:00:00,44491.23,17281.31,590
2022-12-13 17:00:00,44715.47,19276.92,665.01
2022-12-13 18:00:00,44631.35,21336.73,595.94
2022-12-13 19:00:00,44386.12,22069.24,522.58
2022-12-13 20:00:00,42720.77,22789.37,452.47
2022-12-13 21:00:00,40562.68,23907.66,353.79
2022-12-13 22:00:00,39529.87,23642.58,321.03
2022-12-13 23:00:00,38015.85,23557.14,283.08
2022-12-14 00:00:00,37329.16,23167.03,274.82
2022-12-14 01:00:00,37172.98,22642.82,270.47
2022-12-14 02:00:00,36956.82,21958.48,268.69
2022-12-14 03:00:00,36737.22,21822.37,278.2
2022-12-14 04:00:00,36898.12,20878.83,280.21
2022-12-14 05:00:00,38939.5,19994.23,311.11
2022-12-14 06:00:00,41564.7,18956.86,368.82
2022-12-14 07:00:00,43792.59,18552.89,494.97
2022-12-14 08:00:00,44418.55,18275.9,539.99
2022-12-14 09:00:00,44175.89,18105.18,569.72
2022-12-14 10:00:00,44176.23,17646.61,565.18
2022-12-14 11:00:00,43909.77,17548.61,568.01
2022-12-14 12:00:00,43653.94,15907.96,526.07
2022-12-14 13:00:00,44248.29,14791.65,515.48
2022-12-14 14:00:00,44151.92,13168.59,514.95
2022-12-14 15:00:00,44113.29,12586.58,528.53
2022-12-14 16:00:00,44244.18,12819.04,545
2022-12-14 17:00:00,44468.55,12835.13,590
2022-12-14 18:00:00,44371.77,12539.81,557
2022-12-14 19:00:00,43857.69,13083.83,520.57
2022-12-14 20:00:00,42688.78,13706.2,487.9
2022-12-14 21:00:00,41762.92,14806.35,396.67
2022-12-14 22:00:00,40593.15,15342.38,351.72
2022-12-14 23:00:00,39408.73,16542.38,328.94
2022-12-15 00:00:00,37101.87,16776.21,300
2022-12-15 01:00:00,36501.56,17338.17,290.74
