Datum (MEZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2023-12-18 00:00:00,15872.47,38365.52,52.9
2023-12-18 01:00:00,15176.85,37975.17,51.16
2023-12-18 02:00:00,15245.24,36840.62,49.81
2023-12-18 03:00:00,15203.82,36647.97,49.03
2023-12-18 04:00:00,15797.26,36503.54,52.47
2023-12-18 05:00:00,17619.84,36106.22,62.14
2023-12-18 06:00:00,21327.98,37193.41,83.81
2023-12-18 07:00:00,22276.19,37360.58,103.38
2023-12-18 08:00:00,23376.2,37163.98,109.24
2023-12-18 09:00:00,22912.52,40985.71,101.46
2023-12-18 10:00:00,22227.76,44554.69,89.03
2023-12-18 11:00:00,21786.29,47190.55,81.17
2023-12-18 12:00:00,21689.91,47545.89,74.89
2023-12-18 13:00:00,21546.37,45707.35,74.9
2023-12-18 14:00:00,21658.89,41245.79,81.1
2023-12-18 15:00:00,22152.29,37631.23,89.11
2023-12-18 16:00:00,22131.58,37193.17,95.2
2023-12-18 17:00:00,22388.86,39422.04,104.22
2023-12-18 18:00:00,22236.99,40799.44,103.01
2023-12-18 19:00:00,22189.26,42247.35,96.18
2023-12-18 20:00:00,21681.59,43332.33,77.98
2023-12-18 21:00:00,20827.3,43783.33,71.09
2023-12-18 22:00:00,19933.95,42867.34,62.98
2023-12-18 23:00:00,18575.32,41658.98,55.12
2023-12-19 00:00:00,16846.96,41698.9,47.29
2023-12-19 01:00:00,16588.15,40759.17,46.49
2023-12-19 02:00:00,16767.44,39339.61,45.06
2023-12-19 03:00:00,16406.16,37684.43,55.72
2023-12-19 04:00:00,17040.85,35982.76,58.95
2023-12-19 05:00:00,18109.5,35529.15,65.01
2023-12-19 06:00:00,20289.44,34907.01,79.69
2023-12-19 07:00:00,21170.23,34899.62,93.67
2023-12-19 08:00:00,22008.64,34836.05,100.1
2023-12-19 09:00:00,21964.33,37950.81,94.28
2023-12-19 10:00:00,21601.39,41991.38,86.1
2023-12-19 11:00:00,20659.67,45388.26,79.71
2023-12-19 12:00:00,20375.87,46791.5,76.5
2023-12-19 13:00:00,20955.1,44750.28,74.73
2023-12-19 14:00:00,22127.79,41648.66,80.66
2023-12-19 15:00:00,22013.37,39345.76,84.42
2023-12-19 16:00:00,21692.75,37151.37,88.21
2023-12-19 17:00:00,21595.2,37016.57,91.81
2023-12-19 18:00:00,21736.77,35875.14,91.74
2023-12-19 19:00:00,21883.22,35439.93,90.8
2023-12-19 20:00:00,21054.96,34839.03,85.02
2023-12-19 21:00:00,20394.48,34376.9,79.48
2023-12-19 22:00:00,19476.76,34763.45,75.68
2023-12-19 23:00:00,16850.51,35076.24,59.83
2023-12-20 00:00:00,14695.02,34763.39,57.85
2023-12-20 01:00:00,13591.87,35314.86,50.48
2023-12-20 02:00:00,13441.65,35792.51,48
2023-12-20 03:00:00,13788.61,37903.41,39.98
2023-12-20 04:00:00,13996.78,39136.06,31.51
2023-12-20 05:00:00,14629.13,41225.19,40.02
2023-12-20 06:00:00,16015.6,42140.75,46.72
2023-12-20 07:00:00,17572.64,44788.06,67.96
2023-12-20 08:00:00,19119.81,47087.11,72.93
2023-12-20 09:00:00,19707.11,48090.61,70.54
2023-12-20 10:00:00,19666.85,51310.04,67.93
2023-12-20 11:00:00,18941.05,53838.08,62.36
2023-12-20 12:00:00,18269.17,55399.84,62
2023-12-20 13:00:00,17467.38,54965.11,60.59
2023-12-20 14:00:00,17775.98,53239.27,66.8
2023-12-20 15:00:00,17720.51,51639.92,69.98
2023-12-20 16:00:00,16739.79,50296.27,73.49
2023-12-20 17:00:00,17005.97,48747.93,80.24
2023-12-20 18:00:00,16723.35,46278.6,81.83
2023-12-20 19:00:00,16314.76,44570.36,81.84
2023-12-20 20:00:00,15131.83,45730.01,77.99
2023-12-20 21:00:00,13467.35,46868.83,66.78
2023-12-20 22:00:00,12737.73,45548.41,61.42
2023-12-20 23:00:00,12135.52,44997.64,48.88
2023-12-21 00:00:00,10734.97,45745.6,30.16
2023-12-21 01:00:00,10587.16,46868.79,25.08
2023-12-21 02:00:00,10639.96,47666.44,20.9
2023-12-21 03:00:00,10457.78,48115.62,3.48
2023-12-21 04:00:00,10491.07,48544.03,0.07
2023-12-21 05:00:00,11074.47,49638,0.33
2023-12-21 06:00:00,11872.13,52376.23,23.85
2023-12-21 07:00:00,11905.1,55184.14,45.12
2023-12-21 08:00:00,12508.09,58168.12,48.96
2023-12-21 09:00:00,12748.64,59235.22,37.24
2023-12-21 10:00:00,12657.37,59848,34.29
2023-12-21 11:00:00,12579.96,60813.62,26.05
2023-12-21 12:00:00,12515.12,60831.26,23.51
2023-12-21 13:00:00,12114.4,60573.82,11.56
2023-12-21 14:00:00,11807.32,58440.49,10.53
2023-12-21 15:00:00,11705.66,57670.65,16.8
2023-12-21 16:00:00,11868.24,57053.32,16.95
2023-12-21 17:00:00,11814.25,56033.19,35.08
2023-12-21 18:00:00,11511.58,56232.02,39.34
2023-12-21 19:00:00,11140.14,55636.25,48.49
2023-12-21 20:00:00,10981.88,55805.75,40.97
2023-12-21 21:00:00,10596.95,54591.86,33.15
2023-12-21 22:00:00,10715.93,51551.43,28.77
2023-12-21 23:00:00,10858.51,51409.09,6.05
2023-12-22 00:00:00,10374.39,50848.07,0.01
2023-12-22 01:00:00,9811.16,50075.46,-0.1
2023-12-22 02:00:00,9575.92,49883.65,-0.07
2023-12-22 03:00:00,9458.42,48629.44,-0.18
2023-12-22 04:00:00,9498.09,49886.07,-0.25
2023-12-22 05:00:00,9663.75,50869.66,-0.08
2023-12-22 06:00:00,10088.41,54511.94,0.81
2023-12-22 07:00:00,10743.83,55895.23,31.68
2023-12-22 08:00:00,11234.18,56888.52,39.73
2023-12-22 09:00:00,11182.25,57771.56,35.64
2023-12-22 10:00:00,11010,58619.22,26.45
2023-12-22 11:00:00,10911.77,58943.72,26.23
2023-12-22 12:00:00,10890.26,57795.64,26.73
2023-12-22 13:00:00,10136.08,56275.44,25.3
2023-12-22 14:00:00,9734.01,53129.91,28.86
2023-12-22 15:00:00,9709.24,52316.39,34.17
2023-12-22 16:00:00,9899.55,53089.18,42.41
2023-12-22 17:00:00,9988.59,52912.56,42.95
2023-12-22 18:00:00,10142.68,53078.53,50.36
2023-12-22 19:00:00,10025.09,53130.15,40.49
2023-12-22 20:00:00,9439.2,53500.2,24.66
2023-12-22 21:00:00,9478.55,53903.75,25.53
2023-12-22 22:00:00,9579.59,53735.84,30.41
2023-12-22 23:00:00,9732.13,54294.73,12
2023-12-23 00:00:00,9770.43,52849.54,0.04
2023-12-23 01:00:00,9644.94,50460.81,-0.01
2023-12-23 02:00:00,9523.82,49539.25,-0.01
2023-12-23 03:00:00,9508.1,47742.23,-0.02
2023-12-23 04:00:00,9513.97,45883.2,-0.01
2023-12-23 05:00:00,9550.29,43771.89,0
2023-12-23 06:00:00,9463.1,43677.09,0.1
2023-12-23 07:00:00,9659.07,42077.95,7.43
2023-12-23 08:00:00,10005.64,40169.15,20
2023-12-23 09:00:00,10686.89,39458.33,42.08
2023-12-23 10:00:00,10605.62,39582.94,41.64
2023-12-23 11:00:00,10857.64,40302.97,45.9
