Datum (MESZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2020-07-20 00:00:00,19162.56,11800.43,32.02
2020-07-20 01:00:00,18157.54,11599.32,27.57
2020-07-20 02:00:00,17440.95,11485.1,26.4
2020-07-20 03:00:00,17284.74,11257.95,26.01
2020-07-20 04:00:00,17749.09,11070.13,26
2020-07-20 05:00:00,19887.59,11665.15,27.09
2020-07-20 06:00:00,20688.8,13795.79,35.24
2020-07-20 07:00:00,21328.68,17394.68,38.29
2020-07-20 08:00:00,21573.91,22462.69,39
2020-07-20 09:00:00,21365.68,27910.05,38.22
2020-07-20 10:00:00,21708.25,32793.24,36.35
2020-07-20 11:00:00,21351.52,36063.4,30.95
2020-07-20 12:00:00,20158.63,37916.42,26.34
2020-07-20 13:00:00,19874.68,39059.93,25.15
2020-07-20 14:00:00,19355.43,39417.62,25.36
2020-07-20 15:00:00,19239.57,39202.87,25.11
2020-07-20 16:00:00,19755.82,36188.97,25.93
2020-07-20 17:00:00,21284.56,31050.44,35.19
2020-07-20 18:00:00,21539.36,24989.3,39.12
2020-07-20 19:00:00,21603.99,19186.69,42.54
2020-07-20 20:00:00,21715.79,15019,43.9
2020-07-20 21:00:00,21759.38,13554.65,41
2020-07-20 22:00:00,21997.24,13553.27,40.8
2020-07-20 23:00:00,21970.57,13366.38,37.52
2020-07-21 00:00:00,21205.05,13192.94,31.38
2020-07-21 01:00:00,20975.49,12813.9,27.85
2020-07-21 02:00:00,20075.68,12588.59,27.08
2020-07-21 03:00:00,19902.7,12638.26,26.95
2020-07-21 04:00:00,19885.36,12686.69,26.98
2020-07-21 05:00:00,20678.78,13194.73,28.05
2020-07-21 06:00:00,21293.78,14815.32,35.84
2020-07-21 07:00:00,21616.49,17764.57,39.07
2020-07-21 08:00:00,21977.8,23038.87,38.28
2020-07-21 09:00:00,21722.44,29545.64,35.25
2020-07-21 10:00:00,20669.33,34357.52,27.79
2020-07-21 11:00:00,19723.2,37548.11,26.17
2020-07-21 12:00:00,18708.07,39382.83,26.31
2020-07-21 13:00:00,17742.51,40306.43,24.83
2020-07-21 14:00:00,17300.23,39860.34,22.46
2020-07-21 15:00:00,17912.63,38489.43,24.01
2020-07-21 16:00:00,19014.38,35797.38,24.75
2020-07-21 17:00:00,21336.81,30948.18,28.1
2020-07-21 18:00:00,22603.77,25433.22,38.07
2020-07-21 19:00:00,22966.88,19889.95,42.74
2020-07-21 20:00:00,23108.84,16003.41,41.82
2020-07-21 21:00:00,23086.63,14826.16,40.48
2020-07-21 22:00:00,22758.31,15157.39,39.73
2020-07-21 23:00:00,22315.17,15414.92,37.13
2020-07-22 00:00:00,21374.56,14552.69,33.31
2020-07-22 01:00:00,21004.68,13717.52,28.39
2020-07-22 02:00:00,20753.58,13169.34,27.17
2020-07-22 03:00:00,20331.38,12784.63,26.07
2020-07-22 04:00:00,20392.35,12294.39,26.05
2020-07-22 05:00:00,21337.83,12087.87,28.78
2020-07-22 06:00:00,22531.96,13176.79,35.18
