Datum (MEZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2023-03-13 00:00:00,13130.57,39130.48,45.99
2023-03-13 01:00:00,12202.27,39831.45,37.09
2023-03-13 02:00:00,11995.8,40646.97,33.36
2023-03-13 03:00:00,11291.01,41127.87,16.89
2023-03-13 04:00:00,11199.1,42362.88,7.51
2023-03-13 05:00:00,11304.95,46682.36,16.89
2023-03-13 06:00:00,12015.46,48998.13,38.49
2023-03-13 07:00:00,13048.45,51030.01,77.71
2023-03-13 08:00:00,14143.58,53260.88,79.81
2023-03-13 09:00:00,14475.47,54730.36,42.46
2023-03-13 10:00:00,14397.31,57803.46,30.51
2023-03-13 11:00:00,14081.84,60168.31,22.32
2023-03-13 12:00:00,13785.49,60005.28,2.07
2023-03-13 13:00:00,13284.85,58063.47,-0.02
2023-03-13 14:00:00,13201.83,57513.44,-0.03
2023-03-13 15:00:00,12993.61,55809.08,0.26
2023-03-13 16:00:00,13845.19,52581.91,9.03
2023-03-13 17:00:00,15279.65,46158.03,53.37
2023-03-13 18:00:00,16855.61,43764.11,88.59
2023-03-13 19:00:00,16492.22,43501.42,95
2023-03-13 20:00:00,15636.81,42400.89,82.33
2023-03-13 21:00:00,14764.64,41806.06,52.94
2023-03-13 22:00:00,14150.66,41365.98,35.45
2023-03-13 23:00:00,13431.14,41824.44,23.32
2023-03-14 00:00:00,13409.57,40586,9.57
2023-03-14 01:00:00,13435.57,40841.1,4.46
2023-03-14 02:00:00,13414.06,41129.47,4
2023-03-14 03:00:00,13348.08,40861.68,1.84
2023-03-14 04:00:00,13600.76,42477.04,3.5
2023-03-14 05:00:00,13714.39,44195.36,9.03
2023-03-14 06:00:00,14532.31,45029.35,42.6
2023-03-14 07:00:00,16347.78,45568.04,90.42
2023-03-14 08:00:00,17145.44,47361.75,94.84
2023-03-14 09:00:00,16675.25,50332.73,83.37
2023-03-14 10:00:00,16928.6,52427.54,73.78
2023-03-14 11:00:00,16200.95,54482.27,60.94
2023-03-14 12:00:00,16089.11,55157.2,53.26
2023-03-14 13:00:00,15839.07,54960.86,61.07
2023-03-14 14:00:00,15591.89,54320.79,65.45
2023-03-14 15:00:00,15772.52,51959.83,59.82
2023-03-14 16:00:00,17329.95,49239.88,78.83
2023-03-14 17:00:00,20133.65,44395.83,122.85
2023-03-14 18:00:00,21634.33,40009.52,144.86
2023-03-14 19:00:00,21610.78,35965.39,152.21
2023-03-14 20:00:00,21358.83,33851.85,140.93
2023-03-14 21:00:00,21157.67,31907.6,129.72
2023-03-14 22:00:00,20741.26,30325.42,122.84
2023-03-14 23:00:00,19907.28,29046.98,105.32
2023-03-15 00:00:00,18352.88,29446.59,105.64
2023-03-15 01:00:00,18291.09,28791.02,105.8
2023-03-15 02:00:00,18797.11,28304.37,103.97
2023-03-15 03:00:00,19495.65,28186.14,105.23
2023-03-15 04:00:00,20328.45,27421.76,105.67
2023-03-15 05:00:00,21773.69,27857.01,121.43
2023-03-15 06:00:00,23673.05,27165.59,143.47
2023-03-15 07:00:00,24705.99,27391.87,160
2023-03-15 08:00:00,24625.33,31406.01,159.58
2023-03-15 09:00:00,24339.8,37287.22,129.99
2023-03-15 10:00:00,22616.44,41797.29,114.15
2023-03-15 11:00:00,22692.55,43881.44,97
2023-03-15 12:00:00,22197.69,44434.06,90.85
2023-03-15 13:00:00,22198.95,43690.97,90.84
2023-03-15 14:00:00,22709.58,41354.85,96.25
2023-03-15 15:00:00,24141.67,37082.36,102.83
2023-03-15 16:00:00,27415.24,30945.02,116.99
2023-03-15 17:00:00,30662.68,23317.47,150.8
2023-03-15 18:00:00,32659.99,19460.04,182.3
2023-03-15 19:00:00,32567.09,19466.86,199.28
2023-03-15 20:00:00,32002.83,19224.97,168.98
2023-03-15 21:00:00,31419.44,18625.9,147.36
2023-03-15 22:00:00,30184.6,18134.56,139.35
2023-03-15 23:00:00,27330.08,18369.47,127.63
2023-03-16 00:00:00,23897.23,19179.74,117.39
2023-03-16 01:00:00,22267.62,20576.32,107.61
2023-03-16 02:00:00,21287.31,22532.99,103.8
2023-03-16 03:00:00,19754.27,23782.88,100
2023-03-16 04:00:00,19450.75,24887.1,98.07
2023-03-16 05:00:00,20982.11,26319.17,103.86
2023-03-16 06:00:00,23005.3,27512.82,130.32
2023-03-16 07:00:00,24520.91,30355.74,142.35
2023-03-16 08:00:00,24042.72,36407.67,138.03
2023-03-16 09:00:00,21990.55,42043.71,117.12
2023-03-16 10:00:00,20014.64,48247.89,103.2
2023-03-16 11:00:00,17847.33,51640.38,91.51
2023-03-16 12:00:00,16617.47,53130.72,85.4
2023-03-16 13:00:00,16438.27,52302.14,78.49
2023-03-16 14:00:00,17052.24,50134,80.48
2023-03-16 15:00:00,17409.89,48083.43,84.89
2023-03-16 16:00:00,18651,41461.38,95.58
2023-03-16 17:00:00,23182.16,34723.72,119.22
2023-03-16 18:00:00,25394,34965.65,131.85
2023-03-16 19:00:00,23572.25,38292.79,129.97
2023-03-16 20:00:00,22906.6,38939.59,110
2023-03-16 21:00:00,21147.69,38509.39,98.14
2023-03-16 22:00:00,19755.12,38031.94,86.07
2023-03-16 23:00:00,18363.26,38298.44,80.44
2023-03-17 00:00:00,16370.41,37325,48.45
2023-03-17 01:00:00,15856.07,36584.75,49.97
2023-03-17 02:00:00,15593.09,35940.22,50.06
2023-03-17 03:00:00,15048.13,35304.88,59.93
2023-03-17 04:00:00,15714.59,35056.16,62.79
2023-03-17 05:00:00,17511.84,34925.68,81.59
2023-03-17 06:00:00,20372.61,35435.51,105.07
2023-03-17 07:00:00,20508.77,37849.72,112.17
2023-03-17 08:00:00,19727.53,41922.32,104.56
2023-03-17 09:00:00,17964.79,44771.81,90.29
2023-03-17 10:00:00,17739.23,46935.78,84.04
2023-03-17 11:00:00,17250.93,46839.68,79.95
2023-03-17 12:00:00,17140.04,45001.3,75.76
2023-03-17 13:00:00,17122.82,41052.94,74.05
2023-03-17 14:00:00,18450.52,35211.43,88.05
2023-03-17 15:00:00,20043.85,29684.23,99.03
2023-03-17 16:00:00,21048.23,23871.44,109.54
2023-03-17 17:00:00,22158.71,20286.94,126.79
2023-03-17 18:00:00,23313.95,20188.56,134.36
2023-03-17 19:00:00,23370.4,21602.98,134.23
2023-03-17 20:00:00,22897.29,21919.92,126.35
2023-03-17 21:00:00,22354.5,21721.82,109.97
2023-03-17 22:00:00,21296.46,22288.11,107.09
2023-03-17 23:00:00,20183.69,22421.51,102.25
2023-03-18 00:00:00,18289.94,22245.95,106.35
2023-03-18 01:00:00,17047.93,21986.56,98.25
2023-03-18 02:00:00,16090.95,21372.69,96.84
2023-03-18 03:00:00,16647.13,20780.31,95
2023-03-18 04:00:00,17198.49,19974.53,96.18
2023-03-18 05:00:00,17795.61,19321.88,99.8
2023-03-18 06:00:00,18257.94,19343.6,103.5
2023-03-18 07:00:00,17837.32,21406.57,105.43
2023-03-18 08:00:00,17295.66,25354.75,100.74
2023-03-18 09:00:00,16686.97,30338.49,102.65
2023-03-18 10:00:00,14894.48,34676.51,97
2023-03-18 11:00:00,14058.64,37662.94,91.14
2023-03-18 12:00:00,13500.71,38953.58,84.06
2023-03-18 13:00:00,13161.13,37128.75,80.42
2023-03-18 14:00:00,13338.62,32944.69,87.52
2023-03-18 15:00:00,15223.78,25887.58,92.08
2023-03-18 16:00:00,18391.75,17885.77,104.43
2023-03-18 17:00:00,20503.73,11908.31,130.74
2023-03-18 18:00:00,21167.53,10240.41,156.95
2023-03-18 19:00:00,21218.06,11422.57,169.54
2023-03-18 20:00:00,21238.53,12627.02,144.15
2023-03-18 21:00:00,20689.3,13796.92,132.92
2023-03-18 22:00:00,19616.83,15137.74,129.95
2023-03-18 23:00:00,18478.62,15870.24,118.46
2023-03-19 00:00:00,17809.62,16787.9,110.03
2023-03-19 01:00:00,16790.34,16491.08,106
2023-03-19 02:00:00,16639.67,16667.26,99.6
2023-03-19 03:00:00,16640.9,16235.84,99.18
2023-03-19 04:00:00,16454.93,15826.58,98.74
2023-03-19 05:00:00,17008.05,15102.64,103.36
2023-03-19 06:00:00,17137.54,14730.34,100
2023-03-19 07:00:00,17721.84,16063.99,102.45
2023-03-19 08:00:00,17961.8,19492.68,101.44
2023-03-19 09:00:00,18183.13,22946.4,102.26
2023-03-19 10:00:00,17710.97,26329.45,100.41
2023-03-19 11:00:00,16599.18,29058.2,99.18
2023-03-19 12:00:00,15802.56,30119.9,97.39
2023-03-19 13:00:00,15095.26,28947.23,94.04
2023-03-19 14:00:00,15471.93,26452.53,95.01
2023-03-19 15:00:00,18011.57,22095.57,98.67
2023-03-19 16:00:00,19509.02,17776.38,106.09
2023-03-19 17:00:00,21979.48,13649.75,133.17
2023-03-19 18:00:00,24989.72,12192.6,145
2023-03-19 19:00:00,25493.41,12583.29,152.91
2023-03-19 20:00:00,25696.31,12720.41,144.71
2023-03-19 21:00:00,25687.25,13347.14,135.27
2023-03-19 22:00:00,25134.97,13517.39,132.9
2023-03-19 23:00:00,24325.01,13782.49,130
