Datum (MESZ),Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2023-08-07 00:00:00,7498.81,29949.67,54.4
2023-08-07 01:00:00,7441.08,31871.26,47.57
2023-08-07 02:00:00,7618.23,33552.37,30.83
2023-08-07 03:00:00,7604.75,33906.44,7.01
2023-08-07 04:00:00,7979.97,34839.67,3.55
2023-08-07 05:00:00,8500.33,36222.29,0.03
2023-08-07 06:00:00,9532.87,38723.19,66.32
2023-08-07 07:00:00,10486.77,39793.61,73.38
2023-08-07 08:00:00,11095.61,41990.12,65.14
2023-08-07 09:00:00,11156.59,46169.52,44.94
2023-08-07 10:00:00,11216.74,49842.73,4.37
2023-08-07 11:00:00,10811.55,52961.29,1
2023-08-07 12:00:00,10214.93,55014.82,-0.01
2023-08-07 13:00:00,9914.71,57466.19,-0.81
2023-08-07 14:00:00,9889.27,55686.01,-4.31
2023-08-07 15:00:00,9595.71,55302.52,-9.99
2023-08-07 16:00:00,9559.76,54085.91,-4.32
2023-08-07 17:00:00,9556.82,52180.01,-0.04
2023-08-07 18:00:00,10205.94,48520.36,0.16
2023-08-07 19:00:00,11174.83,42100.32,13.69
2023-08-07 20:00:00,12852.5,35235.03,30.71
2023-08-07 21:00:00,12389.83,34604.66,41.83
2023-08-07 22:00:00,11981.13,34247.37,1.07
2023-08-07 23:00:00,11557.48,33548.86,-0.07
2023-08-08 00:00:00,10191.4,33477.48,-4.28
2023-08-08 01:00:00,9419.17,34221.18,-6.03
2023-08-08 02:00:00,9251.02,34155.35,-6.2
2023-08-08 03:00:00,9365.61,33847.93,-5.92
2023-08-08 04:00:00,9768.03,33142.07,-3.74
2023-08-08 05:00:00,11436.65,32719.8,-2.09
2023-08-08 06:00:00,12767.68,34179.3,0.09
2023-08-08 07:00:00,13031.74,37897.67,14.32
2023-08-08 08:00:00,11802.5,43203.29,-0.09
2023-08-08 09:00:00,10094.83,50032.58,-2.7
2023-08-08 10:00:00,9936.06,55017.88,-6.77
2023-08-08 11:00:00,9556.35,58488.56,-13.18
2023-08-08 12:00:00,9615.1,59539.29,-15.73
2023-08-08 13:00:00,9315.76,59388.88,-20.09
2023-08-08 14:00:00,9111.5,58067.55,-21.77
2023-08-08 15:00:00,9058.87,56417.19,-16.1
2023-08-08 16:00:00,9582.39,52461.06,-8.9
2023-08-08 17:00:00,10458.48,49291.33,-0.82
2023-08-08 18:00:00,11863.14,42888.71,1.07
2023-08-08 19:00:00,12414.84,36174.92,87.59
